DateTime,AddedIPs,RemovedIPs
1532628283,20,21
1532629219,29,41
1532630184,39,26
1532631398,16,25
1532632358,27,17
1532634052,35,34
1532635096,15,31
1532636167,19,28
1532637163,26,38
1532638091,12,24
1532639050,14,16
1532640005,15,20
1532640987,16,18
1532641929,12,18
1532642894,15,8
1532643869,20,47
1532644809,19,20
1532646790,37,32
1532647944,40,41
1532648895,24,30
1532649854,30,33
1532651066,53,54
1532652010,42,23
1532652974,35,42
1532653945,36,55
1532654892,32,55
1532655858,35,28
1532656821,53,34
1532657784,29,32
1532658736,28,26
1532659697,29,43
1532660681,24,21
1532661608,20,28
1532662582,28,26
1532663529,30,30
1532664520,36,25
1532665455,28,35
1532666424,24,19
1532667387,16,25
1532668334,41,20
1532669288,20,8
1532670258,20,17
1532671217,36,28
1532672196,23,29
1532673144,24,19
1532674337,12,25
1532675291,24,7
1532676271,36,29
1532677452,27,18
1532678436,18,22
1532679378,47,13
1532680344,19,30
1532681306,26,31
1532682265,25,29
1532683469,32,32
1532684410,24,28
1532685371,26,23
1532686329,35,14
1532687297,22,20
1532688256,29,26
1532689225,31,12
1532690175,23,34
1532691148,21,21
1532692108,15,15
1532693082,13,19
1532694025,8,24
1532694990,24,31
1532695937,17,25
1532696902,21,36
1532697870,21,28
1532698812,13,22
1532699767,32,38
1532700761,16,29
1532701689,21,20
1532702657,23,27
1532703621,20,27
1532704601,14,24
1532705535,24,13
1532706493,18,18
1532707477,18,20
1532708437,20,27
1532709371,24,18
1532710330,9,21
1532711312,61,24
1532712262,15,21
1532713217,15,13
1532714167,25,17
1532715148,16,27
1532716103,24,10
1532717053,12,32
1532718020,12,18
1532718989,19,18
1532719958,18,20
1532720889,14,22
1532721858,10,17
1532722820,20,10
1532723783,17,9
1532724733,15,20
1532725697,23,16
1532726669,12,17
1532727632,16,16
1532728571,9,11
1532729551,18,14
1532730493,17,22
1532731992,18,20
1532732893,15,23
1532733870,23,26
1532734826,14,13
1532735803,19,22
1532736765,28,43
1532737945,27,52
1532738909,15,43
1532740113,32,45
1532741062,32,51
1532742028,12,32
1532742980,35,21
1532743960,19,28
1532744905,25,31
1532745870,32,20
1532746827,16,12
1532747791,19,19
1532748743,25,22
1532749696,15,25
1532750677,21,29
1532751648,23,29
1532752580,9,27
1532753547,17,19
1532754515,20,25
1532755462,7,20
1532756422,18,21
1532757394,26,21
1532758362,19,29
1532759296,19,15
1532760254,14,24
1532761248,20,15
1532762191,9,23
1532763155,17,32
1532764096,15,37
1532765074,11,12
1532766029,19,34
1532767001,16,25
1532767934,8,32
1532768904,21,18
1532769874,23,35
1532770838,23,28
1532771769,16,17
1532773506,31,40
1532774409,10,24
1532775371,19,24
1532776333,21,28
1532777313,20,23
1532778283,14,19
1532779249,14,15
1532780175,10,4
1532781155,18,28
1532782102,9,18
1532783058,8,17
1532784009,11,22
1532784991,7,19
1532785939,10,13
1532786894,15,25
1532787849,9,10
1532788827,13,23
1532789798,11,25
1532790740,13,17
1532791692,12,17
1532792672,15,28
1532793652,13,24
1532794574,6,14
1532795538,17,17
1532796493,7,18
1532797479,7,13
1532798418,8,14
1532799372,15,17
1532800378,4,11
1532801300,16,20
1532802258,8,4
1532803216,13,15
1532804193,13,17
1532805138,7,11
1532806157,11,9
1532807308,2,13
1532808502,20,13
1532809451,10,8
1532810417,10,8
1532811386,9,13
1532812358,9,5
1532813288,12,8
1532814260,14,11
1532815249,6,8
1532816196,9,12
1532817135,16,4
1532818092,24,17
1532819068,13,14
1532820012,21,13
1532820991,21,17
1532821939,17,25
1532822904,15,23
1532823854,11,17
1532824811,20,23
1532826549,40,44
1532827451,27,32
1532828439,18,26
1532829368,23,16
1532830398,17,26
1532831533,11,21
1532832512,13,24
1532833456,17,12
1532834407,17,17
1532835388,11,10
1532836353,21,13
1532837292,23,17
1532838270,12,4
1532839224,11,7
1532840168,6,5
1532841142,13,12
1532842090,10,24
1532843058,3,10
1532844015,15,23
1532844994,16,9
1532845936,17,12
1532846891,11,14
1532847866,12,15
1532848811,14,23
1532849792,11,10
1532850730,7,8
1532851716,22,17
1532852656,8,18
1532853618,4,14
1532854591,15,13
1532855537,14,19
1532856489,8,15
1532857475,8,39
1532858442,12,22
1532859402,12,32
1532860336,13,22
1532861300,8,8
1532862261,15,10
1532863219,10,12
1532864171,10,9
1532865152,15,3
1532866096,16,13
