DateTime,Entries,UniqueIPs
1532628283,1561,1561
1532629219,1549,1549
1532630184,1562,1562
1532631398,1553,1553
1532632358,1563,1563
1532634052,1564,1564
1532635096,1548,1548
1532636167,1539,1539
1532637163,1527,1527
1532638091,1515,1515
1532639050,1513,1513
1532640005,1508,1508
1532640987,1506,1506
1532641929,1500,1500
1532642894,1507,1507
1532643869,1480,1480
1532644809,1479,1479
1532646790,1484,1484
1532647944,1483,1483
1532648895,1477,1477
1532649854,1474,1474
1532651066,1473,1473
1532652010,1492,1492
1532652974,1485,1485
1532653945,1466,1466
1532654892,1443,1443
1532655858,1450,1450
1532656821,1469,1469
1532657784,1466,1466
1532658736,1468,1468
1532659697,1454,1454
1532660681,1457,1457
1532661608,1449,1449
1532662582,1451,1451
1532663529,1451,1451
1532664520,1462,1462
1532665455,1455,1455
1532666424,1460,1460
1532667387,1451,1451
1532668334,1472,1472
1532669288,1484,1484
1532670258,1487,1487
1532671217,1495,1495
1532672196,1489,1489
1532673144,1494,1494
1532674337,1481,1481
1532675291,1498,1498
1532676271,1505,1505
1532677452,1514,1514
1532678436,1510,1510
1532679378,1544,1544
1532680344,1533,1533
1532681306,1528,1528
1532682265,1524,1524
1532683469,1524,1524
1532684410,1520,1520
1532685371,1523,1523
1532686329,1544,1544
1532687297,1546,1546
1532688256,1549,1549
1532689225,1568,1568
1532690175,1557,1557
1532691148,1557,1557
1532692108,1557,1557
1532693082,1551,1551
1532694025,1535,1535
1532694990,1528,1528
1532695937,1520,1520
1532696902,1505,1505
1532697870,1498,1498
1532698812,1489,1489
1532699767,1483,1483
1532700761,1470,1470
1532701689,1471,1471
1532702657,1467,1467
1532703621,1460,1460
1532704601,1450,1450
1532705535,1461,1461
1532706493,1461,1461
1532707477,1459,1459
1532708437,1452,1452
1532709371,1458,1458
1532710330,1446,1446
1532711312,1483,1483
1532712262,1477,1477
1532713217,1479,1479
1532714167,1487,1487
1532715148,1476,1476
1532716103,1490,1490
1532717053,1470,1470
1532718020,1464,1464
1532718989,1465,1465
1532719958,1463,1463
1532720889,1455,1455
1532721858,1448,1448
1532722820,1458,1458
1532723783,1466,1466
1532724733,1461,1461
1532725697,1468,1468
1532726669,1463,1463
1532727632,1463,1463
1532728571,1461,1461
1532729551,1465,1465
1532730493,1460,1460
1532731992,1458,1458
1532732893,1450,1450
1532733870,1447,1447
1532734826,1448,1448
1532735803,1445,1445
1532736765,1430,1430
1532737945,1405,1405
1532738909,1377,1377
1532740113,1364,1364
1532741062,1345,1345
1532742028,1325,1325
1532742980,1339,1339
1532743960,1330,1330
1532744905,1324,1324
1532745870,1336,1336
1532746827,1340,1340
1532747791,1340,1340
1532748743,1343,1343
1532749696,1333,1333
1532750677,1325,1325
1532751648,1319,1319
1532752580,1301,1301
1532753547,1299,1299
1532754515,1294,1294
1532755462,1281,1281
1532756422,1278,1278
1532757394,1283,1283
1532758362,1273,1273
1532759296,1277,1277
1532760254,1267,1267
1532761248,1272,1272
1532762191,1258,1258
1532763155,1243,1243
1532764096,1221,1221
1532765074,1220,1220
1532766029,1205,1205
1532767001,1196,1196
1532767934,1172,1172
1532768904,1175,1175
1532769874,1163,1163
1532770838,1158,1158
1532771769,1157,1157
1532773506,1148,1148
1532774409,1134,1134
1532775371,1129,1129
1532776333,1122,1122
1532777313,1119,1119
1532778283,1114,1114
1532779249,1113,1113
1532780175,1119,1119
1532781155,1109,1109
1532782102,1100,1100
1532783058,1091,1091
1532784009,1080,1080
1532784991,1068,1068
1532785939,1065,1065
1532786894,1055,1055
1532787849,1054,1054
1532788827,1044,1044
1532789798,1030,1030
1532790740,1026,1026
1532791692,1021,1021
1532792672,1008,1008
1532793652,997,997
1532794574,989,989
1532795538,989,989
1532796493,978,978
1532797479,972,972
1532798418,966,966
1532799372,964,964
1532800378,957,957
1532801300,953,953
1532802258,957,957
1532803216,955,955
1532804193,951,951
1532805138,947,947
1532806157,949,949
1532807308,938,938
1532808502,945,945
1532809451,947,947
1532810417,949,949
1532811386,945,945
1532812358,949,949
1532813288,953,953
1532814260,956,956
1532815249,954,954
1532816196,951,951
1532817135,963,963
1532818092,970,970
1532819068,969,969
1532820012,977,977
1532820991,981,981
1532821939,973,973
1532822904,965,965
1532823854,959,959
1532824811,956,956
1532826549,952,952
1532827451,947,947
1532828439,939,939
1532829368,946,946
1532830398,937,937
1532831533,927,927
1532832512,916,916
1532833456,921,921
1532834407,921,921
1532835388,922,922
1532836353,930,930
1532837292,936,936
1532838270,944,944
1532839224,948,948
1532840168,949,949
1532841142,950,950
1532842090,936,936
1532843058,929,929
1532844015,921,921
1532844994,928,928
1532845936,933,933
1532846891,930,930
1532847866,927,927
1532848811,918,918
1532849792,919,919
1532850730,918,918
1532851716,923,923
1532852656,913,913
1532853618,903,903
1532854591,905,905
1532855537,900,900
1532856489,893,893
1532857475,862,862
1532858442,852,852
1532859402,832,832
1532860336,823,823
1532861300,823,823
1532862261,828,828
1532863219,826,826
1532864171,827,827
1532865152,839,839
1532866096,842,842
1532867066,844,844
1532868010,846,846
1532868990,834,834
1532869936,841,841
1532870894,848,848
1532871869,851,851
1532872829,852,852
1532873774,862,862
1532874758,861,861
1532875934,863,863
1532876901,859,859
1532877862,855,855
1532878812,855,855
1532879781,862,862
1532880746,864,864
1532881691,863,863
1532882669,865,865
1532883630,861,861
1532884584,865,865
1532885537,868,868
1532886514,864,864
1532887463,867,867
1532888413,868,868
1532889395,863,863
1532890337,860,860
1532891298,857,857
1532892275,853,853
1532893219,860,860
1532894173,859,859
1532896377,852,852
1532897387,850,850
1532898507,849,849
1532899451,844,844
1532900413,838,838
1532901397,838,838
1532902334,838,838
1532903302,827,827
1532904275,826,826
1532905218,822,822
1532906175,811,811
1532907157,802,802
1532908101,795,795
1532909066,783,783
1532910143,768,768
1532911214,754,754
1532912168,754,754
1532913140,738,738
1532914100,735,735
1532915049,738,738
1532916033,728,728
1532916992,722,722
1532917940,753,753
1532918894,768,768
1532919878,780,780
1532920807,799,799
1532921773,808,808
1532922748,801,801
1532923695,791,791
1532924654,793,793
1532925620,796,796
1532926588,810,810
1532927535,807,807
1532928495,813,813
1532929459,808,808
1532930437,803,803
1532931379,805,805
1532932360,805,805
1532933293,809,809
1532934265,806,806
1532935239,818,818
1532936189,808,808
1532937145,836,836
1532938103,833,833
1532939083,845,845
1532940012,841,841
1532940984,843,843
1532941945,864,864
1532942890,871,871
1532943864,904,904
1532944829,915,915
1532945791,917,917
1532946739,919,919
1532947696,917,917
1532948663,911,911
1532949609,914,914
1532950592,924,924
1532951555,926,926
1532952498,932,932
1532953458,936,936
1532954412,936,936
1532955389,928,928
1532956337,927,927
1532957290,930,930
1532958284,935,935
1532959225,934,934
1532960185,928,928
1532961140,933,933
1532962097,946,946
1532963065,952,952
1532964014,956,956
1532964989,952,952
1532965936,968,968
1532966929,970,970
1532967856,976,976
1532968809,990,990
1532969792,992,992
1532970756,993,993
1532971695,996,996
1532972652,994,994
1532973630,987,987
1532974579,988,988
1532975539,985,985
1532976497,989,989
1532977460,989,989
1532978418,992,992
1532979376,1001,1001
1532980349,998,998
1532981297,1002,1002
1532983253,1006,1006
1532984169,1000,1000
1532985143,1012,1012
1532986087,1010,1010
1532987078,1014,1014
1532988024,1025,1025
1532988974,1027,1027
1532989956,1023,1023
1532990900,1027,1027
1532991873,1030,1030
1532992839,1029,1029
1532993786,1033,1033
1532994762,1037,1037
1532995697,1041,1041
