DateTime,AddedIPs,RemovedIPs
1532626829,75,17
1532627774,49,17
1532628736,73,39
1532629711,60,17
1532630673,60,19
1532631878,92,30
1532634054,51,1304
1532635097,57,18
1532636169,50,22
1532637165,53,27
1532638092,46,26
1532639052,42,26
1532640006,56,32
1532640989,43,15
1532641931,47,18
1532642895,42,25
1532643870,58,0
1532644814,43,56
1532646791,54,58
1532647945,53,36
1532648897,65,26
1532649855,65,26
1532651068,77,28
1532652018,80,33
1532652976,59,0
1532653947,65,50
1532654899,58,0
1532655859,71,26
1532656822,64,24
1532657785,56,51
1532658737,46,0
1532659699,75,49
1532660698,55,46
1532661610,54,0
1532662584,61,79
1532663540,75,0
1532664522,73,66
1532665461,56,0
1532666425,48,53
1532667388,56,30
1532668336,53,0
1532669296,51,35
1532670273,60,35
1532671219,59,0
1532672198,58,34
1532673152,81,23
1532674351,37,23
1532675293,85,15
1532676272,66,17
1532677465,59,16
1532678438,65,27
1532679383,63,16
1532680346,65,21
1532681307,69,21
1532682266,44,25
1532683470,63,23
1532684415,67,29
1532685373,38,26
1532686331,63,23
1532687306,61,25
1532688268,49,33
1532689227,48,28
1532690177,70,26
1532691150,42,32
1532692122,47,30
1532693084,39,26
1532694026,49,27
1532694992,51,37
1532695950,40,44
1532696903,47,35
1532697882,62,24
1532698815,69,27
1532699768,79,20
1532700763,54,34
1532701691,60,27
1532702669,68,29
1532703623,70,23
1532704602,51,29
1532705537,42,26
1532706495,68,27
1532707491,59,25
1532708438,56,33
1532709382,55,29
1532710332,55,26
1532711321,106,63
1532712269,52,27
1532713222,51,19
1532714169,34,27
1532715155,51,30
1532716105,77,19
1532717062,44,30
1532718021,45,39
1532718991,44,896
1532719959,46,39
1532720891,54,48
1532721859,49,0
1532722821,43,0
1532723784,45,50
1532724734,44,54
1532725698,55,43
1532726674,36,44
1532727633,32,86
1532728572,37,0
1532729553,41,81
1532730495,27,0
1532731998,50,64
1532733127,50,48
1532734113,31,32
1532735059,42,41
1532736276,50,83
1532737212,33,0
1532738436,36,78
1532739635,41,37
1532740593,58,27
1532741547,42,50
1532742494,60,38
1532743474,42,50
1532744429,66,45
1532745371,53,31
1532746364,68,58
1532747322,44,56
1532748272,48,52
1532749228,45,42
1532750175,40,44
1532751155,62,28
1532752091,35,20
1532753064,45,46
1532754036,45,32
1532754995,37,34
1532755965,42,47
1532756908,47,27
1532757866,35,33
1532758815,58,28
1532759791,33,41
1532760749,36,45
1532761714,30,45
1532762672,43,44
1532763654,39,32
1532764581,42,39
1532765546,27,40
1532766499,42,27
1532767453,65,0
1532768442,52,49
1532769372,53,42
1532770351,44,0
1532771298,52,57
1532773508,60,73
1532774411,46,0
1532775372,41,55
1532776335,39,43
1532777324,58,104
1532778290,52,38
1532779250,37,44
1532780177,39,0
1532781157,40,92
1532782104,29,52
1532783081,30,54
1532784013,37,33
1532784992,50,33
1532785941,38,0
1532786895,46,40
1532787851,36,41
1532788829,41,45
1532789799,47,29
1532790741,44,35
1532791693,35,26
1532792685,42,28
1532793654,29,47
1532794575,38,46
1532795540,36,62
1532796494,39,48
1532797492,36,42
1532798420,29,32
1532799374,41,26
1532800385,29,24
1532801301,45,20
1532802261,39,32
1532803217,38,40
1532804194,30,26
1532805140,38,22
1532806169,33,42
1532807310,26,44
1532808503,47,45
1532809457,29,0
1532810418,46,76
1532811387,36,50
1532812359,43,0
1532813289,39,49
1532814270,32,24
1532815250,38,94
1532816198,45,49
1532817136,38,0
1532818094,34,0
1532819079,33,94
1532820013,42,0
1532820992,47,88
1532821952,53,0
1532822905,63,47
1532823864,32,37
1532824813,51,39
