DateTime,AddedIPs,RemovedIPs
1532626829,1181,1181
1532627774,1159,1159
1532628736,1180,1180
1532629711,1194,1194
1532630673,1145,1145
1532631878,1506,1506
1532634054,1534,1534
1532635097,1189,1189
1532636169,1189,1189
1532637165,1087,1087
1532638092,1100,1100
1532639052,1121,1121
1532640006,1137,1137
1532640989,1138,1138
1532641931,1152,1152
1532642895,1136,1136
1532643870,1142,1142
1532644814,1138,1138
1532646791,1169,1169
1532647945,1197,1197
1532648897,1208,1208
1532649855,1223,1223
1532651068,1234,1234
1532652018,1222,1222
1532652976,1227,1227
1532653947,1218,1218
1532654899,1220,1220
1532655859,1225,1225
1532656822,1235,1235
1532657785,1219,1219
1532658737,1207,1207
1532659699,1212,1212
1532660698,1226,1226
1532661610,1216,1216
1532662584,1255,1255
1532663540,1275,1275
1532664522,1210,1210
1532665461,1249,1249
1532666425,1265,1265
1532667388,1189,1189
1532668336,1259,1259
1532669296,1260,1260
1532670273,1328,1328
1532671219,1433,1433
1532672198,1318,1318
1532673152,1251,1251
1532674351,1286,1286
1532675293,1307,1307
1532676272,1317,1317
1532677465,1308,1308
1532678438,1281,1281
1532679383,1260,1260
1532680346,1299,1299
1532681307,1306,1306
1532682266,1315,1315
1532683470,1303,1303
1532684415,1315,1315
1532685373,1255,1255
1532686331,1301,1301
1532687306,1242,1242
1532688268,1237,1237
1532689227,1170,1170
1532690177,1147,1147
1532691150,1109,1109
1532692122,1183,1183
1532693084,1170,1170
1532694026,1227,1227
1532694992,1212,1212
1532695950,1144,1144
1532696903,1143,1143
1532697882,1181,1181
1532698815,1177,1177
1532699768,1220,1220
1532700763,1205,1205
1532701691,1143,1143
1532702669,1152,1152
1532703623,1170,1170
1532704602,1124,1124
1532705537,1115,1115
1532706495,1103,1103
1532707491,1169,1169
1532708438,1161,1161
1532709382,1138,1138
1532710332,1145,1145
1532711321,1155,1155
1532712269,1131,1131
1532713222,1108,1108
1532714169,1100,1100
1532715155,1133,1133
1532716105,1137,1137
1532717062,1152,1152
1532718021,1141,1141
1532718991,1147,1147
1532719959,1126,1126
1532720891,1122,1122
1532721859,1110,1110
1532722821,1135,1135
1532723784,1082,1082
1532724734,1089,1089
1532725698,1130,1130
1532726674,1131,1131
1532727633,1114,1114
1532728572,1097,1097
1532729553,1077,1077
1532730495,1092,1092
1532731998,1146,1146
1532733127,1141,1141
1532734113,1130,1130
1532735059,1131,1131
1532736276,1127,1127
1532737212,1137,1137
1532738436,1145,1145
1532739635,1173,1173
1532740593,1174,1174
1532741547,1164,1164
1532742494,1171,1171
1532743474,1179,1179
1532744429,1175,1175
1532745371,1179,1179
1532746364,1176,1176
1532747322,1154,1154
1532748272,1187,1187
1532749228,1197,1197
1532750175,1157,1157
1532751155,1160,1160
1532752091,1155,1155
1532753064,1180,1180
1532754036,1206,1206
1532754995,1225,1225
1532755965,1162,1162
1532756908,1199,1199
1532757866,1238,1238
1532758815,1164,1164
1532759791,1149,1149
1532760749,1131,1131
1532761714,1114,1114
1532762672,1161,1161
1532763654,1201,1201
1532764581,1163,1163
1532765546,1203,1203
1532766499,1224,1224
1532767453,1221,1221
1532768442,1231,1231
1532769372,1249,1249
1532770351,1206,1206
1532771298,1227,1227
1532773508,1277,1277
1532774411,1226,1226
1532775372,1183,1183
1532776335,1204,1204
1532777324,1194,1194
1532778290,1192,1192
1532779250,1192,1192
1532780177,1191,1191
1532781157,1164,1164
1532782104,1164,1164
1532783081,1205,1205
1532784013,1171,1171
1532784992,1167,1167
1532785941,1211,1211
1532786895,1205,1205
1532787851,1189,1189
1532788829,1151,1151
1532789799,1161,1161
1532790741,1169,1169
1532791693,1190,1190
1532792685,1186,1186
1532793654,1163,1163
1532794575,1182,1182
1532795540,1170,1170
1532796494,1173,1173
1532797492,1149,1149
1532798420,1156,1156
1532799374,1162,1162
1532800385,1131,1131
1532801301,1178,1178
1532802261,1167,1167
1532803217,1180,1180
1532804194,1169,1169
1532805140,1177,1177
1532806169,1143,1143
1532807310,1148,1148
1532808503,1172,1172
1532809457,1122,1122
1532810418,1140,1140
1532811387,1146,1146
1532812359,1119,1119
1532813289,1137,1137
1532814270,1170,1170
1532815250,1132,1132
1532816198,1147,1147
1532817136,1149,1149
1532818094,1156,1156
1532819079,1127,1127
1532820013,1146,1146
1532820992,1179,1179
1532821952,1196,1196
1532822905,1174,1174
1532823864,1167,1167
1532824813,1193,1193
1532826550,1182,1182
1532827458,1150,1150
1532828441,1175,1175
1532829370,1186,1186
1532830399,1193,1193
1532831535,1211,1211
1532832531,1219,1219
1532833463,1196,1196
1532834408,1187,1187
1532835390,1180,1180
1532836359,1198,1198
1532837293,1209,1209
1532838281,1235,1235
1532839225,1289,1289
1532840169,1253,1253
1532841143,1230,1230
1532842091,1207,1207
1532843069,1238,1238
1532844017,1242,1242
1532844996,1198,1198
1532845937,1241,1241
1532846893,1227,1227
1532847867,1224,1224
1532848812,1230,1230
1532849803,1218,1218
1532850746,1249,1249
1532851717,1225,1225
1532852663,1227,1227
1532853619,1252,1252
1532854592,1248,1248
1532855539,1275,1275
1532856498,1261,1261
1532857484,1232,1232
1532858444,1217,1217
1532859404,1264,1264
1532860338,1248,1248
1532861301,1275,1275
1532862263,1216,1216
1532863221,1250,1250
1532864176,1241,1241
1532865170,1241,1241
1532866097,1241,1241
1532867072,1210,1210
1532868012,1189,1189
1532868993,1172,1172
1532869937,1179,1179
1532870902,1186,1186
1532871870,1230,1230
1532872831,1248,1248
1532873775,1216,1216
1532874760,1178,1178
1532875944,1181,1181
