DateTime,AddedIPs,RemovedIPs
1530518417,7,0
1530522018,5,0
1530525619,2,0
1530529219,0,1
1530532818,1,0
1530536419,2,0
1530540019,0,1
1530543618,0,1
1530554419,1,0
1530565218,1,0
1530568818,2,1
1530572419,0,1
1530576018,0,5
1530579618,0,2
1530583218,0,1
1530586819,1,0
1530594018,0,8
1530597623,0,3
1530601218,3,1
1530612019,0,1
1530615619,10,0
1530619219,14,1
1530622820,1,0
1530626419,0,1
1530633618,1,0
1530648019,1,2
1530655220,0,2
1530658819,0,1
1530662419,0,1
1530666025,2,0
1530673219,1,1
1530680420,0,1
1530684020,1,0
1530687619,0,3
1530691220,2,1
1530698420,1,1
1530702020,7,0
1530705619,2,0
1530712827,1,0
1530716420,1,0
1530723621,0,1
1530727224,0,1
1530730821,0,2
1530734419,1,1
1530738030,22,1
1530741621,7,1
1530748820,1,0
1530752421,8,6
1530756022,1,3
1530766822,3,2
1530770421,2,1
1530774021,1,1
1530781221,5,4
1530788421,0,9
1530792023,2,1
1530795621,1,0
1530799223,0,2
1530806427,3,2
1530810020,0,2
1530813622,2,1
1530817220,0,2
1530820826,1,3
1530824424,1,2
1530831621,1,1
1530835220,2,2
1530838829,0,1
1530842421,1,1
1530864020,1,1
1530867619,2,0
1530871221,1,0
1530874822,1,1
1530878420,0,1
1530882021,0,1
1530885620,1,1
1530889221,0,2
1530903621,1,0
1530907220,0,1
1530910821,1,1
1530918023,1,1
1530921621,3,2
1530925222,0,1
1530928820,0,1
1530939623,0,1
1530946821,1,0
1530950419,2,0
1530957622,0,2
1530972020,0,2
1530979221,0,2
1530982820,1,0
1530986420,1,0
1530990019,0,1
1530993620,2,0
1530997223,0,1
1531004421,0,1
1531008020,0,2
1531015221,7,0
1531018819,1,0
1531022419,1,0
1531026022,2,1
1531029621,1,1
1531036821,0,3
1531040422,1,0
1531044021,1,2
1531047620,4,0
1531051220,2,1
1531054822,3,1
1531058421,1,0
1531069221,0,1
1531072820,1,2
1531076429,1,2
1531080021,0,1
1531083624,1,1
1531087221,1,0
1531090822,0,2
1531094423,1,1
1531098020,0,2
1531101620,0,2
1531105221,2,1
1531108821,0,2
1531112421,0,5
1531116024,0,1
1531119622,1,1
1531123219,0,7
1531126820,5,5
1531130422,3,3
1531137619,0,1
1531148421,0,1
1531162820,1,0
1531166420,1,0
1531170020,1,0
1531173621,0,1
1531177220,1,1
1531180821,1,0
1531188021,1,0
1531195224,0,1
1531198823,1,1
1531202421,0,3
1531206022,0,2
1531213220,0,1
1531220419,0,9
1531224018,0,16
1531227619,0,1
1531231220,0,1
1531238419,0,3
1531242019,1,0
1531260018,1,0
1531270820,1,1
1531278022,1,0
1531292419,1,1
1531296019,0,1
1531299619,2,0
1531303220,0,1
1531306818,0,5
1531310418,0,3
1531314018,1,0
1531317618,1,1
1531321220,2,0
1531328419,2,0
1531332020,2,1
1531335618,1,0
1531339220,7,1
1531342817,2,22
1531346418,2,7
1531350017,0,1
1531353617,0,3
1531357219,0,1
1531360823,1,8
1531368016,2,0
1531371618,2,2
1531375216,1,2
1531378818,2,1
1531382416,0,2
1531386017,2,1
1531389618,0,1
1531393217,1,0
1531396816,1,0
1531400417,1,2
1531404019,7,2
1531407618,0,4
1531411215,0,3
1531414816,2,0
1531418417,3,2
1531422024,2,0
1531425618,1,1
1531429219,0,2
1531432818,0,1
1531436416,0,2
1531440017,0,2
1531443617,2,1
1531454418,0,1
1531458019,1,0
1531468817,1,1
1531472416,2,0
1531479618,1,1
1531483218,1,1
1531486817,0,1
1531490417,0,1
1531501234,0,1
1531504818,1,0
1531508418,2,2
1531515617,1,0
1531522818,0,3
1531526417,0,3
1531533623,0,1
1531540817,3,0
1531548017,1,0
1531551616,0,1
1531555227,0,2
1531558817,1,1
1531562417,1,1
1531566019,1,0
1531580416,1,1
1531587617,2,0
1531591219,0,1
1531594817,1,0
1531598416,0,2
1531602018,1,0
1531605617,0,1
1531612815,1,1
1531620016,0,8
1531623616,1,0
1531630816,4,1
1531634418,1,0
1531638016,4,0
1531641621,13,1
1531645218,6,0
1531648821,6,0
1531652419,3,6
1531656025,1,2
1531659617,2,3
1531670419,4,1
1531674018,3,1
1531677618,0,4
1531681217,6,2
1531688418,2,1
1531692018,0,2
1531695619,3,0
1531699218,7,2
1531702818,1,0
1531706421,1,0
1531710019,0,1
1531713619,1,0
1531720822,1,0
1531724419,2,0
1531728018,4,1
1531731620,3,5
1531735219,0,3
1531746018,1,0
1531756818,0,1
1531760419,2,0
1531764019,1,0
1531771219,1,0
1531774818,2,2
1531785619,0,1
1531792818,0,1
1531803618,1,0
1531828817,1,0
1531836019,1,0
1531843217,0,1
1531846819,0,1
1531854018,1,0
1531857619,1,0
1531864818,0,1
1531868419,1,0
1531875618,2,0
1531882819,0,1
1531890022,1,0
1531893618,1,0
1531897218,1,0
1531900823,8,0
1531904419,0,2
1531911619,7,0
1531915218,1,0
1531918827,0,1
1531922421,0,1
1531926019,0,1
1531933226,0,1
1531944020,0,6
1531947620,0,1
1531951219,0,2
1531954819,0,1
1531962022,0,1
1531965618,0,1
1531969220,0,1
1531972818,0,1
1531976419,1,2
1531980018,0,1
1531990818,1,1
1531998019,1,0
1532001618,0,1
1532005219,1,1
1532008820,0,3
1532012419,0,1
1532019618,0,1
1532023220,2,1
1532026817,0,1
1532030419,1,2
1532034018,3,1
1532037618,1,1
1532041219,2,1
1532048419,0,1
1532052018,1,0
1532055619,0,1
1532059216,2,0
1532062817,1,1
1532070019,1,0
1532073619,2,1
1532077220,0,2
1532084420,3,1
1532088021,2,0
1532109620,2,1
1532113220,1,1
1532116818,4,0
1532120419,1,2
1532127619,2,0
1532152819,2,1
1532156420,1,0
1532160023,0,2
1532163621,0,1
1532167222,0,1
1532174417,0,1
1532192420,1,1
1532196019,1,1
1532199619,1,0
1532206820,3,0
1532210419,1,0
1532214021,6,0
1532217620,0,1
1532221220,0,1
1532228420,0,1
1532235683,3,0
1532242820,0,4
1532246420,2,11
1532250019,1,4
1532253618,1,7
1532257218,2,4
1532260819,3,0
1532264418,1,3
1532271618,1,0
1532275219,3,7
1532278818,0,4
1532282416,2,1
1532286020,0,4
1532289619,3,0
1532293218,0,1
1532296820,1,0
1532300419,0,1
1532304028,0,2
1532311219,0,2
1532318418,0,1
1532322018,0,2
1532325619,2,0
1532329218,1,2
1532332817,0,3
1532336415,2,4
1532347216,1,0
1532350817,0,1
1532354417,0,1
1532358018,0,2
1532365219,1,2
1532368819,0,3
1532372419,1,1
1532376018,0,1
1532379617,0,4
1532386817,0,3
1532397617,0,1
1532401223,1,0
1532404818,1,0
1532412017,1,0
1532415616,1,0
1532426417,1,0
1532430017,1,0
1532433617,1,2
1532437217,1,0
1532440817,1,0
1532444416,0,1
1532451618,2,0
1532458817,0,2
1532462417,2,0
1532466016,0,1
1532469617,1,0
1532476817,1,0
1532480417,0,1
1532484017,6,1
1532494817,1,0
1532498417,0,2
1532505617,0,6
1532509217,1,0
1532512818,2,0
1532516417,0,6
1532520018,2,0
1532523618,1,0
1532527219,1,0
1532530817,0,1
1532538016,2,0
1532556022,1,1
1532559617,1,1
1532574017,1,0
1532577617,1,1
1532581217,3,0
1532584817,1,0
1532588417,1,1
1532592017,3,0
1532595617,1,1
1532602817,2,0
1532606419,1,1
1532613619,2,1
1532617217,1,2
1532624420,0,1
1532628018,1,0
1532631617,0,1
1532635219,0,1
1532638817,3,2
1532646019,2,4
1532649618,1,0
1532653219,1,0
1532656817,2,0
1532664020,0,1
1532667620,0,1
1532674816,0,1
1532678418,0,2
1532682023,1,1
1532685616,0,1
1532692815,1,2
1532700015,1,0
1532707216,1,0
1532714415,1,2
1532718015,1,0
1532721615,0,1
1532725222,9,1
1532728815,1,1
1532732416,1,1
1532736016,1,1
1532754019,1,0
1532757615,0,2
1532761217,0,1
1532764815,1,0
1532790015,1,0
1532797217,1,1
1532800816,0,1
1532804416,2,1
1532812894,0,1
1532818815,1,8
1532833216,2,0
1532836817,1,0
1532844015,1,0
1532847617,0,1
1532851218,3,2
1532854817,3,0
1532858416,1,1
1532862019,0,1
1532865617,1,1
1532872816,1,0
1532876417,0,2
1532880026,0,2
1532883615,0,1
1532887215,0,4
1532890817,2,1
1532894415,6,8
1532901615,1,1
1532905216,2,2
1532908815,2,0
1532923215,1,0
1532926816,1,0
1532930415,0,1
1532934019,3,0
1532937617,2,0
1532941216,2,1
1532944816,1,0
1532952016,11,1
1532955616,0,1
1532962817,0,1
1532970017,3,0
1532973616,3,0
1532977216,0,1
1532980816,0,1
1532988016,3,1
1532995216,2,0
1533006017,0,1
1533009617,0,1
1533016816,0,1
1533020417,4,0
1533024021,0,1
1533027616,2,0
1533031216,0,1
1533034818,1,1
1533038417,1,0
1533042018,1,1
1533049217,1,0
1533056425,1,0
1533063623,0,1
1533067219,0,2
1533070816,2,0
