DateTime,AddedIPs,RemovedIPs
1524639800,0,3
1524646983,1,0
1524668556,1,0
1524679396,1,0
1524700937,1,0
1524711740,1,0
1524715350,0,1
1524726187,0,1
1524747741,1,1
1524783804,1,0
1524791003,1,0
1524812622,1,0
1524816203,1,0
1524819801,0,1
1524852204,0,1
1524855809,0,1
1524866620,3,0
1524888205,0,1
1524891784,0,1
1524938583,1,0
1524949410,1,0
1524967386,1,0
1524971002,1,0
1525010574,1,0
1525053780,2,0
1525068195,0,1
1525071773,0,1
1525086201,1,0
1525104194,0,1
1525107798,0,1
1525122199,0,2
1525169007,4,0
1525197798,0,1
1525230166,0,1
1525233769,1,0
1525237377,0,2
1525258952,0,1
1525273383,1,0
1525302193,0,1
1525338202,1,0
1525349005,1,0
1525377817,1,0
1525417395,1,1
1525421004,1,0
1525435373,1,0
1525446187,0,1
1525453370,1,0
1525457003,0,1
1525467813,0,1
1525478586,1,1
1525482187,1,0
1525496610,1,0
1525514595,0,1
1525521814,0,1
1525525405,0,1
1525543411,0,1
1525565004,0,1
1525590191,0,1
1525604561,1,0
1525636973,0,1
1525647788,1,0
1525655008,1,0
1525683762,0,1
1525687339,0,1
1525690985,0,2
1525723371,0,1
1525737800,1,0
1525795409,0,1
1525809773,1,0
1525824171,1,0
1525845812,0,1
1525853005,0,1
1525874601,0,3
1525885409,1,0
1525910574,1,1
1525921404,1,0
1525932185,1,0
1525943009,0,1
1525946603,0,1
1525964607,1,1
1525968206,2,0
1525975390,1,0
1526022210,0,1
1526029401,1,0
1526040170,0,1
1526043781,0,1
1526065391,1,0
1526101375,0,1
1526144580,0,1
1526158999,1,0
1526184149,2,0
1526198603,1,0
1526223810,1,0
1526252577,0,1
1526266952,0,1
1526281408,0,1
1526306588,0,0
1526328165,0,1
1526342585,0,1
1526400208,0,2
1526450558,0,1
1526461350,1,0
1526508172,0,1
1526526195,1,0
1526536997,0,1
1526565806,1,0
1526573014,0,1
1526576597,0,1
1526580190,0,1
1526583756,1,0
1526587385,0,1
1526612586,0,1
1526619786,1,0
1526659387,1,0
1526666569,1,0
1526680992,0,1
1526684580,0,1
1526688206,1,0
1526691777,0,1
1526702607,0,1
1526716970,1,0
1526752989,1,0
1526788993,0,1
1526792559,1,0
1526810577,0,1
1526835789,0,1
1526886206,1,0
1526904187,2,0
1526947407,0,1
1526997804,0,1
1527026593,0,1
1527030190,1,0
1527037394,2,0
1527044605,1,0
1527066188,0,1
1527102177,1,0
1527105794,0,1
1527127393,1,0
1527159808,1,0
1527163409,1,0
1527188604,1,0
1527199422,1,0
1527206569,1,0
1527224590,0,1
1527228183,1,0
1527231795,1,0
1527235412,1,0
1527278598,0,1
1527289396,0,0
1527293004,0,0
1527296608,0,1
1527300186,0,0
1527303814,0,0
1527307397,0,0
1527310996,0,0
1527314575,0,0
1527318200,0,0
1527321813,0,1
1527325408,0,0
1527329013,0,0
1527332603,0,0
1527336209,0,0
1527343385,0,0
1527346991,0,0
1527350588,1,0
1527354186,0,0
1527357792,0,0
1527361389,0,0
1527365002,0,0
1527368608,0,0
1527372200,0,0
1527375796,0,0
1527379408,0,0
1527382999,0,0
1527386592,0,0
1527390198,1,0
1527393774,0,0
1527397396,0,0
1527419004,0,1
1527426223,0,1
1527451406,0,1
1527491008,0,1
1527509007,0,1
1527555801,1,0
1527566601,1,0
1527595412,1,0
1527635020,1,0
1527638627,0,1
1527642220,2,0
1527649411,0,1
1527656610,0,1
1527681814,0,1
1527689008,0,1
1527707015,0,2
1527724837,0,1
1527771797,1,0
1527822197,1,0
1527832991,0,1
1527868973,0,1
1527876130,0,1
1527879767,0,1
1527883366,1,0
1527890607,1,0
1527901389,0,1
1527912201,0,0
1527915814,0,0
1527919372,0,0
1527922982,0,0
1527926576,0,0
1527930176,0,0
1527933745,0,2
1527937397,0,0
1527941016,0,0
1527944600,0,0
1527948194,0,0
1527951817,0,0
1527955362,0,0
1527959007,0,1
1527962610,0,0
1527966187,0,1
1527969784,0,0
1527973408,0,0
1527976973,0,0
1527980595,0,0
1527984178,0,0
1527987773,0,0
1527991363,0,0
1527994959,0,1
1527998578,0,0
1528002181,0,0
1528045373,0,1
1528070597,1,0
1528077803,1,1
1528153377,0,1
1528171368,0,1
1528174968,1,0
1528200159,1,0
1528203775,1,0
1528210974,1,0
1528246961,0,1
1528257765,1,0
1528275763,1,0
1528279365,0,1
1528308153,0,0
1528311746,0,0
1528315365,0,0
1528322561,1,0
1528329757,2,0
1528416176,1,0
1528434178,0,1
1528466567,1,0
1528484563,0,1
1528488162,0,1
1528531367,0,1
1528560163,1,0
1528617780,0,1
1528675385,0,1
1528682558,1,0
1528686165,0,1
1528689779,1,0
1528707767,0,1
1528750974,1,0
1528779795,2,1
1528826591,0,1
1528830170,0,1
1528840975,0,1
1528848185,1,0
1528855358,1,0
1528862566,0,1
1528920185,1,0
1528923803,1,0
1528927382,0,1
1528931012,1,0
1528934590,0,1
1528941755,0,1
1528945372,0,1
1529046167,0,1
1529082185,1,0
1529114612,0,1
1529164984,0,1
1529172185,1,0
1529211796,1,0
1529334193,1,0
1529348576,1,0
1529363011,1,0
1529377371,1,0
1529460205,0,1
1529492615,0,1
1529524989,0,1
1529589809,1,0
1529618612,0,1
1529629410,1,0
1529661813,1,1
1529708573,1,0
1529762573,1,0
1529769801,2,0
1529773404,0,1
1529805809,0,1
1529809404,1,0
1529852610,0,1
1529867000,1,0
1529881403,0,1
1529888596,0,1
1529892199,0,2
1529939013,0,1
1529953414,0,1
1529960594,1,0
1530050614,1,0
1530054219,0,1
1530068596,1,0
1530154985,1,0
1530158605,1,0
1530223401,1,0
1530234197,3,0
1530255804,2,0
1530302598,0,1
1530324174,1,0
1530345802,0,1
1530353010,1,0
1530367407,0,1
1530371002,0,1
1530385406,0,1
1530392606,1,0
1530399806,0,1
1530407017,0,1
1530428616,0,1
1530453782,1,0
1530471813,0,1
1530475391,1,0
1530511390,0,1
1530558205,1,0
1530565366,0,1
1530579810,1,0
1530583412,1,0
1530597786,0,1
1530604988,0,1
1530615810,1,0
1530626612,1,0
1530648206,1,0
1530673409,0,1
1530691394,0,1
1530694958,1,0
1530748999,1,0
1530831808,0,1
1530839005,0,2
1530853414,1,0
1530856982,1,0
1530860597,1,1
1530867805,0,3
1530871401,1,0
1530878621,1,0
1530889409,1,0
1530903784,1,0
1530910986,2,0
1530928988,0,1
1530946992,1,0
1530950599,2,0
1530965034,1,0
1530972200,2,0
1530997387,0,1
1531004614,2,0
1531008200,1,0
1531055008,0,1
1531109012,1,0
1531112607,1,0
1531116202,1,0
1531141400,1,0
1531148577,1,0
1531166593,0,1
1531195397,1,0
1531220606,0,1
1531231405,0,1
1531263811,1,0
1531285425,1,0
1531299810,1,0
1531379025,0,1
1531389822,1,0
1531393419,1,0
1531429420,1,0
1531436622,1,0
1531468995,1,0
1531476212,0,1
1531490594,4,1
1531494215,0,1
1531508606,0,1
1531515819,1,0
1531555417,0,1
1531569798,0,1
1531577022,0,1
1531580588,1,1
1531609425,0,1
1531613005,0,2
1531645423,0,1
1531649023,0,1
1531652604,1,0
1531670593,0,1
1531681407,1,0
1531717413,3,0
1531739012,1,0
1531746202,0,1
1531760617,0,1
1531764205,1,0
1531782190,0,1
1531785811,0,1
1531796623,0,1
1531803790,1,0
1531811015,1,0
1531828991,1,0
1531868616,0,1
1531872194,0,1
1531893799,0,1
1531911802,0,1
1531915406,0,1
1531919018,0,1
1531929807,1,0
1531933397,0,1
1531937018,1,1
1531940606,1,2
1531947815,0,1
1531955010,1,0
1531994603,0,1
1531998181,0,1
1532019813,1,0
1532023408,1,0
1532034206,0,1
1532037808,2,0
1532045018,0,1
1532059366,2,0
1532095407,0,4
1532099013,0,1
1532102600,0,1
1532106199,1,0
1532109810,1,0
1532138604,1,0
1532153018,0,1
1532178191,1,0
1532185425,0,1
1532257421,0,1
1532278987,1,0
1532282602,0,1
1532289816,1,0
1532318588,1,0
1532322211,0,3
1532336557,1,0
1532343811,0,1
1532351004,1,0
1532369011,2,0
1532390574,0,1
1532394183,1,0
1532405029,1,0
1532415799,0,2
1532426653,0,1
1532430229,1,0
1532484219,2,0
1532505837,1,0
1532513048,1,0
1532516618,1,0
1532530988,0,1
1532534608,1,0
1532552611,1,1
1532566995,1,0
1532570608,1,0
1532610198,1,0
1532642602,1,2
1532649821,0,1
1532657013,1,0
1532692999,0,1
1532700197,0,1
1532703781,1,0
1532707396,0,1
1532714611,1,1
1532725416,3,0
1532732610,1,0
1532750584,0,1
1532761385,0,1
1532772196,1,0
1532782970,1,1
1532786543,1,0
1532797349,1,0
1532800964,1,1
1532804547,2,0
1532815770,1,0
1532829745,1,0
1532840562,2,0
1532847747,1,0
1532862142,1,0
1532869349,0,1
1532887351,1,0
1532898142,1,0
1532908954,0,1
1532948526,0,1
1532955707,0,1
1533016915,0,1
1533034892,1,0
1533045699,0,1
1533056508,1,0
1533067293,1,0
1533088912,0,2
1533103313,1,0
1533110516,1,0
