DateTime,Entries,UniqueIPs
1526461350,21,21
1526508172,20,20
1526526195,21,21
1526536997,20,20
1526565806,21,21
1526573014,20,20
1526576597,19,19
1526580190,18,18
1526583756,19,19
1526587385,18,18
1526612586,17,17
1526619786,18,18
1526659387,19,19
1526666569,20,20
1526680992,19,19
1526684580,18,18
1526688206,19,19
1526691777,18,18
1526702607,17,17
1526716970,18,18
1526752989,19,19
1526788993,18,18
1526792559,19,19
1526810577,18,18
1526835789,17,17
1526886206,18,18
1526904187,20,20
1526947407,19,19
1526997804,18,18
1527026593,17,17
1527030190,18,18
1527037394,20,20
1527044605,21,21
1527066188,20,20
1527102177,21,21
1527105794,20,20
1527127393,21,21
1527159808,22,22
1527163409,23,23
1527188604,24,24
1527199422,25,25
1527206569,26,26
1527224590,25,25
1527228183,26,26
1527231795,27,27
1527235412,28,28
1527278598,27,27
1527289396,27,27
1527289396,27,27
1527293004,27,27
1527293004,27,27
1527296608,26,26
1527300186,26,26
1527300186,26,26
1527300186,26,26
1527303814,26,26
1527303814,26,26
1527303814,26,26
1527307397,26,26
1527307397,26,26
1527307397,26,26
1527310996,26,26
1527310996,26,26
1527314575,26,26
1527314575,26,26
1527314575,26,26
1527314575,26,26
1527318200,26,26
1527318200,26,26
1527318200,26,26
1527321813,25,25
1527321813,25,25
1527321813,25,25
1527325408,25,25
1527325408,25,25
1527325408,25,25
1527329013,25,25
1527329013,25,25
1527329013,25,25
1527332603,25,25
1527332603,25,25
1527332603,25,25
1527336209,25,25
1527336209,25,25
1527336209,25,25
1527336209,25,25
1527336209,25,25
1527336209,25,25
1527336209,25,25
1527343385,25,25
1527343385,25,25
1527346991,25,25
1527346991,25,25
1527350588,26,26
1527350588,26,26
1527354186,26,26
1527354186,26,26
1527354186,26,26
1527357792,26,26
1527357792,26,26
1527361389,26,26
1527361389,26,26
1527361389,26,26
1527365002,26,26
1527365002,26,26
1527368608,26,26
1527368608,26,26
1527368608,26,26
1527372200,26,26
1527372200,26,26
1527375796,26,26
1527375796,26,26
1527375796,26,26
1527379408,26,26
1527379408,26,26
1527382999,26,26
1527382999,26,26
1527382999,26,26
1527386592,26,26
1527386592,26,26
1527390198,27,27
1527390198,27,27
1527390198,27,27
1527390198,27,27
1527393774,27,27
1527393774,27,27
1527393774,27,27
1527397396,27,27
1527397396,27,27
1527397396,27,27
1527419004,26,26
1527426223,25,25
1527451406,24,24
1527491008,23,23
1527509007,22,22
1527555801,23,23
1527566601,24,24
1527595412,25,25
1527635020,26,26
1527638627,25,25
1527642220,27,27
1527649411,26,26
1527656610,25,25
1527681814,24,24
1527689008,23,23
1527707015,21,21
1527724837,20,20
1527771797,21,21
1527822197,22,22
1527832991,21,21
1527868973,20,20
1527876130,19,19
1527879767,18,18
1527883366,19,19
1527890607,20,20
1527901389,19,19
1527912201,19,19
1527912201,19,19
1527915814,19,19
1527915814,19,19
1527919372,19,19
1527922982,19,19
1527922982,19,19
1527922982,19,19
1527926576,19,19
1527926576,19,19
1527930176,19,19
1527930176,19,19
1527930176,19,19
1527930176,19,19
1527933745,17,17
1527933745,17,17
1527933745,17,17
1527937397,17,17
1527937397,17,17
1527937397,17,17
1527941016,17,17
1527941016,17,17
1527941016,17,17
1527944600,17,17
1527944600,17,17
1527944600,17,17
1527948194,17,17
1527948194,17,17
1527948194,17,17
1527951817,17,17
1527951817,17,17
1527951817,17,17
1527955362,17,17
1527955362,17,17
1527955362,17,17
1527959007,16,16
1527959007,16,16
1527959007,16,16
1527962610,16,16
1527962610,16,16
1527962610,16,16
1527966187,15,15
1527966187,15,15
1527966187,15,15
1527969784,15,15
1527969784,15,15
1527969784,15,15
1527969784,15,15
1527973408,15,15
1527973408,15,15
1527973408,15,15
1527976973,15,15
1527976973,15,15
1527976973,15,15
1527980595,15,15
1527980595,15,15
1527980595,15,15
1527984178,15,15
1527984178,15,15
1527984178,15,15
1527987773,15,15
1527987773,15,15
1527987773,15,15
1527991363,15,15
1527991363,15,15
1527991363,15,15
1527994959,14,14
1527994959,14,14
1527994959,14,14
1527998578,14,14
1527998578,14,14
1527998578,14,14
1528002181,14,14
1528002181,14,14
1528045373,13,13
1528070597,14,14
1528077803,14,14
1528153377,13,13
1528171368,12,12
1528174968,13,13
1528200159,14,14
1528203775,15,15
1528210974,16,16
1528246961,15,15
1528257765,16,16
1528275763,17,17
1528279365,16,16
1528308153,16,16
1528315365,16,16
1528322561,17,17
1528322561,17,17
1528329757,19,19
1528416176,20,20
1528434178,19,19
1528466567,20,20
1528484563,19,19
1528488162,18,18
1528531367,17,17
1528560163,18,18
1528617780,17,17
1528675385,16,16
1528682558,17,17
1528686165,16,16
1528689779,17,17
1528707767,16,16
1528750974,17,17
1528779795,18,18
1528826591,17,17
1528830170,16,16
1528840975,15,15
1528848185,16,16
1528855358,17,17
1528862566,16,16
1528920185,17,17
1528923803,18,18
1528927382,17,17
1528931012,18,18
1528934590,17,17
1528941755,16,16
1528945372,15,15
1529046167,14,14
1529082185,15,15
1529114612,14,14
1529164984,13,13
1529172185,14,14
1529211796,15,15
1529334193,16,16
1529348576,17,17
1529363011,18,18
1529377371,19,19
1529460205,18,18
1529492615,17,17
1529524989,16,16
1529589809,17,17
1529618612,16,16
1529629410,17,17
1529661813,17,17
1529708573,18,18
1529762573,19,19
1529769801,21,21
1529773404,20,20
1529805809,19,19
1529809404,20,20
1529852610,19,19
1529867000,20,20
1529881403,19,19
1529888596,18,18
1529892199,16,16
1529939013,15,15
1529953414,14,14
1529960594,15,15
1530050614,16,16
1530054219,15,15
1530068596,16,16
1530154985,17,17
1530158605,18,18
1530223401,19,19
1530234197,22,22
1530255804,24,24
1530302598,23,23
1530324174,24,24
1530345802,23,23
1530353010,24,24
1530367407,23,23
1530371002,22,22
1530385406,21,21
1530392606,22,22
1530399806,21,21
1530407017,20,20
1530428616,19,19
1530453782,20,20
1530471813,19,19
1530475391,20,20
1530511390,19,19
1530558205,20,20
1530565366,19,19
1530579810,20,20
1530583412,21,21
1530597786,20,20
1530604988,19,19
