DateTime,AddedIPs,RemovedIPs
1530975828,1,3
1530979425,2,0
1530983014,0,2
1530986611,0,1
1530990212,0,2
1530993812,2,0
1530997409,0,1
1531004636,4,2
1531008222,2,3
1531011822,4,2
1531015415,0,2
1531019018,15,1
1531022614,1,1
1531026235,2,0
1531029823,0,1
1531033427,0,2
1531037008,0,1
1531040619,1,2
1531044203,1,1
1531047815,1,2
1531051405,0,1
1531055031,2,0
1531058621,0,5
1531062217,0,18
1531065832,2,3
1531069417,1,2
1531073028,2,2
1531076634,0,1
1531080229,0,1
1531083805,2,4
1531087428,0,4
1531091015,1,1
1531094611,0,1
1531098221,2,2
1531101808,0,3
1531105428,1,0
1531109031,1,3
1531112627,4,2
1531116222,0,2
1531119815,1,0
1531123426,1,0
1531127020,2,0
1531130644,0,1
1531134223,2,0
1531145018,1,0
1531148598,20,0
1531152224,1,7
1531155831,0,2
1531159424,0,1
1531163042,1,3
1531166614,2,2
1531170217,0,2
1531173806,2,1
1531177413,2,2
1531180946,2,4
1531184605,1,4
1531188223,0,5
1531191823,1,7
1531195416,0,1
1531199013,1,2
1531206215,1,1
1531217019,2,0
1531220626,0,2
1531227831,1,0
1531231424,2,1
1531235022,2,1
1531238626,0,1
1531242225,2,3
1531245814,0,2
1531249440,1,4
1531253043,0,3
1531256616,2,0
1531263831,2,0
1531267431,3,1
1531271039,3,0
1531274636,3,1
1531278239,1,1
1531285445,3,0
1531289040,0,1
1531292633,0,1
1531296220,1,0
1531299830,0,2
1531303423,0,1
1531307015,1,0
1531310624,4,1
1531314236,1,1
1531317825,1,0
1531321436,1,0
1531325039,1,1
1531328611,0,1
1531332210,2,2
1531335825,2,3
1531339429,1,0
1531343035,1,1
1531346630,2,1
1531350232,3,1
1531353833,2,0
1531357435,2,1
1531361043,0,2
1531364645,1,0
1531371827,1,0
1531375399,0,2
1531379046,1,1
1531382640,1,3
1531389843,0,1
1531397019,1,1
1531400612,0,1
1531404214,0,3
1531407836,1,17
1531411436,0,1
1531415032,1,0
1531418624,2,1
1531422246,1,2
1531425795,1,2
1531429440,1,1
1531433041,0,6
1531436640,1,0
1531440217,0,1
1531443814,2,0
1531447425,1,1
1531451027,0,1
1531454615,3,0
1531458236,1,1
1531465414,2,1
1531469014,1,0
1531479834,2,0
1531483417,2,1
1531487020,0,1
1531490613,0,3
1531494234,1,1
1531497819,0,1
1531501448,1,1
1531505047,0,1
1531512233,0,2
1531515838,1,3
1531519441,4,0
1531523046,4,1
1531526615,4,0
1531530227,1,4
1531533847,1,0
1531537415,2,3
1531541008,2,0
1531544643,2,0
1531548233,1,0
1531551831,0,2
1531555436,1,0
1531559034,0,1
1531562619,1,0
1531569817,3,0
1531573440,1,1
1531577042,2,1
1531580607,1,1
1531584212,2,1
1531591428,5,2
1531595049,0,2
1531598642,0,1
1531602250,2,2
1531605842,2,0
1531609446,2,1
1531613025,5,1
1531616644,4,1
1531623801,0,23
1531641842,0,1
1531649042,1,1
1531652624,0,1
1531663433,26,0
1531667005,1,2
1531670614,0,2
1531674230,1,0
1531677827,0,2
1531681428,1,2
1531688631,1,2
1531692237,2,0
1531695838,5,1
1531699413,4,1
1531703020,1,1
1531706625,2,2
1531710219,2,1
1531713839,2,2
1531717434,1,2
1531721036,5,0
1531724636,0,1
1531728234,0,1
1531731817,2,2
1531735419,1,2
1531739032,2,3
1531742635,1,2
1531746223,1,2
1531749831,1,1
1531753428,1,28
1531757019,3,1
1531760637,2,0
1531764225,1,0
1531771448,0,2
1531775008,0,1
1531782210,3,1
1531785831,3,0
1531789432,1,3
1531793043,0,3
1531796642,1,0
1531803809,2,1
1531811034,1,2
1531814643,1,0
1531821842,1,1
1531825436,2,0
1531832633,0,1
1531836213,1,1
1531843423,0,1
1531850628,0,2
1531854223,1,0
1531857824,3,0
1531861422,1,0
1531865027,1,0
1531868636,0,4
1531872214,1,0
1531875826,0,4
1531879423,3,2
1531883030,2,0
1531886642,2,2
1531890227,1,1
1531893819,4,1
1531897419,0,2
1531901015,0,2
1531904627,0,1
1531908234,1,0
1531919037,1,0
1531922623,1,1
1531926199,1,1
1531933416,1,1
1531937038,0,1
1531940625,0,2
1531944223,2,1
1531951431,1,0
1531955030,2,2
1531958624,2,2
1531962229,4,2
1531965813,0,1
1531969436,2,2
1531973025,1,0
1531976614,0,1
1531983834,0,1
1531987422,0,1
1531991016,1,0
1531998200,1,1
1532001820,1,0
1532009026,0,1
1532012605,0,1
1532016216,1,0
1532019833,0,5
1532023427,0,1
1532026991,2,0
1532030618,1,0
1532034225,1,2
1532041433,1,1
1532045038,1,0
1532052223,1,1
1532055826,1,2
1532059386,1,1
1532063016,1,0
1532066640,5,0
1532070252,2,0
1532073824,1,1
1532084632,1,2
1532088216,0,1
1532095427,0,1
1532099032,2,1
1532102620,0,2
1532106219,1,0
1532109829,1,2
1532113416,0,1
1532120611,1,1
1532124214,1,4
1532127817,1,2
1532131422,2,2
1532135019,2,2
1532138624,8,1
1532142203,2,2
1532145821,2,1
1532149408,0,2
1532153038,1,0
1532156587,0,1
1532163809,0,1
1532167443,0,3
1532174602,1,1
1532178210,1,0
1532181811,2,0
1532185445,3,1
1532189036,1,1
1532192650,1,0
1532196240,1,3
1532199853,2,1
1532203458,2,1
1532207049,2,0
1532210634,1,0
1532214248,2,4
1532217846,0,4
1532221439,2,5
1532225051,2,3
1532228635,1,1
1532232224,0,3
1532239432,1,1
1532246613,1,0
1532250218,1,1
1532253825,1,2
1532257441,2,0
1532264649,2,1
1532268199,0,28
1532271835,1,2
1532275395,3,1
1532279002,1,0
1532282620,0,2
1532286246,4,0
1532293422,3,0
1532300645,2,2
1532304230,0,1
1532307848,0,1
1532315044,0,2
1532318606,0,1
1532322229,0,1
1532325831,0,1
1532329416,0,1
1532336575,1,0
1532340227,0,2
1532343828,0,5
1532347434,0,1
1532351021,1,3
1532354630,0,3
1532358215,0,2
1532361841,2,1
1532365432,0,3
1532369028,1,0
1532372598,0,4
1532383394,1,1
1532387008,1,1
1532390591,1,1
1532397824,0,1
1532401374,1,1
1532405046,2,1
1532408646,1,1
1532415816,1,0
1532419460,0,3
1532423053,0,1
1532430245,0,1
1532437398,1,0
1532441012,1,2
1532444626,2,1
1532451822,5,1
1532455433,0,3
1532459026,1,2
1532462623,4,2
1532466222,2,0
1532469839,1,1
1532473438,3,2
1532477041,1,0
1532480598,2,2
1532484235,2,1
1532487798,2,1
1532491409,0,3
1532495026,1,2
1532498667,1,1
1532502277,0,2
1532505855,0,1
1532509468,0,1
1532513064,0,1
1532516635,2,0
1532520225,2,2
1532523827,1,0
1532527420,0,3
1532531005,2,2
1532534626,1,1
1532538198,2,0
1532545392,0,1
1532549023,0,1
1532556230,1,1
1532559842,2,1
1532563409,0,1
1532567012,0,1
1532570624,1,1
1532574173,2,1
1532577829,1,0
1532581404,0,2
1532585038,1,0
1532588645,0,2
1532592223,0,1
1532599442,1,0
1532603016,1,1
1532606617,1,0
1532610215,3,0
1532613828,2,0
1532617424,1,0
1532621028,1,1
1532624540,0,1
1532628244,3,0
1532631815,2,2
1532639026,1,2
1532642619,1,1
1532646235,1,1
1532649838,1,3
1532653441,1,0
1532657029,2,0
1532660630,3,1
1532664234,4,0
1532667836,4,1
1532671399,2,1
1532675028,4,0
1532678624,6,1
1532682242,6,0
1532685833,3,0
1532689433,2,1
1532693018,5,1
1532696622,5,1
1532700216,2,0
1532703799,1,0
1532711012,2,1
1532714630,0,1
1532721850,2,1
1532732626,0,1
1532736244,2,0
1532739831,1,0
1532743442,3,0
1532747011,4,1
1532750605,2,0
1532754211,2,1
1532757796,2,0
1532765023,1,0
1532768619,1,1
1532772216,1,0
1532775812,3,0
1532779373,1,1
1532782990,2,0
