DateTime,AddedIPs,RemovedIPs
1524211384,1,0
1524276154,1,0
1524283345,2,0
1524394986,1,0
1524466975,0,1
1524484951,1,0
1524488580,0,1
1524510178,0,1
1524513778,0,1
1524517399,0,1
1524528198,1,0
1524549772,0,1
1524571383,1,0
1524603744,1,0
1524618209,1,0
1524643396,0,1
1524661336,0,1
1524733377,1,0
1524736965,0,1
1524744149,0,1
1524783804,1,0
1524877402,1,0
1524888205,0,1
1524895401,1,0
1524920589,0,1
1524963818,1,0
1525017757,1,0
1525028555,1,0
1525053780,1,1
1525089808,0,1
1525122200,1,0
1525140202,1,0
1525150983,0,1
1525158200,1,0
1525176207,0,1
1525190613,1,0
1525208607,0,1
1525226548,1,1
1525330995,1,0
1525338202,0,1
1525388601,1,0
1525446187,1,0
1525482187,0,1
1525496610,1,0
1525536177,5,0
1525546997,1,0
1525565004,1,0
1525568555,0,1
1525597398,0,1
1525601002,0,1
1525622563,0,1
1525665800,1,0
1525669409,2,0
1525676608,1,0
1525680207,1,0
1525683763,1,0
1525726997,0,1
1525744973,0,1
1525773791,1,0
1525806213,1,0
1525842208,1,1
1525860208,0,1
1525881810,0,1
1525889012,0,1
1525921404,1,1
1525946603,0,1
1525953772,1,0
1525957359,0,1
1525971796,1,0
1525993362,0,1
1525997011,0,1
1526000581,0,1
1526022211,1,0
1526029401,0,1
1526101376,0,1
1526123013,1,0
1526137378,0,1
1526140955,0,4
1526144580,0,1
1526169803,0,1
1526177008,2,0
1526180572,1,0
1526187787,1,0
1526220208,0,1
1526245354,1,0
1526270612,0,1
1526274212,0,1
1526281408,2,0
1526288601,1,1
1526306588,0,0
1526310187,2,0
1526313793,0,1
1526349791,1,0
1526360565,1,0
1526378604,0,1
1526403803,0,1
1526436158,1,0
1526461350,0,1
1526526195,1,0
1526551422,1,0
1526558590,0,1
1526576597,1,0
1526616177,1,0
1526623386,0,2
1526626998,0,1
1526670180,1,0
1526673792,1,0
1526688206,0,1
1526724161,0,1
1526727789,1,0
1526767340,0,1
1526792559,0,1
1526842982,1,0
1526846559,1,0
1526875380,1,0
1526878953,1,0
1526886206,0,1
1526893403,1,1
1526896998,0,2
1526914996,0,1
1526929383,1,0
1526965376,0,1
1526969008,1,0
1526972600,0,1
1526979802,0,1
1527044604,0,1
1527051805,0,1
1527102177,1,0
1527112971,1,0
1527134574,1,0
1527156222,0,1
1527159808,1,0
1527177813,1,0
1527202969,1,0
1527231796,0,1
1527278598,0,1
1527282207,0,2
1527289395,0,0
1527293004,0,0
