DateTime,AddedIPs,RemovedIPs
1531314467,10,27
1531318067,34,23
1531321672,42,16
1531325274,16,63
1531328872,25,39
1531332470,19,26
1531336076,28,43
1531339664,15,24
1531343273,24,38
1531346883,36,22
1531350471,18,25
1531354069,15,36
1531357672,13,18
1531361294,18,19
1531364873,35,18
1531368468,9,25
1531372076,27,42
1531375659,15,32
1531379272,27,33
1531382869,12,23
1531386473,19,28
1531390073,30,28
1531393669,60,12
1531397273,8,33
1531400871,12,17
1531404471,20,18
1531408071,35,23
1531411668,14,15
1531415274,20,25
1531418877,11,32
1531422470,24,24
1531426060,15,35
1531429677,18,22
1531433264,37,28
1531436862,14,36
1531440474,9,39
1531444066,8,40
1531447664,14,16
1531451267,34,22
1531454861,9,22
1531458466,40,23
1531462060,19,13
1531465650,20,20
1531469254,16,22
1531472848,14,19
1531476455,34,15
1531480062,41,9
1531483663,68,14
1531487262,49,56
1531490849,20,36
1531494457,27,57
1531498076,38,38
1531501662,18,62
1531505272,32,30
1531508869,20,28
1531512459,18,59
1531516062,17,26
1531519668,22,19
1531523267,26,23
1531526874,14,16
1531530460,9,53
1531534116,5,27
1531537653,26,40
1531541247,33,25
1531544858,13,34
1531548454,23,25
1531552050,13,28
1531555646,26,47
1531559251,14,14
1531562848,22,15
1531566444,26,16
1531570048,11,10
1531573639,8,61
1531577246,8,30
1531580842,21,25
1531584448,33,34
1531588052,15,18
1531591652,20,36
1531595251,12,17
1531598848,28,27
1531602450,13,36
1531606049,26,20
1531609644,38,20
1531613251,13,6
1531616854,9,27
1531620449,8,43
1531624051,17,17
1531627643,41,26
1531631249,17,27
1531634852,21,28
1531638449,7,16
1531642053,37,23
1531645651,64,38
1531649257,53,15
1531652857,64,19
1531656456,70,13
1531660055,26,19
1531663652,27,28
1531667240,24,14
1531670861,66,29
1531674462,29,17
1531678059,26,29
1531681658,32,17
1531685255,42,16
1531688864,53,36
1531692462,22,14
1531696059,26,6
1531699675,30,14
1531703263,22,15
1531706865,25,47
1531710460,18,15
1531714059,26,36
1531717666,35,16
1531721256,17,28
1531724859,28,14
1531728458,25,26
1531732050,37,42
1531735658,37,17
1531739260,27,12
1531742859,58,16
1531746461,30,13
1531750057,17,49
1531753724,14,18
1531757264,29,17
1531760867,42,28
1531764473,46,22
1531768069,45,23
1531771671,22,12
1531775274,35,20
1531778872,26,28
1531782474,25,12
1531786076,40,45
1531789690,17,15
1531793271,17,25
1531796866,15,34
1531800456,11,20
1531804073,41,25
1531807670,13,31
1531811272,22,27
1531814872,22,17
1531818475,30,19
1531822074,16,31
1531825677,17,24
1531829258,27,38
1531832869,36,26
1531836461,6,44
1531840061,12,35
1531843667,19,25
1531847267,38,29
1531850870,13,19
1531854460,17,34
1531858062,28,29
1531861661,18,34
1531865264,25,45
1531868864,17,17
1531872458,24,15
1531876065,27,20
1531879665,11,24
1531883258,11,44
1531886856,9,65
1531890455,21,38
1531894055,29,20
1531897665,21,30
1531901253,24,13
1531904859,25,27
1531908461,13,39
1531912048,11,21
1531915646,18,19
1531919250,32,13
1531922852,15,26
1531926445,17,47
1531930054,6,27
1531933653,42,31
1531937256,72,25
1531940856,26,31
1531944460,31,16
1531948052,14,18
1531951651,30,42
1531955254,37,17
1531958856,26,15
1531962458,33,14
1531966060,17,20
1531969652,27,43
1531973252,6,14
1531976869,13,35
1531980465,31,22
1531984070,15,28
1531987666,26,17
1531991262,8,28
1531994876,31,29
1531998444,9,66
1532002051,26,12
1532005655,31,15
1532009256,18,28
1532012845,3,41
1532016441,11,18
1532020043,12,23
1532023645,37,11
1532027244,6,31
1532030841,27,20
1532034445,44,18
1532038038,23,41
1532041642,18,20
1532045241,10,9
1532048851,32,14
1532052443,13,20
1532056042,5,38
1532059640,3,14
1532063265,4,48
1532066865,30,22
1532070474,19,28
1532074075,15,23
1532077680,26,12
1532081280,24,33
1532084873,17,23
1532088473,15,17
1532092037,21,16
1532095671,25,15
1532099264,17,28
1532102867,6,39
1532106477,23,20
1532110076,18,29
1532113677,48,21
1532117250,27,24
1532120874,30,10
1532124463,14,30
1532128076,29,32
1532131681,18,23
1532135281,16,17
1532138872,25,7
1532142442,13,29
1532146039,7,36
1532149672,9,17
1532153276,19,27
1532156877,34,18
1532160476,13,30
1532164067,21,22
1532167664,17,18
1532171231,31,25
1532174831,9,13
1532178454,19,9
1532182063,30,11
1532185662,14,24
1532189255,8,40
1532192857,19,20
1532196451,14,32
1532200060,64,18
1532203656,25,29
1532207259,38,14
1532210862,12,19
1532214460,23,45
1532218055,20,17
1532221659,25,11
1532225268,29,10
1532228869,27,10
1532232470,7,43
1532236074,11,18
1532239667,15,30
1532243245,37,19
1532246875,13,27
1532250468,14,38
1532254078,24,35
1532257669,16,44
1532261254,24,52
1532264854,16,17
1532268452,13,18
1532272051,24,22
1532275660,13,51
1532279258,35,32
1532282849,19,27
1532286455,13,39
1532290048,8,35
1532293642,9,57
1532297278,33,25
1532300844,10,34
1532304445,16,44
1532308044,22,36
1532311654,17,24
1532315244,23,31
1532318813,12,33
1532322441,13,46
1532326046,26,26
1532329643,14,42
1532333245,9,50
1532336836,4,46
1532340439,16,46
1532344028,34,50
1532347624,23,79
1532351229,64,41
1532354836,68,33
1532358441,99,29
1532362037,53,39
1532365644,46,41
1532369231,75,29
1532372813,39,39
1532376443,29,20
1532380053,35,40
1532383651,44,34
1532387230,44,23
1532390827,30,47
1532394420,28,23
1532398016,26,20
1532401611,35,22
1532405248,19,31
1532408834,29,43
1532412435,39,28
1532415988,22,29
1532419634,5,26
1532423232,16,40
1532426833,20,30
1532430432,38,22
1532434010,21,37
1532437613,27,45
1532441211,26,15
1532444810,27,21
1532448415,24,21
1532452019,23,41
1532455662,37,19
1532459209,25,23
1532462817,11,31
1532466410,22,28
1532470013,14,31
1532473617,56,15
1532477218,19,28
1532480796,18,32
1532484411,26,26
1532488013,23,15
1532491616,22,5
1532495209,19,28
1532498828,36,42
1532502434,36,19
1532506042,16,31
1532509634,18,26
1532513231,9,21
1532516839,28,17
1532520443,36,28
1532524042,19,34
1532527641,38,29
1532531213,21,23
1532534810,17,10
1532538411,52,32
1532542014,105,38
1532545614,108,21
1532549216,34,34
1532552816,13,19
1532556417,16,39
1532560015,28,38
1532563617,38,24
1532567218,13,36
1532570817,21,18
1532574414,15,26
1532578013,29,7
1532581612,14,14
1532585212,16,34
1532588818,41,17
1532592413,10,32
1532596012,9,19
1532599620,17,29
1532603216,40,8
1532606818,20,23
1532610413,7,38
1532614016,15,13
1532617619,37,9
1532621220,23,9
1532624807,13,10
1532628417,42,41
1532632016,20,9
1532635620,10,30
1532639219,17,44
1532642818,15,23
1532646419,41,16
1532650016,20,10
1532653618,32,35
1532657214,17,15
1532660819,31,10
1532664422,14,7
1532668024,15,8
1532671616,39,32
1532675219,19,22
1532678818,11,20
1532682416,9,27
1532686016,13,28
1532689617,44,22
1532693217,22,8
1532696817,27,25
1532700421,17,24
1532704017,24,20
1532707613,29,5
1532711220,43,25
1532714826,49,20
1532718426,27,38
1532722023,16,18
1532725622,13,26
1532729225,12,13
1532732826,69,27
1532736428,24,13
1532740028,12,17
1532743630,24,30
1532747227,20,13
1532750829,47,7
1532754425,14,17
1532758031,31,22
1532761631,30,34
1532765227,5,12
1532768828,18,22
1532772427,40,16
1532776028,25,34
1532779631,38,15
1532783230,23,19
1532786830,27,34
1532790428,12,14
1532794032,57,13
1532797632,23,23
1532801234,21,22
1532804835,35,63
1532808433,18,26
1532819232,37,82
1532822831,37,17
1532826428,18,28
1532830025,22,28
1532833634,18,29
1532837252,27,13
1532840847,10,11
1532844433,15,13
1532848066,38,31
1532851661,16,14
1532855250,6,15
1532858832,16,29
1532862451,35,14
1532866078,87,17
1532869661,27,15
1532873250,53,18
1532876840,26,25
1532880459,30,13
1532884055,19,31
1532887640,21,18
1532891241,41,9
1532894841,18,9
1532898448,15,10
1532902049,16,38
1532905644,15,16
1532909250,39,24
1532912847,15,25
1532916439,31,17
1532920038,19,19
1532923638,29,10
1532927251,27,19
1532930846,24,24
1532934447,52,23
1532938041,27,11
1532941640,32,6
1532945246,20,26
1532948842,30,34
1532952445,53,21
1532956042,13,41
1532959643,15,52
1532963238,37,90
1532966834,25,45
1532970436,44,36
1532974038,100,47
1532977640,58,33
1532981242,44,27
1532984843,27,26
1532988444,18,35
1532992050,18,49
1532995640,28,33
1532999238,84,38
1533002844,13,30
1533006443,25,46
1533010047,26,27
1533013638,26,28
1533017247,20,52
1533020853,16,21
1533024440,70,19
1533028041,23,23
1533031643,12,28
1533035243,11,43
1533038840,22,22
1533042437,38,35
1533046039,16,28
1533049638,57,32
1533053238,22,30
1533056839,31,31
1533060437,9,46
1533064032,26,32
1533067640,38,30
1533071238,20,27
1533074835,11,30
1533078433,11,57
1533082040,17,26
1533085635,42,28
1533089234,23,29
1533092838,24,24
1533096428,13,30
1533100034,38,17
1533103639,15,40
1533107234,24,26
1533110834,46,22
1533114434,24,17
1533118037,42,12
