DateTime,Entries,UniqueIPs
1531314467,6863,6863
1531318067,6874,6874
1531321672,6900,6900
1531325274,6853,6853
1531328872,6839,6839
1531332470,6832,6832
1531336076,6817,6817
1531339664,6808,6808
1531343273,6794,6794
1531346883,6808,6808
1531350471,6801,6801
1531354069,6780,6780
1531357672,6775,6775
1531361294,6774,6774
1531364873,6791,6791
1531368468,6775,6775
1531372076,6760,6760
1531375659,6743,6743
1531379272,6737,6737
1531382869,6726,6726
1531386473,6717,6717
1531390073,6719,6719
1531393669,6767,6767
1531397273,6742,6742
1531400871,6737,6737
1531404471,6739,6739
1531408071,6751,6751
1531411668,6750,6750
1531415274,6745,6745
1531418877,6724,6724
1531422470,6724,6724
1531426060,6704,6704
1531429677,6700,6700
1531433264,6709,6709
1531436862,6687,6687
1531440474,6657,6657
1531444066,6625,6625
1531447664,6623,6623
1531451267,6635,6635
1531454861,6622,6622
1531458466,6639,6639
1531462060,6645,6645
1531465650,6645,6645
1531469254,6639,6639
1531472848,6634,6634
1531476455,6653,6653
1531480062,6685,6685
1531483663,6739,6739
1531487262,6732,6732
1531490849,6716,6716
1531494457,6686,6686
1531498076,6686,6686
1531501662,6642,6642
1531505272,6644,6644
1531508869,6636,6636
1531512459,6595,6595
1531516062,6586,6586
1531519668,6589,6589
1531523267,6592,6592
1531526874,6590,6590
1531530460,6546,6546
1531534116,6524,6524
1531537653,6510,6510
1531541247,6518,6518
1531544858,6497,6497
1531548454,6495,6495
1531552050,6480,6480
1531555646,6459,6459
1531559251,6459,6459
1531562848,6466,6466
1531566444,6476,6476
1531570048,6477,6477
1531573639,6424,6424
1531577246,6402,6402
1531580842,6398,6398
1531584448,6397,6397
1531588052,6394,6394
1531591652,6378,6378
1531595251,6373,6373
1531598848,6374,6374
1531602450,6351,6351
1531606049,6357,6357
1531609644,6375,6375
1531613251,6382,6382
1531616854,6364,6364
1531620449,6329,6329
1531624051,6329,6329
1531627643,6344,6344
1531631249,6334,6334
1531634852,6327,6327
1531638449,6318,6318
1531642053,6332,6332
1531645651,6358,6358
1531649257,6396,6396
1531652857,6441,6441
1531656456,6498,6498
1531660055,6505,6505
1531663652,6504,6504
1531667240,6514,6514
1531670861,6551,6551
1531674462,6563,6563
1531678059,6560,6560
1531681658,6575,6575
1531685255,6601,6601
1531688864,6618,6618
1531692462,6626,6626
1531696059,6646,6646
1531699675,6662,6662
1531703263,6669,6669
1531706865,6647,6647
1531710460,6650,6650
1531714059,6640,6640
1531717666,6659,6659
1531721256,6648,6648
1531724859,6662,6662
1531728458,6661,6661
1531732050,6656,6656
1531735658,6676,6676
1531739260,6691,6691
1531742859,6733,6733
1531746461,6750,6750
1531750057,6718,6718
1531753724,6714,6714
1531757264,6726,6726
1531760867,6740,6740
1531764473,6764,6764
1531768069,6786,6786
1531771671,6796,6796
1531775274,6811,6811
1531778872,6809,6809
1531782474,6822,6822
1531786076,6817,6817
1531789690,6819,6819
1531793271,6811,6811
1531796866,6792,6792
1531800456,6783,6783
1531804073,6799,6799
1531807670,6781,6781
1531811272,6776,6776
1531814872,6781,6781
1531818475,6792,6792
1531822074,6777,6777
1531825677,6770,6770
1531829258,6759,6759
1531832869,6769,6769
1531836461,6731,6731
1531840061,6708,6708
1531843667,6702,6702
1531847267,6711,6711
1531850870,6705,6705
1531854460,6688,6688
1531858062,6687,6687
1531861661,6671,6671
1531865264,6651,6651
1531868864,6651,6651
1531872458,6660,6660
1531876065,6667,6667
1531879665,6654,6654
1531883258,6621,6621
1531886856,6565,6565
1531890455,6548,6548
1531894055,6557,6557
1531897665,6548,6548
1531901253,6559,6559
1531904859,6557,6557
1531908461,6531,6531
1531912048,6521,6521
1531915646,6520,6520
1531919250,6539,6539
1531922852,6528,6528
1531926445,6498,6498
1531930054,6477,6477
1531933653,6488,6488
1531937256,6535,6535
1531940856,6530,6530
1531944460,6545,6545
1531948052,6541,6541
1531951651,6529,6529
1531955254,6549,6549
1531958856,6560,6560
1531962458,6579,6579
1531966060,6576,6576
1531969652,6560,6560
1531973252,6552,6552
1531976869,6530,6530
1531980465,6539,6539
1531984070,6526,6526
1531987666,6535,6535
1531991262,6515,6515
1531994876,6517,6517
1531998444,6460,6460
1532002051,6474,6474
1532005655,6490,6490
1532009256,6480,6480
1532012845,6442,6442
1532016441,6435,6435
1532020043,6424,6424
1532023645,6450,6450
1532027244,6425,6425
1532030841,6432,6432
1532034445,6458,6458
1532038038,6440,6440
1532041642,6438,6438
1532045241,6439,6439
1532048851,6457,6457
1532052443,6450,6450
1532056042,6417,6417
1532059640,6406,6406
1532063265,6362,6362
1532066865,6370,6370
1532070474,6361,6361
1532074075,6353,6353
1532077680,6367,6367
1532081280,6358,6358
1532084873,6352,6352
1532088473,6350,6350
1532092037,6355,6355
1532095671,6365,6365
1532099264,6354,6354
1532102867,6321,6321
1532106477,6324,6324
1532110076,6313,6313
1532113677,6340,6340
1532117250,6343,6343
1532120874,6363,6363
1532124463,6347,6347
1532128076,6344,6344
1532131681,6339,6339
1532135281,6338,6338
1532138872,6356,6356
1532142442,6340,6340
1532146039,6311,6311
1532149672,6303,6303
1532153276,6295,6295
1532156877,6311,6311
1532160476,6294,6294
1532164067,6293,6293
1532167664,6292,6292
1532171231,6298,6298
1532174831,6294,6294
1532178454,6304,6304
1532182063,6323,6323
1532185662,6313,6313
1532189255,6281,6281
1532192857,6280,6280
1532196451,6262,6262
1532200060,6308,6308
1532203656,6304,6304
1532207259,6328,6328
1532210862,6321,6321
1532214460,6299,6299
1532218055,6302,6302
1532221659,6316,6316
1532225268,6335,6335
1532228869,6352,6352
1532232470,6316,6316
1532236074,6309,6309
1532239667,6294,6294
1532243245,6312,6312
1532246875,6298,6298
1532250468,6274,6274
1532254078,6263,6263
1532257669,6235,6235
1532261254,6207,6207
1532264854,6206,6206
1532268452,6201,6201
1532272051,6203,6203
1532275660,6165,6165
1532279258,6168,6168
1532282849,6160,6160
1532286455,6134,6134
1532290048,6107,6107
1532293642,6059,6059
1532297278,6067,6067
1532300844,6043,6043
1532304445,6015,6015
1532308044,6001,6001
1532311654,5994,5994
1532315244,5986,5986
1532318813,5965,5965
1532322441,5932,5932
1532326046,5932,5932
1532329643,5904,5904
1532333245,5863,5863
1532336836,5821,5821
1532340439,5791,5791
1532344028,5775,5775
1532347624,5719,5719
1532351229,5742,5742
1532354836,5777,5777
1532358441,5847,5847
1532362037,5861,5861
1532365644,5866,5866
1532369231,5912,5912
1532372813,5912,5912
1532376443,5921,5921
1532380053,5916,5916
1532383651,5926,5926
1532387230,5947,5947
1532390827,5930,5930
1532394420,5935,5935
1532398016,5941,5941
1532401611,5954,5954
1532405248,5942,5942
1532408834,5928,5928
1532412435,5939,5939
1532415988,5932,5932
1532419634,5911,5911
1532423232,5887,5887
1532426833,5877,5877
1532430432,5893,5893
1532434010,5877,5877
1532437613,5859,5859
1532441211,5870,5870
1532444810,5876,5876
1532448415,5879,5879
1532452019,5861,5861
1532455662,5879,5879
1532459209,5881,5881
1532462817,5861,5861
1532466410,5855,5855
1532470013,5838,5838
1532473617,5879,5879
1532477218,5870,5870
1532480796,5856,5856
1532484411,5856,5856
1532488013,5864,5864
1532491616,5881,5881
1532495209,5872,5872
1532498828,5866,5866
1532502434,5883,5883
1532506042,5868,5868
1532509634,5860,5860
1532513231,5848,5848
1532516839,5859,5859
1532520443,5867,5867
1532524042,5852,5852
1532527641,5861,5861
1532531213,5859,5859
1532534810,5866,5866
1532538411,5886,5886
1532542014,5953,5953
1532545614,6040,6040
1532549216,6040,6040
1532552816,6034,6034
1532556417,6011,6011
1532560015,6001,6001
1532563617,6015,6015
1532567218,5992,5992
1532570817,5995,5995
1532574414,5984,5984
1532578013,6006,6006
1532581612,6006,6006
1532585212,5988,5988
1532588818,6012,6012
1532592413,5990,5990
1532596012,5980,5980
1532599620,5968,5968
1532603216,6000,6000
1532606818,5997,5997
1532610413,5966,5966
1532614016,5968,5968
1532617619,5996,5996
1532621220,6010,6010
1532624807,6013,6013
1532628417,6014,6014
1532632016,6025,6025
1532635620,6005,6005
1532639219,5978,5978
1532642818,5970,5970
1532646419,5995,5995
1532650016,6005,6005
1532653618,6002,6002
1532657214,6004,6004
1532660819,6025,6025
1532664422,6032,6032
1532668024,6039,6039
1532671616,6046,6046
1532675219,6043,6043
1532678818,6034,6034
1532682416,6016,6016
1532686016,6001,6001
1532689617,6023,6023
1532693217,6037,6037
1532696817,6039,6039
1532700421,6032,6032
1532704017,6036,6036
1532707613,6060,6060
1532711220,6078,6078
1532714826,6107,6107
1532718426,6096,6096
1532722023,6094,6094
1532725622,6081,6081
1532729225,6080,6080
1532732826,6122,6122
1532736428,6133,6133
1532740028,6128,6128
1532743630,6122,6122
1532747227,6129,6129
1532750829,6169,6169
1532754425,6166,6166
1532758031,6175,6175
1532761631,6171,6171
1532765227,6164,6164
1532768828,6160,6160
1532772427,6184,6184
1532776028,6175,6175
1532779631,6198,6198
1532783230,6202,6202
1532786830,6195,6195
1532790428,6193,6193
1532794032,6237,6237
1532797632,6237,6237
1532801234,6236,6236
1532804835,6208,6208
1532808433,6200,6200
1532819232,6155,6155
1532822831,6175,6175
1532826428,6165,6165
1532830025,6159,6159
1532833634,6148,6148
1532837252,6162,6162
1532840847,6161,6161
1532844433,6163,6163
1532848066,6170,6170
1532851661,6172,6172
1532855250,6163,6163
1532858832,6150,6150
1532862451,6171,6171
1532866078,6241,6241
1532869661,6253,6253
1532873250,6288,6288
1532876840,6289,6289
1532880459,6306,6306
1532884055,6294,6294
1532887640,6297,6297
1532891241,6329,6329
1532894841,6338,6338
1532898448,6343,6343
1532902049,6321,6321
1532905644,6320,6320
1532909250,6335,6335
1532912847,6325,6325
1532916439,6339,6339
1532920038,6339,6339
1532923638,6358,6358
1532927251,6366,6366
1532930846,6366,6366
1532934447,6395,6395
1532938041,6411,6411
1532941640,6437,6437
1532945246,6431,6431
1532948842,6427,6427
1532952445,6459,6459
1532956042,6431,6431
1532959643,6394,6394
1532963238,6341,6341
1532966834,6321,6321
1532970436,6329,6329
1532974038,6382,6382
1532977640,6407,6407
1532981242,6424,6424
1532984843,6425,6425
1532988444,6408,6408
1532992050,6377,6377
1532995640,6372,6372
1532999238,6418,6418
1533002844,6401,6401
1533006443,6380,6380
1533010047,6379,6379
1533013638,6377,6377
1533017247,6345,6345
1533020853,6340,6340
1533024440,6391,6391
1533028041,6391,6391
1533031643,6375,6375
1533035243,6343,6343
1533038840,6343,6343
1533042437,6346,6346
1533046039,6334,6334
1533049638,6359,6359
1533053238,6351,6351
1533056839,6351,6351
1533060437,6314,6314
1533064032,6308,6308
1533067640,6316,6316
1533071238,6309,6309
1533074835,6290,6290
1533078433,6244,6244
1533082040,6235,6235
1533085635,6249,6249
1533089234,6243,6243
1533092838,6243,6243
1533096428,6226,6226
1533100034,6247,6247
1533103639,6222,6222
1533107234,6220,6220
1533110834,6244,6244
1533114434,6251,6251
1533118037,6281,6281
