DateTime,Entries,UniqueIPs
1531314511,4602,4602
1531318113,4609,4609
1531321712,4632,4632
1531325327,4587,4587
1531328921,4575,4575
1531332524,4574,4574
1531336121,4560,4560
1531339723,4557,4557
1531343328,4542,4542
1531346932,4551,4551
1531350522,4541,4541
1531354121,4520,4520
1531357720,4511,4511
1531361354,4508,4508
1531364919,4527,4527
1531368512,4516,4516
1531372125,4501,4501
1531375726,4486,4486
1531379327,4476,4476
1531382920,4467,4467
1531386527,4461,4461
1531390125,4466,4466
1531393720,4510,4510
1531397319,4485,4485
1531400920,4480,4480
1531404520,4482,4482
1531408105,4507,4507
1531411720,4511,4511
1531415320,4509,4509
1531418925,4491,4491
1531422523,4492,4492
1531426119,4478,4478
1531429723,4474,4474
1531433318,4490,4490
1531436918,4474,4474
1531440520,4457,4457
1531444121,4426,4426
1531447713,4423,4423
1531451322,4433,4433
1531454916,4429,4429
1531458528,4442,4442
1531462106,4444,4444
1531465702,4447,4447
1531469299,4437,4437
1531472901,4436,4436
1531476503,4457,4457
1531480107,4493,4493
1531483713,4550,4550
1531487308,4554,4554
1531490909,4549,4549
1531494506,4537,4537
1531498136,4554,4554
1531501731,4516,4516
1531505334,4534,4534
1531508937,4536,4536
1531512528,4510,4510
1531516130,4508,4508
1531519737,4517,4517
1531523348,4523,4523
1531526939,4517,4517
1531530525,4481,4481
1531534125,4464,4464
1531537733,4451,4451
1531541301,4461,4461
1531544927,4442,4442
1531548512,4440,4440
1531552108,4433,4433
1531555700,4414,4414
1531559315,4409,4409
1531562898,4410,4410
1531566503,4419,4419
1531570100,4423,4423
1531573697,4375,4375
1531577300,4361,4361
1531580894,4354,4354
1531584509,4357,4357
1531588109,4357,4357
1531591709,4349,4349
1531595312,4349,4349
1531598914,4355,4355
1531602517,4334,4334
1531606115,4338,4338
1531609711,4359,4359
1531613311,4361,4361
1531616919,4340,4340
1531620509,4308,4308
1531624107,4300,4300
1531627698,4313,4313
1531631317,4301,4301
1531634917,4293,4293
1531638520,4286,4286
1531642120,4292,4292
1531645710,4294,4294
1531649318,4316,4316
1531652919,4344,4344
1531656513,4379,4379
1531660113,4375,4375
1531663710,4362,4362
1531667297,4365,4365
1531670915,4385,4385
1531674514,4392,4392
1531678114,4385,4385
1531681709,4394,4394
1531685314,4411,4411
1531688915,4405,4405
1531692511,4411,4411
1531696118,4424,4424
1531699715,4438,4438
1531703318,4441,4441
1531706911,4414,4414
1531710511,4412,4412
1531714103,4404,4404
1531717727,4426,4426
1531721309,4414,4414
1531724903,4424,4424
1531728503,4422,4422
1531732102,4415,4415
1531735704,4423,4423
1531739307,4432,4432
1531742905,4466,4466
1531746504,4469,4469
1531750102,4438,4438
1531753829,4433,4433
1531757315,4440,4440
1531760922,4449,4449
1531764526,4468,4468
1531768126,4492,4492
1531771721,4503,4503
1531775326,4514,4514
1531778921,4507,4507
1531782528,4515,4515
1531786131,4538,4538
1531789748,4535,4535
1531793308,4525,4525
1531796906,4508,4508
1531800507,4504,4504
1531804128,4517,4517
1531807726,4508,4508
1531811328,4504,4504
1531814925,4506,4506
1531818527,4510,4510
1531822126,4495,4495
1531825724,4491,4491
1531829304,4487,4487
1531832922,4507,4507
1531836518,4489,4489
1531840099,4471,4471
1531843718,4467,4467
1531847319,4477,4477
1531850918,4472,4472
1531854519,4456,4456
1531858117,4458,4458
1531861717,4449,4449
1531865319,4440,4440
1531868919,4440,4440
1531872514,4449,4449
1531876115,4460,4460
1531879719,4448,4448
1531883316,4421,4421
1531886909,4370,4370
1531890515,4359,4359
1531894114,4374,4374
1531897717,4363,4363
1531901314,4372,4372
1531904916,4374,4374
1531908513,4353,4353
1531912098,4353,4353
1531915699,4359,4359
1531919300,4372,4372
1531922900,4365,4365
1531926493,4342,4342
1531930108,4332,4332
1531933710,4346,4346
1531937312,4399,4399
1531940917,4402,4402
1531944519,4419,4419
1531948113,4413,4413
1531951709,4406,4406
1531955315,4427,4427
1531958915,4444,4444
1531962518,4464,4464
1531966115,4467,4467
1531969709,4455,4455
1531973314,4452,4452
1531976933,4437,4437
1531980539,4450,4450
1531984133,4437,4437
1531987737,4448,4448
1531991336,4436,4436
1531994940,4435,4435
1531998494,4380,4380
1532002104,4393,4393
1532005705,4412,4412
1532009320,4410,4410
1532012893,4377,4377
1532016496,4376,4376
1532020096,4362,4362
1532023695,4383,4383
1532027295,4363,4363
1532030896,4368,4368
1532034496,4391,4391
1532038095,4370,4370
1532041697,4372,4372
1532045295,4378,4378
1532048897,4398,4398
1532052495,4399,4399
1532056097,4373,4373
1532059694,4370,4370
1532063370,4337,4337
1532066932,4349,4349
1532070589,4347,4347
1532074199,4343,4343
1532077803,4354,4354
1532081406,4341,4341
1532085005,4337,4337
1532088694,4337,4337
1532092101,4346,4346
1532095757,4353,4353
1532099360,4338,4338
1532102978,4315,4315
1532106584,4319,4319
1532110184,4310,4310
1532113777,4337,4337
1532117340,4343,4343
1532120971,4358,4358
1532124579,4350,4350
1532128185,4348,4348
