DateTime,AddedIPs,RemovedIPs
1530741832,1,0
1530745421,0,3
1530756225,1,0
1530759823,2,0
1530763426,0,1
1530770625,0,1
1530774227,2,0
1530785027,0,1
1530788624,1,1
1530792221,0,2
1530795824,2,0
1530799430,2,0
1530803029,0,3
1530806630,7,0
1530810218,3,5
1530817443,2,1
1530821046,1,1
1530824638,0,5
1530831832,2,0
1530835442,0,1
1530839050,2,0
1530842640,1,1
1530846234,1,0
1530849913,2,4
1530857037,1,2
1530860645,1,0
1530864242,1,1
1530867843,0,1
1530878638,2,0
1530885840,0,1
1530889442,11,0
1530893033,7,0
1530896641,8,0
1530900246,6,2
1530903849,3,1
1530907440,0,5
1530911065,0,7
1530921843,0,1
1530929059,1,2
1530939843,0,1
1530947045,0,1
1530954243,1,1
1530965055,1,0
1530968645,1,1
1530979439,0,2
1530986641,2,1
1531001044,0,1
1531004642,1,2
1531011843,0,3
1531029846,1,1
1531033449,1,0
1531037040,1,0
1531040645,0,1
1531044250,1,3
1531047849,1,1
1531051444,0,1
1531055047,1,1
1531058638,2,1
1531065843,0,1
1531069425,3,1
1531073031,2,2
1531076670,0,2
1531080238,2,1
1531083849,1,0
1531087437,1,0
1531091039,0,5
1531094640,0,1
1531101835,0,3
1531105444,0,1
1531109037,2,1
1531112650,0,2
1531116256,1,1
1531119851,4,0
1531123448,2,1
1531127046,2,0
1531130654,2,2
1531134228,1,2
1531137841,1,1
1531141439,1,1
1531148628,0,2
1531152239,0,3
1531155837,2,0
1531159441,0,2
1531163036,0,3
1531166640,0,1
1531170232,3,2
1531173923,2,3
1531177439,1,4
1531181039,0,1
1531184644,0,6
1531191845,0,2
1531195443,1,1
1531199037,1,0
1531202635,1,2
1531206230,1,0
1531209843,1,0
1531213445,1,0
1531220633,1,0
1531227824,1,0
1531231433,5,0
1531238643,2,3
1531242234,0,1
1531245839,0,7
1531249434,1,2
1531253035,1,0
1531256639,4,1
1531260235,1,3
1531263841,0,2
1531267429,2,0
1531271037,2,0
1531274630,1,0
1531278236,1,1
1531281839,1,0
1531292652,1,1
1531296243,0,1
1531299851,1,0
1531303448,0,1
1531307028,1,0
1531310625,2,0
1531314227,1,0
1531317824,2,1
1531321428,1,1
1531325033,10,0
1531328638,1,1
1531332238,0,1
1531335841,1,0
1531339437,1,2
1531343050,1,2
1531346637,0,2
1531350241,1,0
1531353833,3,1
1531357428,5,0
1531361066,1,2
1531364637,0,3
1531371836,1,0
1531379040,0,1
1531382630,0,1
1531393434,0,1
1531397036,3,0
1531400634,1,1
1531404235,6,1
1531407840,2,3
1531411436,0,1
1531415033,0,11
1531422241,2,1
1531425838,0,3
1531429432,1,0
1531433030,2,0
1531436642,3,3
1531440245,2,1
1531443837,1,2
1531447442,1,0
1531451039,1,1
1531454634,0,1
1531461828,0,1
1531465434,0,7
1531469029,0,3
1531472626,0,1
1531476221,2,1
1531479827,0,2
1531483431,1,2
1531490633,0,1
1531494227,1,8
1531497836,2,5
1531501444,1,6
1531505044,0,11
1531508643,4,6
1531515845,1,0
1531530241,1,1
1531533839,1,0
1531537442,0,1
1531541024,1,0
1531551823,1,0
1531559020,0,1
1531566219,3,1
1531573425,1,0
1531580626,1,5
1531584232,1,0
1531587831,1,1
1531591436,1,0
1531595041,1,1
1531598633,0,1
1531602241,1,0
1531605836,0,1
1531609430,0,1
1531613031,0,1
1531616639,1,0
1531623830,2,1
1531634642,2,1
1531638234,1,1
1531641842,0,1
1531645439,1,0
1531649041,2,2
1531652642,1,3
1531659835,0,1
1531663425,1,1
1531670636,1,0
1531674228,0,1
1531677836,0,1
1531685032,11,1
1531688638,0,2
1531692239,1,2
1531695827,0,4
1531699432,1,0
1531706631,2,0
1531713827,1,2
1531717445,0,2
1531721017,0,2
1531724629,1,2
1531728223,1,0
