DateTime,Entries,UniqueIPs
1531414808,6307,6307
1531416722,6321,6321
1531418641,6336,6336
1531424645,6328,6328
1531426562,6316,6316
1531432324,6297,6297
1531434722,6270,6270
1531438562,6278,6278
1531442403,6247,6247
1531448165,6250,6250
1531452243,6228,6228
1531454163,6222,6222
1531458007,6213,6213
1531460163,6247,6247
1531462082,6248,6248
1531467845,6262,6262
1531471682,6273,6273
1531473604,6291,6291
1531479363,6311,6311
1531483214,6313,6313
1531485135,6307,6307
1531488962,6326,6326
1531493285,6317,6317
1531499043,6327,6327
1531501209,6332,6332
1531503123,6319,6319
1531506962,6312,6312
1531508883,6305,6305
1531511045,6312,6312
1531512962,6305,6305
1531514883,6282,6282
1531518722,6276,6276
1531522814,6238,6238
1531524722,6264,6264
1531528565,6250,6250
1531532884,6244,6244
1531536722,6234,6234
1531540562,6226,6226
1531544411,6203,6203
1531546323,6226,6226
1531548242,6237,6237
1531554002,6257,6257
1531557845,6262,6262
1531561923,6291,6291
1531566044,6291,6291
1531567923,6300,6300
1531572004,6292,6292
1531577762,6290,6290
1531579685,6295,6295
1531585923,6290,6290
1531590005,6308,6308
1531593842,6303,6303
1531597682,6297,6297
1531599602,6278,6278
1531605363,6260,6260
1531611123,6260,6260
1531613042,6235,6235
1531614963,6236,6236
1531617122,6235,6235
1531619282,6218,6218
1531623363,6209,6209
1531625283,6218,6218
1531627443,6209,6209
1531629363,6184,6184
1531633685,6210,6210
1531637764,6231,6231
1531641644,6241,6241
1531643523,4129,4129
1531645442,6263,6263
1531649282,6288,6288
1531657684,6284,6284
1531659612,6287,6287
1531661522,6267,6267
1531665362,6261,6261
1531669202,6306,6306
1531673523,6261,6261
1531675683,6301,6301
1531677843,6297,6297
1531679762,6301,6301
1531682229,6313,6313
1531688422,6307,6307
1531690802,6291,6291
1531692963,6256,6256
1531698962,6255,6255
1531702812,6228,6228
1531704722,6255,6255
1531706643,6198,6198
1531708562,6222,6222
1531710483,6198,6198
1531712402,6197,6197
1531716242,6196,6196
1531718164,6211,6211
1531726082,6221,6221
1531728013,6227,6227
1531730162,6231,6231
1531734002,6252,6252
1531738083,6265,6265
1531741922,6259,6259
1531746012,6267,6267
1531747922,6262,6262
1531751762,6263,6263
1531757765,6286,6286
1531759682,6284,6284
1531761602,6286,6286
1531763522,6287,6287
1531767611,6311,6311
1531769523,6326,6326
1531773363,6347,6347
1531775769,6326,6326
1531777922,6317,6317
1531782014,6269,6269
1531785843,6274,6274
1531787763,6245,6245
1531792322,6231,6231
1531796163,6224,6224
1531800008,6208,6208
1531802162,6198,6198
1531806243,6227,6227
1531810082,6241,6241
1531812002,6227,6227
1531813922,6216,6216
1531816082,6241,6241
1531818018,6234,6234
1531819922,6234,6234
1531823762,6248,6248
1531827602,6252,6252
1531829523,6234,6234
1531831443,6252,6252
1531833374,6259,6259
