DateTime,AddedIPs,RemovedIPs
1532668821,1,0
1532669423,1,0
1532670024,11,0
1532670623,10,0
1532671228,10,0
1532672122,15,0
1532672726,33,0
1532673623,62,0
1532674223,21,0
1532674822,46,0
1532675425,11,0
1532676022,13,0
1532676923,8,0
1532677824,23,0
1532678425,13,0
1532679023,51,0
1532679324,21,0
1532679926,10,0
1532680824,71,0
1532681125,3,0
1532681723,12,0
1532682625,2,0
1532684727,14,0
1532685023,6,0
1532685923,13,0
1532686525,2,0
1532687122,10,0
1532687426,10,0
1532688023,27,0
1532688923,75,0
1532689221,33,0
1532690122,14,0
1532690721,4,0
1532691622,2,0
1532692524,18,0
1532692823,3,0
1532693425,4,0
1532694024,6,0
1532694322,1,0
1532694923,10,0
1532695525,2,0
1532695827,14,0
1532696422,14,0
1532697321,2,0
1532698527,8,0
1532699425,36,0
1532700027,2,0
1532701225,1,0
1532701526,12,0
1532702426,27,0
1532703327,3,0
1532704228,20,0
1532704524,4,0
1532705430,2,0
1532706025,6,0
1532706626,3,0
1532707822,9,0
1532708422,4,0
1532709024,25,0
1532709326,20,0
1532709928,21,0
1532710227,15,0
1532710826,11,0
1532711722,9,0
1532712323,17,0
1532713829,3,0
1532714125,4,0
1532715024,9,0
1532716522,1,0
1532717421,9,0
1532717722,2,0
1532718322,9,0
1532719523,36,0
1532720123,12,0
1532720725,37,0
1532721025,54,0
1532721326,20,0
1532722227,3,0
1532722822,4,0
1532723423,2,0
1532724327,12,0
1532725222,5,0
1532725828,2,0
1532726422,2,0
1532727023,1,0
1532727624,8,0
1532728222,5,0
1532728824,11,0
1532730022,3,0
1532731523,80,0
1532731824,16,0
1532732427,7,0
1532732725,36,0
1532733621,6,0
1532734523,9,0
1532735427,10,0
1532736623,4,0
1532737228,1,0
1532737821,1,0
1532738427,10,0
1532739628,10,0
1532739925,21,0
1532740827,12,0
1532741426,11,0
1532742328,17,0
1532742625,1,0
1532742929,13,0
1532743822,3,0
1532744428,1,0
1532745025,3,0
1532746224,3,0
1532746827,2,0
1532747126,9,0
1532747721,5,0
1532748027,10,0
1532748620,3,0
1532749526,10,0
1532750124,2,0
1532750724,6,0
1532751022,32,0
1532751623,7,0
1532752522,3,0
1532753421,10,0
1532754023,21,0
1532754622,5,0
1532755821,2,0
1532756428,2,0
1532756727,2,0
1532757325,8,0
1532757624,4,0
1532758222,10,0
1532758821,2,0
1532759122,5,0
1532759721,6,0
1532760622,7,0
1532763022,1,0
1532763928,2,0
1532764227,5,0
1532764830,2,0
1532765421,5,0
1532766326,9,0
1532766925,6,0
1532767828,4,0
1532768426,27,0
1532769325,7,0
1532769926,1,0
1532770829,4,0
1532772921,7,0
1532773826,2,0
1532774425,14,0
1532775023,11,0
1532775322,1,0
1532775924,18,0
1532776822,2,0
1532777723,2,0
1532778026,2,0
1532778924,7,0
1532780122,1,0
1532781021,5,0
1532781620,2,0
1532783423,4,0
1532786124,10,0
1532787024,4,0
1532788526,1,0
1532789426,2,0
1532790023,9,0
1532790623,5,0
1532791523,4,0
1532792426,1,0
1532793026,5,0
1532794530,1,0
1532795123,1,0
1532796026,13,0
1532796625,1,0
1532797823,4,0
1532798123,5,0
1532799021,37,0
1532799922,9,0
1532800825,2,0
1532801427,10,0
1532804123,1,0
1532805023,1,0
1532805623,2,0
1532806528,12,0
1532807129,7,0
1532807726,1,0
1532808027,4,0
1532808930,2,0
1532809823,1,0
1532810424,2,0
1532811026,2,0
1532811625,1,0
1532811926,1,0
1532812523,2,0
1532813125,2,0
1532813425,1,0
1532814627,2,0
1532814925,2,0
1532815522,1,0
1532817022,1,0
1532817924,7,0
1532818226,3,0
1532818823,3,0
1532819722,3,0
1532820623,1,0
1532822421,2,0
1532823027,1,0
1532824227,1,0
1532826026,8,0
1532826923,2,0
