DateTime,AddedIPs,RemovedIPs
1442493308,1,0
1444780507,1,0
1448155508,145,0
1449384308,184,0
1449384608,129,0
1449441907,164,0
1449822007,0,1
1450547109,0,1
1457728510,0,1
1460061011,1,0
1460705111,0,5
1462324506,0,1
1466391607,1,0
1466539510,0,1
1472572208,0,2
1486455909,1,0
1486656308,1,0
1486656610,5,0
1488097811,1,0
1489035908,1,0
1493369708,1,0
1493371209,4,0
1493371509,1,0
1493371809,3,0
1493382008,1,0
1493425208,2,0
1493425510,2,0
1493469008,1,0
1493473509,1,0
1493486708,1,0
1493554809,1,0
1493559908,1,0
1493580909,1,0
1493581808,1,0
1493583309,1,0
1493585709,1,0
1493588108,1,0
1493595308,1,0
1493661308,1,0
1493662208,1,0
1493662808,1,0
1493663108,3,0
1493670308,1,0
1493676609,1,0
1493676908,1,0
1493679008,1,0
1493682309,1,0
1493724009,5,0
1493724609,1,0
1493724908,1,0
1493725508,1,0
1493736909,1,0
1493737509,1,0
1493738408,3,0
1493940008,1,0
1494178508,2,0
1494179108,4,0
1494179408,2,0
1494179708,3,0
1494180308,1,0
1494180608,1,0
1494207908,1,0
1494266408,1,0
1494266710,2,0
1494267008,2,0
1494316208,0,1
1495219809,0,1
1496781609,1,0
1496961908,1,0
1497567609,1,0
1497769211,1,0
1498615209,1,0
1499827209,2,0
1500384310,1,0
1500584408,27,0
1500584711,24,0
1500585010,25,0
1500585310,105,0
1500585610,58,0
1500585912,78,0
1500586210,54,0
1500586510,55,0
1500586809,73,0
1501364113,1,0
1501367713,0,0
1501554613,1,0
1501958112,4,0
1501958412,117,0
1501959013,12,0
1501959313,34,0
1501959913,3,0
1502037915,5,0
1502038212,50,0
1502038513,18,0
1502039114,1,0
1502039411,2,0
1502040013,3,0
1502040325,3,0
1502040615,3,0
1502041213,8,0
1502041812,7,0
1502042113,4,0
1502042413,3,0
1502043014,8,0
1502043313,7,0
1502043613,2,0
1502043922,5,0
1502044214,3,0
1502044514,6,0
1502044813,1,0
1502399413,4,0
1502400013,12,0
1502400914,2,0
1502565313,1,0
1502698213,1,0
1502849713,2,0
1502850015,6,0
1502850614,5,0
1502959213,21,0
1502959513,36,0
1502978113,17,0
1503162312,14,0
1503165614,3,0
1503171914,9,0
1503172213,2,0
1503177014,0,1
1503349514,1,0
1503419123,18,0
1503419415,117,0
1503420014,248,0
1503420313,133,0
1503420613,107,4
1503420914,125,0
1503421214,119,0
1503421813,248,0
1503422114,115,0
1503422414,3,0
1503438914,0,1
1503662715,1,0
1503781214,1,0
1505309416,0,1
1505429115,0,0
1505431215,0,0
1506063014,1,0
1506392413,1,0
1506740114,1,0
1507330214,1,0
1507527614,1,0
1508090715,47,0
1508091014,124,0
1508091314,118,0
1508091614,130,0
1508092214,247,0
1508092514,122,0
1508092814,126,0
1508093115,118,0
1508093414,131,0
1508093714,29,0
1508094914,25,0
1508095214,69,0
1508095520,66,0
1508095815,62,0
1508096114,60,0
1508096415,71,0
1508097014,52,0
1508098214,0,1
1508101814,0,1
1508102722,0,2
1508106914,15,0
1508107215,116,0
1508107515,131,0
1508107814,118,0
1508108114,123,0
1508108415,111,0
1508108714,118,0
1508109014,118,0
1508109615,247,0
1508109922,125,0
1508110216,115,0
1508110514,91,0
1508111414,0,1
1508157614,0,1
1508180714,0,1
1508181920,0,1
1508224516,0,1
1508258415,0,1
1508271015,0,1
1508310615,0,1
1508342415,0,1
1508347216,0,1
1508352315,0,1
1508447115,0,1
1508512514,0,1
1508552415,1,0
1508617815,0,1
1508622015,0,1
1508628324,0,1
1508628616,0,1
1508666415,0,1
1508680214,0,1
1508706315,1,0
1508765714,0,1
1508775314,0,1
1508799014,1,0
1508848215,0,1
1508870115,0,1
1508873414,0,1
1508874015,0,1
1508934615,0,1
1508993114,0,1
1508994314,0,1
1509001215,0,1
1509002415,0,1
1509097815,0,1
1509125716,0,1
1509134115,0,1
1509180615,0,1
1509227414,1,0
1509241515,0,1
1509242415,0,1
1509370818,0,1
1509548115,0,1
1509601515,0,1
1509661216,0,1
1509858315,0,1
1510113016,1,0
1510438515,0,1
1510498214,3,0
1510500914,8,0
1510502716,9,0
1510503920,0,1
1510504514,4,0
1510507515,2,0
1510510215,5,0
1510515617,1,0
1510519515,2,0
1510529417,1,0
1510543815,2,0
1511052616,0,1
1511176516,0,1
1511199316,0,1
1511253016,1,0
1511380817,0,1
1511388016,0,1
1511418017,0,1
1511482215,0,1
1511571916,0,1
1511746517,0,1
1511748316,0,1
1512093916,1,0
1512130816,0,1
1512131117,0,1
1512956416,0,1
1512959125,0,2
1514304315,0,1
1514659217,1,0
1515300016,0,1
1517427617,0,1
1517430017,0,1
1517436616,0,1
1519258516,0,2
1519260017,0,1
1519670417,1,0
1519707619,1,0
1519778416,0,2
1520812516,0,1
1521676820,0,1
1521677417,0,1
1522483217,1,0
1522794317,0,2
1522795817,0,1
1522799716,0,2
1523566518,38,0
1523568017,2,0
1523570426,4,0
1523572218,0,2
1523574918,0,1
1523577318,18,0
1523622619,62,0
1523627118,4,0
1523714717,49,0
1523715017,26,0
1523759117,68,0
1523901017,168,0
1523909417,0,1
1523999719,55,0
1524080418,36,0
1524093917,0,0
1524097217,0,0
1524099317,16,0
1524124218,0,0
1524139519,0,1
1524670818,0,1
1525169118,1,0
1525248917,0,1
1525252518,1,0
1525926018,0,1
1526309720,0,0
1526415620,0,1
1526416220,0,1
1526418320,0,1
1526925618,0,702
1527313811,0,0
1527315311,0,0
1527345312,0,0
1527347414,0,0
1527350722,0,0
1527371113,0,0
1527392114,0,0
1527400211,0,0
1527992714,0,0
1528004711,0,0
1528308013,0,0
1528311911,0,2
1528313412,0,2
1528320310,0,0
1528324221,0,0
1528326621,0,0
1528331723,0,0
1528333221,0,0
1530864329,0,1
1532887225,145,0
1532887824,3,0
1532888424,51,0
1532888727,388,0
1532889026,158,0
1532889328,2,0
1532889626,17,0
1532889926,10,0
1532920222,427,0
1532973323,118,0
1533013522,0,1
