DateTime,AddedIPs,RemovedIPs
1510250716,1,0
1510258816,0,1
1510265415,1,0
1510272017,1,0
1510274415,0,1
1510282815,1,0
1510292716,0,1
1510294515,0,1
1510303817,1,0
1510313416,0,1
1510317015,0,1
1510322416,1,0
1510332017,1,0
1510349715,0,1
1510355118,1,0
1510363216,1,0
1510381816,1,0
1510394716,1,0
1510403715,0,1
1510429815,1,1
1510470616,0,1
1510473617,0,1
1510475715,1,0
1510477815,1,0
1510482615,1,0
1510488316,1,0
1510499115,0,1
1510505714,0,1
1510522217,1,0
1510524016,1,0
1510533315,1,0
1510542016,1,0
1510565416,0,1
1510568721,0,1
1510573216,0,1
1510597216,2,0
1510599616,1,0
1510611315,1,0
1510644615,0,1
1510669217,0,1
1510714817,1,0
1510725617,1,0
1510729515,1,0
1510743917,0,1
1510769716,0,1
1510778417,1,0
1510807814,1,0
1510830614,1,0
1510845016,1,0
1510848017,1,0
1510848916,1,0
1510855219,0,1
1510857918,1,0
1510859715,1,0
1510873518,1,0
1510887014,0,1
1510900815,1,0
1510925415,0,1
1510926316,1,0
1510928416,1,0
1510932616,0,1
1510951221,1,0
1511002216,1,0
1511007016,0,1
1511010018,1,0
1511015121,1,0
1511028615,0,1
1511036418,0,1
1511049618,1,0
1511058616,1,0
1511063117,1,0
1511123717,1,0
1511137816,1,0
1511182818,1,0
1511186717,1,0
1511190316,1,0
1511190616,1,1
1511217316,1,0
1511260215,1,0
1511264416,0,1
1511290516,0,2
1511300416,0,1
1511335216,4,0
1511342416,1,0
1511359217,1,0
1511361620,0,1
1511364329,0,1
1511370016,1,0
1511372117,1,0
1511373015,1,0
1511395815,1,0
1511410515,0,1
1511417417,1,0
1511423716,1,0
1511429416,1,1
1511432416,1,0
1511434515,0,1
1511436617,1,0
1511440817,1,1
1511444418,1,0
1511447416,1,0
1511448616,0,1
1511449516,1,0
1511460316,0,1
1511460616,0,1
1511462717,0,1
1511505916,1,0
1511508616,0,1
1511511016,0,1
1511513415,0,1
1511523615,1,0
1511524217,1,0
1511527816,1,0
1511532020,1,0
1511534715,0,1
1511544617,0,1
1511549117,1,0
1511570417,1,0
1511642115,0,1
1511661617,2,0
1511662515,1,0
1511700315,1,0
1511701815,1,0
1511740515,1,0
1511746216,1,0
1511758817,0,1
1511766016,1,0
1511774719,1,0
1511775315,0,2
1511779215,0,1
1511780416,0,1
1511784915,0,1
1511790616,0,1
1511805616,1,0
1511823015,1,0
1511831117,1,0
1511842215,1,0
1511863516,0,1
1511879117,1,0
1511883015,1,0
1511892316,1,0
1511899816,1,0
1511907316,0,1
1511920817,1,0
1511962515,1,0
1511963116,1,0
1511972416,0,3
1511984716,1,0
1511991916,1,0
1512002716,1,0
1512003315,0,1
1512029416,0,1
1512032716,1,0
1512061815,1,0
1512081018,1,0
1512133816,0,1
1512138017,1,0
1512155716,1,0
1512165316,0,1
1512206716,1,0
1512210916,1,0
1512233715,0,1
1512234615,1,0
1512268217,1,0
1512292817,0,1
1512310216,1,0
1512331516,0,2
1512332117,1,0
1512355817,1,0
1512361215,1,0
1512385516,1,0
1512387617,1,0
1512398116,0,2
1512400215,1,0
1512400516,1,0
1512407415,1,0
1512413416,1,0
1512514220,1,0
1512561017,0,2
1512561617,0,1
1512576316,1,0
1512587416,1,0
1512589816,0,1
1512624017,1,0
1512641716,1,0
1512661515,0,1
1512677116,1,0
1512700817,1,0
1512765916,1,0
1512766215,6,0
1512774615,1,0
1512777617,1,0
1512778516,1,0
1512816616,0,1
1512848116,1,0
1512977125,1,0
1513011315,1,0
1513036218,0,2
1513070117,1,0
1513118417,1,0
1513120516,1,0
1513185316,1,0
1513211416,1,0
1513239616,1,0
1513270215,1,0
1513289116,0,1
1513332916,2,0
1513412416,1,0
1513461315,1,0
1513605916,0,1
1513608016,1,0
1513608915,1,0
1513626016,1,0
1513627218,1,0
1513676716,1,0
1513679419,0,1
1513699816,0,1
1513808416,1,0
1513849515,0,1
1513849816,0,2
1513857617,0,1
1513859715,1,0
1513883716,1,0
1513887617,1,0
1513930216,1,0
1513932016,0,1
1513942218,0,1
1513949716,0,1
1513958115,0,1
1513965916,0,1
1513980017,1,0
1513992916,1,0
1514028016,0,1
1514066417,1,0
1514127917,1,0
1514150122,0,1
1514159115,1,0
1514296816,1,0
1514371217,0,1
1514381418,1,0
1514394917,1,0
1514405716,0,1
1514409616,1,0
1514410515,1,0
1514429116,1,0
1514456722,0,1
1514532016,0,1
1514571016,1,0
1514577316,0,1
1514679316,0,1
1514794216,1,0
1514844317,1,0
1514878516,1,0
1514902516,1,0
1514905517,1,0
1514907616,1,0
1514966718,1,0
1514971816,1,0
1514985617,0,1
1514997616,1,0
1515062117,1,0
1515062717,1,0
1515072616,1,0
1515091815,1,0
1515099016,1,0
1515122416,1,0
