DateTime,AddedIPs,RemovedIPs
1532831126,2,0
1532831727,4,0
1532832024,2,0
1532832328,1,0
1532832923,9,0
1532833227,2,0
1532833525,2,0
1532833826,1,0
1532835021,1,0
1532835321,14,0
1532835623,9,0
1532835923,6,0
1532836228,4,0
1532836524,5,0
1532836822,1,0
1532837123,1,0
1532837724,7,0
1532838025,1,0
1532838622,9,0
1532838924,2,0
1532839221,3,0
1532839521,1,0
1532839822,3,0
1532840421,1,0
1532840723,2,0
1532841620,14,0
1532841921,7,0
1532842522,6,0
1532843123,1,0
1532843422,1,0
1532843723,2,0
1532844028,5,0
1532844324,1,0
1532844628,1,0
1532844929,5,0
1532845223,1,0
1532845823,1,0
1532846422,4,0
1532846723,4,0
1532847327,3,0
1532847629,3,0
1532848223,8,0
1532848526,2,0
1532848824,1,0
1532849124,3,0
1532849424,1,0
1532850025,1,0
1532850325,1,0
1532851224,1,0
1532851529,1,0
1532852423,4,0
1532853026,3,0
1532853625,4,0
1532853923,1,0
1532854226,1,0
1532854525,1,0
1532854824,1,0
1532855126,2,0
1532855724,1,0
1532856028,1,0
1532856323,4,0
1532856624,1,0
1532857225,2,0
1532858122,19,0
1532858423,4,0
1532858724,1,0
1532859322,6,0
1532859623,2,0
1532859924,4,0
1532861124,0,2
1532867421,1,0
1532868023,1,0
1532874624,1,0
1532876726,1,0
1532877024,4,0
1532877326,1,0
1532880024,1,0
1532881522,1,0
1532882425,1,0
1532883327,1,0
1532883628,1,0
1532883923,1,0
1532884525,5,1
1532884828,2,0
1532885127,4,0
1532886029,1,0
1532886325,1,0
1532886923,3,0
1532887824,6,0
1532888123,2,0
1532888726,1,0
1532889626,9,0
1532889925,4,0
1532890224,1,0
1532890825,18,0
1532891123,1,0
1532891426,1,0
1532891723,3,0
1532892025,4,0
1532892630,1,0
1532893227,4,0
1532893525,1,0
1532893823,2,0
1532894121,4,0
1532894425,3,0
1532895924,16,0
1532896223,1,0
1532896825,5,0
1532897722,10,0
1532898029,1,0
1532898325,1,0
1532898927,3,0
1532899822,46,0
1532900126,274,0
1532900427,1,0
1532901025,2,0
1532902826,2,1
1532903125,1,0
1532903725,2,0
1532904027,2,0
1532906123,1,0
1532906426,1,0
1532907024,1,0
1532907623,9,0
1532908222,1,0
1532909423,4,0
1532910024,1,0
1532910326,9,0
