DateTime,AddedIPs,RemovedIPs
1524685817,1,0
1524749116,0,1
1524887117,2,0
1524907817,0,1
1524963617,1,0
1525007117,1,0
1525046717,1,0
1525372821,0,1
1525542017,0,1
1526022019,1,0
1526022316,1,0
1526024417,0,1
1526069117,121,0
1526105718,2,0
1526106018,139,0
1526106322,17,0
1526106918,148,1
1526176821,1,0
1526197219,0,1
1526309719,0,0
1526327118,0,2
1526372720,0,3
1526373319,0,1
1526455819,0,1
1526541019,0,1
1526626219,0,1
1526728518,0,1
1526738717,0,1
1526899217,0,1
1526921418,1,0
1526925618,0,50174
1527008411,0,1
1527142510,0,3
1527146711,1,0
1527163809,0,1
1527313810,0,0
1527315310,0,0
1527345312,0,0
1527347413,0,0
1527350722,0,0
1527371112,0,0
1527392114,0,0
1527400211,0,0
1527490510,4,0
1527491110,18,0
1527491409,2,0
1527839710,0,1
1527992713,0,0
1528004710,0,0
1528101611,1,0
1528187710,1,0
1528274410,0,1
1528308012,0,0
1528311910,0,0
1528313411,0,0
1528320310,0,0
1528324221,0,0
1528326621,0,0
1528331723,0,0
1528333221,0,0
1529179523,0,1
1529330122,1,0
1529347221,1,0
1529444722,0,1
1529536222,1,0
1529573421,1,0
1529654128,1,0
1529939722,1,0
1530048922,1,0
1530118826,1,0
1530871225,0,1
1530908121,1,0
1530915624,43,0
1531181728,1,0
1531223128,1,0
1531293623,0,1
1531306823,1,0
1531492824,0,1
1531556425,1,0
1531632025,0,1
1531725623,0,2
1531728025,0,2
1531728629,0,2
1531729224,0,1
1531739125,1,0
1531750828,1,0
1531813825,1,0
1531814124,1,0
1531834221,1,0
1532071525,1,0
1532071827,2,0
1532086523,1,0
1532096425,2,0
1532097028,3,0
1532097629,1,0
1532168124,1,0
1532252430,1,0
1532252725,1,0
1532282425,43,0
1532289323,1,0
1532456125,1,0
1532462128,8,0
1532466026,1,0
1532469022,1,0
1532471123,37,0
1532471724,56,0
1532472322,10,0
1532474120,80,0
1532474420,29,0
1532475321,7,0
1532511326,33,0
1532511622,445,0
1532511923,268,0
1532515824,2,0
1532516722,35,0
1532517623,6,0
1532526626,1,0
1532530825,1,0
1532531725,1,0
1532532323,26,0
1532532628,346,0
1532532922,326,0
1532533228,93,0
1532540423,16,0
1532541023,4,0
1532541623,1,0
1532541928,220,0
1532542828,4,0
1532547023,16,0
1532548223,16,0
1532548825,2,0
1532553924,22,0
1532554521,0,1
1532554823,0,1
1532555425,9,0
1532570422,0,2
1532594427,20,0
1532598323,137,0
1532598922,4,0
1532600424,8,0
1532601923,8,0
1532619323,4,0
1532619624,114,0
1532620228,5,0
1532621424,0,1
1532622326,1,0
1532679324,135,0
