DateTime,AddedIPs,RemovedIPs
1529505000,5,6
1529512200,10,9
1529519400,3,2
1529527200,6,8
1529534400,1,1
1529541600,112,887
1529548800,881,112
1529556000,294,281
1529563200,96,102
1529570400,23,24
1529577600,16,17
1529584800,10,10
1529592000,5,6
1529599200,9,10
1529606400,41,37
1529613600,3,4
1529622000,0,1
1529625600,92,886
1529632800,892,92
1529640000,256,253
1529647200,48,50
1529654400,15,19
1529661600,8,8
1529668800,9,10
1529676000,9,11
1529683200,8,7
1529690400,9,10
1529697600,4,4
1529704800,2,2
1529712000,883,886
1529719200,777,786
1529726400,594,572
1529733600,56,64
1529740800,16,16
1529748000,15,16
1529755200,3,3
1529762400,15,15
1529769600,5,6
1529776800,5,4
1529784000,5,4
1529791200,5,5
1529798400,864,888
1529805600,866,848
1529812800,230,221
1529820000,60,63
1529827200,23,27
1529834400,13,15
1529841600,9,8
1529848800,4,4
1529856000,5,5
1529863200,40,38
1529870400,3,2
1529877600,2,2
1529884800,859,886
1529892000,893,859
1529899200,262,260
1529906400,58,56
1529913600,39,47
1529920800,12,15
1529928000,12,12
1529935200,12,12
1529942400,7,5
1529949600,49,48
1529956800,9,9
1529964000,1,2
1529971200,876,888
1529978400,826,822
1529985600,467,451
1529992800,57,60
1530000000,18,19
1530007200,19,17
1530014400,3,3
1530021600,10,11
1530028800,3,3
1530036000,4,5
1530043200,5,6
1530050400,1,1
1530057600,829,891
1530064800,895,829
1530072000,227,227
1530079200,59,58
1530086400,16,17
1530093600,19,18
1530100800,9,11
1530108000,7,8
1530115200,1,1
1530122400,2,3
1530130800,10,11
1530138000,1,1
1530145200,841,891
1530152400,899,841
1530159600,219,223
1530166800,64,59
1530174000,27,29
1530181200,12,13
1530188400,9,10
1530195600,8,7
1530202800,4,5
1530210000,41,39
1530217200,6,6
1530224400,2,3
1530231600,831,897
1530241200,889,831
1530244800,258,247
1530252000,75,73
1530259200,15,17
1530266400,14,12
1530273600,8,8
1530280800,13,18
1530288000,12,12
1530295200,8,9
1530302400,4,3
1530309600,4,4
1530316800,42,897
1530324000,896,42
1530331200,281,274
1530338400,55,58
1530345600,24,20
1530352800,14,14
1530360000,7,10
1530367200,9,11
1530374400,5,4
1530381600,6,6
1530388800,5,7
1530396000,3,2
1530405000,397,899
1530412200,879,384
1530419400,218,215
1530426600,63,64
1530433800,25,23
1530441000,12,12
1530448200,9,9
1530456000,5,8
1530463800,2,3
1530471000,42,36
1530478200,9,10
1530485400,6,6
1530492600,52,897
1530499800,888,52
1530507600,302,296
1530511200,53,54
1530518400,36,36
1530526200,24,28
1530533400,15,13
1530540600,11,13
1530547800,8,7
1530555000,50,44
1530562200,9,8
1530569400,5,5
1530576600,827,897
1530583800,904,827
1530591000,265,272
1530598200,72,72
1530605400,25,23
1530612600,16,15
1530619800,9,10
1530627000,16,17
1530634200,7,5
1530642000,7,6
1530649800,5,6
1530657000,4,4
1530664200,846,900
1530672000,890,838
1530679200,275,274
1530686400,62,66
1530693600,24,23
1530701400,20,19
1530708600,2,4
1530715800,7,6
1530723000,8,6
1530730800,7,5
1530734400,6,6
1530741600,4,5
1530748800,775,899
1530756000,873,756
1530763200,290,298
1530770400,65,60
1530777600,20,21
1530784800,24,23
1530792000,9,12
1530799200,4,4
1530806400,10,8
1530813600,45,41
1530820800,4,5
1530828000,2,1
1530835200,806,892
1530842400,885,795
1530849600,296,306
1530856800,86,85
1530864000,32,31
1530871200,14,15
1530878400,13,14
1530886200,8,5
1530893400,9,10
1530900600,13,15
1530923400,802,886
1530930600,112,45
1530937800,892,869
1530945000,75,75
1530952200,32,29
1530959400,23,29
1530966600,9,8
1530973800,16,18
1530981000,7,7
1530988200,5,5
1530995400,5,4
1531002600,2,2
1531009800,805,889
1531017000,847,768
1531024200,305,294
1531031400,88,87
1531038600,30,31
1531045800,19,20
1531053000,12,13
1531060200,7,9
1531067400,4,4
1531074600,39,37
1531081800,4,4
1531089000,6,7
1531096200,789,892
1531103400,895,787
1531110600,319,324
1531117800,80,81
1531125000,26,27
1531132200,28,27
1531139400,3,5
1531146600,12,13
1531153800,7,6
1531161000,47,44
1531168200,5,5
1531175400,3,2
1531182600,829,893
1531189800,821,757
1531197000,482,489
1531204200,65,61
1531211400,46,47
1531218600,13,15
1531225800,16,14
1531233000,8,8
1531240200,10,11
1531247400,6,5
1531254600,3,3
1531261800,3,4
1531272600,816,888
1531276200,649,627
1531283400,860,814
1531290600,15,12
1531297800,6,5
1531305000,39,40
1531312200,58,53
1531319400,58,55
1531326600,57,57
1531333800,38,45
1531341600,15,16
1531348800,6,6
1531356000,754,887
1531363200,684,553
1531370400,497,499
1531377600,123,130
1531384800,41,36
1531392000,25,25
1531399200,14,14
1531406400,9,11
1531413600,8,9
1531420800,4,3
1531428000,6,5
1531435200,4,4
1531442400,795,880
1531449600,805,715
1531456800,368,369
1531464000,106,107
1531471200,32,29
1531478400,22,24
1531485600,10,11
1531492800,13,13
1531500000,8,9
1531507200,2,3
1531514400,7,7
1531521600,5,5
1531528800,777,881
1531536000,782,687
1531543200,495,485
1531550400,97,107
1531557600,45,41
1531564800,26,24
1531572000,10,10
1531579200,5,4
1531587000,10,9
1531594200,8,8
1531601400,5,5
1531608600,8,9
1531615800,706,879
1531623000,762,600
1531630200,468,454
1531637400,110,119
1531644600,46,48
1531651800,45,45
1531659000,19,16
1531666200,7,8
1531674600,11,9
1531678200,37,32
1531684200,4,4
1531692000,10,7
1531699200,842,883
1531706400,814,781
1531713600,464,456
1531720800,102,110
1531728600,60,59
1531735800,28,28
1531743000,16,13
1531750200,15,15
1531757400,14,14
1531764600,47,40
1531771800,13,15
1531779000,3,3
1531786200,505,884
1531793400,872,492
1531800600,321,327
