DateTime,AddedIPs,RemovedIPs
1532706495,66,23
1532707491,64,20
1532708438,47,34
1532709382,60,31
1532710332,49,23
1532711321,120,51
1532712269,41,23
1532713222,57,16
1532714169,34,23
1532715155,47,19
1532716105,80,12
1532717062,41,20
1532718021,41,31
1532718991,46,770
1532719959,43,25
1532720891,48,36
1532721859,43,1
1532722821,46,0
1532723784,50,34
1532724734,45,42
1532725698,56,27
1532726674,33,38
1532727633,38,66
1532728572,35,0
1532729553,40,56
1532730495,30,4
1532731998,94,53
1532732893,13,6
1532733127,35,33
1532733870,17,6
1532734113,21,25
1532734826,9,3
1532735059,29,29
1532735803,81,0
1532736276,41,61
1532736765,12,3
1532737212,19,0
1532737945,22,5
1532738436,25,54
1532738909,6,6
1532739635,34,25
1532740113,18,5
1532740593,45,21
1532741062,17,2
1532741547,28,38
1532742028,7,7
1532742494,45,22
1532742980,17,5
1532743474,36,30
1532743960,13,4
1532744429,48,32
1532744905,16,5
1532745371,39,19
1532745870,20,2
1532746364,44,45
1532746827,10,7
1532747322,31,40
1532747791,13,4
1532748272,34,37
1532748743,17,5
1532749228,37,26
1532749696,6,11
1532750175,34,34
1532750677,11,8
1532751155,503,91
1532751648,10,7
1532752091,26,16
1532752580,6,1
1532753064,29,32
1532753547,8,5
1532754036,38,15
1532754515,11,3
1532754995,28,25
1532755462,2,5
1532755965,29,36
1532756422,10,5
1532756908,37,18
1532757394,14,5
1532757866,26,23
1532758362,14,6
1532758815,48,18
1532759296,5,6
1532759791,26,30
1532760254,10,4
1532760749,29,38
1532761248,14,2
1532761714,22,34
1532762191,5,3
1532762672,29,30
1532763155,7,7
1532763654,32,26
1532764096,8,4
1532764581,26,28
1532765074,8,7
1532765546,16,34
1532766029,14,8
1532766499,74,20
1532767001,12,3
1532767453,52,0
1532767934,1,4
1532768442,43,34
1532768904,14,4
1532769372,39,24
1532769874,11,6
1532770351,35,0
1532770838,13,14
1532771298,36,26
1532771769,9,8
1532773508,65,46
1532774411,37,7
1532775372,43,40
1532776335,48,38
1532777324,62,66
1532778290,47,32
1532779250,36,31
1532780177,1000,1013
1532781157,36,72
1532782104,27,45
1532783081,28,44
1532784013,34,24
1532784992,42,32
1532785941,25,5
1532786895,45,41
1532787851,33,36
1532788829,38,45
1532789799,47,32
1532790741,32,27
1532791693,39,27
1532792685,38,20
1532793654,25,40
1532794575,40,42
1532795540,33,55
1532796494,31,38
1532797492,34,38
1532798420,27,25
1532799374,40,18
1532800385,26,21
1532801301,50,16
1532802261,37,27
1532803217,31,31
1532804194,36,22
1532805140,38,14
1532806169,30,43
1532807310,21,35
1532808503,45,41
1532809457,28,0
1532810418,44,59
1532811387,31,44
1532812359,40,0
1532813289,35,35
1532814270,35,19
1532815250,27,74
1532816198,37,47
1532816654,29,0
1532817136,36,0
1532818094,43,7
1532819079,33,71
1532820013,37,3
1532820494,60,0
1532820992,43,72
1532821952,50,0
1532822905,52,34
1532823864,34,44
1532824813,45,35
1532826550,59,64
1532827458,48,0
1532828441,44,49
1532829370,53,38
1532830399,43,0
1532831535,30,103
1532832531,36,0
1532833463,43,47
1532834408,38,51
1532835390,21,45
1532836359,52,29
1532837293,57,26
1532838281,221,164
1532839225,42,0
1532840169,22,49
1532841143,40,59
