DateTime,AddedIPs,RemovedIPs
1532812922,50,0
1532813523,3,0
1532813762,65,0
1532814123,48,0
1532815325,80,0
1532815682,0,66
1532815923,78,0
1532816643,120,0
1532817123,1,0
1532817602,39,78
1532817723,36,0
1532818322,24,0
1532818958,62,0
1532819523,143,17
1532820122,47,0
1532820723,50,0
1532821322,58,0
1532821922,55,0
1532822523,35,0
1532823124,35,0
1532823363,0,129
1532823722,38,0
1532824323,54,0
1532826484,86,0
1532826723,46,0
1532827323,47,0
1532828403,40,11
1532828522,43,0
1532829821,41,1
1532830323,71,125
1532830924,49,0
1532832243,116,0
1532832723,75,0
1532833359,40,0
1532834523,15,0
1532835181,1,0
1532835848,50,0
1532836923,59,1
1532837019,3,1
1532837524,45,0
1532838004,70,167
1532838123,66,1
1532838723,52,0
1532839323,49,0
1532839922,72,0
1532840560,65,1
1532841723,28,0
1532842382,49,0
1532842923,51,0
1532843764,77,72
1532844123,31,0
1532844160,0,1
1532844723,54,0
1532845323,58,0
1532845682,56,6
1532846524,81,0
1532847124,80,0
1532847844,82,98
1532848925,81,0
1532849762,54,0
1532850124,83,0
1532850723,3,0
1532851361,83,4
1532851924,80,0
1532852523,83,0
1532853125,77,0
1532853602,69,8
1532853724,66,0
1532854324,77,0
1532854958,83,0
1532855523,0,66
1532856124,82,0
1532856724,80,0
1532857442,135,0
1532857924,56,0
1532858559,57,1
1532859124,70,0
1532859724,11,0
1532860923,5,0
1532861283,64,51
1532861523,18,0
1532862220,65,2
1532862724,45,0
1532863203,0,68
1532863324,19,0
1532863923,4,0
1532864524,60,0
1532865122,64,0
1532865724,52,0
1532865820,1,0
1532866324,17,0
1532866923,70,0
1532868124,27,0
1532868723,1,0
1532868963,52,34
1532869360,42,2
1532869925,31,0
1532870524,54,0
1532870883,0,52
1532871724,59,0
1532873020,59,2
1532874124,55,0
1532874723,117,0
1532875324,55,0
1532875924,1,1
1532876643,106,48
1532877124,1,3
1532877723,52,0
1532878323,2,0
1532878563,0,66
1532878923,65,0
1532880159,81,1
1532880482,59,0
1532881324,81,1
1532881924,26,0
1532882404,65,13
1532882524,82,0
1532883820,86,0
1532884563,83,101
1532884923,85,0
1532886123,79,0
1532886483,54,0
1532886723,80,0
1532887361,80,3
1532887923,4,0
1532888403,0,68
1532888524,81,0
1532889182,0,1
1532889723,79,0
1532890322,87,0
1532890924,90,0
1532891524,83,0
1532892243,81,58
1532892723,4,0
1532893324,67,0
1532894162,133,0
1532894622,58,4
1532896323,104,11
1532896381,35,0
1532896924,18,0
1532897524,65,0
1532898244,60,116
1532898724,56,0
1532899324,51,0
1532899923,1,0
1532900162,46,0
1532900524,59,0
1532901124,55,0
1532901821,54,1
1532902923,56,0
1532904003,62,15
1532904123,52,0
1532904723,60,0
1532905324,58,0
1532905924,63,174
1532906524,60,0
1532907124,59,1
1532907723,53,0
1532908960,46,1
1532909523,19,0
1532910004,139,71
1532910123,75,0
1532910781,21,0
1532911324,65,0
1532911922,1,0
1532912523,51,0
1532913124,54,0
1532913842,49,85
1532914382,64,0
1532914924,66,0
1532915522,1,0
1532915762,62,0
1532916159,56,0
1532916723,52,0
1532917323,75,0
1532917683,0,62
1532917923,1,0
1532918524,60,0
1532919123,77,0
1532919609,53,0
1532919724,52,0
1532920324,79,1
1532920924,81,0
1532921522,77,13
1532922123,81,0
1532922483,13,79
1532922724,28,0
1532923323,82,0
1532923419,0,2
1532923923,84,0
1532924523,77,0
1532925362,73,9
1532925723,55,0
1532926323,55,1
1532926959,57,1
1532928484,56,148
1532928781,59,0
1532929203,83,0
1532929324,34,0
1532930560,42,1
1532931123,87,11
1532931724,54,0
1532932323,13,60
1532933043,31,73
1532933524,62,0
1532934160,60,1
1532934962,73,0
1532935323,54,0
1532935924,55,0
1532936162,53,47
1532936523,48,0
1532936883,0,52
1532937123,58,0
1532937724,56,0
1532938923,49,0
1532940123,48,0
1532940722,68,0
1532941361,60,1
1532942523,62,0
1532943724,12,0
1532944562,53,12
1532944923,70,0
1532944960,0,4
1532945763,62,103
1532946123,50,0
1532946722,1,0
1532946782,0,1
1532947323,33,0
1532947923,64,0
1532948401,56,0
1532948560,61,3
1532949724,72,0
1532950322,74,9
1532950923,67,3
1532951524,39,0
1532952124,50,2
1532952221,0,1
1532952723,1,0
1532953442,69,98
1532954163,54,0
1532954523,65,6
1532955760,78,3
1532956323,75,0
1532956923,69,5
1532957522,1,0
1532958002,50,19
1532958123,79,7
1532959424,68,5
1532960163,29,85
1532960523,38,0
1532961123,57,2
1532961724,47,1
1532962082,60,0
1532962324,67,1
1532962961,64,4
1532964123,58,15
1532964724,69,0
1532965324,69,0
1532965923,75,109
1532966560,56,19
1532967124,64,0
1532967725,55,6
1532968382,1,0
1532968924,44,0
1532969762,121,0
1532970161,46,2
1532971323,52,0
1532972524,51,9
1532973609,69,24
1532973760,56,3
1532974323,51,0
1532974923,48,7
1532975523,65,94
1532976123,47,3
1532976723,50,0
1532977360,47,2
1532977924,44,0
1532978523,59,4
1532979363,119,57
1532979723,73,0
1532980323,2,0
1532980923,74,2
1532980960,1,0
1532981523,60,0
1532983203,140,29
1532983323,93,3
1532984564,53,8
1532985123,0,108
1532985723,60,0
1532986323,72,0
1532987042,131,2
1532987523,47,0
1532988123,25,0
1532988723,68,1
1532989323,73,0
1532989981,1,0
1532990524,78,3
1532990882,48,20
1532991124,64,4
1532991760,77,1
1532992324,75,0
1532992803,0,142
1532992924,67,3
1532993524,55,0
1532994124,54,0
1532994723,85,0
1532995323,60,1
1532995923,53,0
1532996523,43,3
1532997124,68,0
1532997723,50,0
1532998563,109,91
1532999020,58,2
1532999523,70,0
1533000123,68,3
1533000782,64,0
1533001324,62,0
1533001923,43,1
1533002457,53,5
1533002566,37,3
1533003123,63,0
1533003723,60,6
1533004325,60,116
1533004381,2,0
1533004924,65,13
1533005523,70,9
1533006242,121,0
1533007324,68,11
1533007923,64,3
1533008162,0,52
1533008524,70,1
1533010083,195,7
1533010323,70,0
1533010923,62,2
1533011523,55,0
1533012004,69,165
1533012123,53,0
1533012723,8,0
1533013421,57,4
1533013924,131,77
1533014524,62,2
1533015181,71,2
1533015723,44,2
1533016923,38,3
1533017763,0,72
1533018123,52,2
1533019323,53,1
1533019682,67,0
1533019924,61,8
1533020561,59,10
1533021724,54,3
1533022923,54,9
1533023524,57,99
1533024124,60,6
1533024220,1,1
1533025324,67,6
1533025924,70,0
1533026523,61,0
1533027124,60,1
1533027363,71,0
1533027821,69,3
1533028923,57,11
1533029284,0,60
1533030123,67,7
1533031211,54,0
1533031361,56,4
1533031924,55,0
1533032523,72,0
1533033364,106,13
1533033724,62,3
1533034323,1,75
1533034923,47,0
1533034962,0,1
1533036124,77,10
1533036723,55,0
1533037203,69,0
1533037323,65,0
1533037923,56,0
1533038561,64,1
1533039723,8,5
1533040083,2,49
1533041043,107,1
1533042123,63,3
1533042723,59,3
1533043323,59,10
1533043923,28,0
1533044883,96,20
1533045123,42,0
1533045843,10,112
1533046323,1,0
1533046923,12,0
1533047524,41,0
1533048123,70,0
1533048962,73,12
1533049361,50,6
1533049923,54,2
1533050524,28,0
1533051842,99,70
1533052324,26,0
1533053043,47,72
1533053524,2,0
1533054123,14,4
1533054723,66,7
1533055203,73,0
1533055323,53,5
1533055924,58,0
1533056561,45,3
1533057842,59,76
1533059043,149,0
1533059523,59,13
1533060161,50,2
1533060725,1,0
1533061323,60,3
1533061923,1,0
1533062523,60,5
1533062882,74,21
1533063123,60,0
1533063621,0,99
1533063821,63,13
1533064323,29,0
1533064802,82,0
1533064924,59,8
1533065523,56,0
1533067421,43,34
1533068524,58,7
1533069363,55,140
1533069724,50,9
1533070962,57,24
1533072124,50,7
1533073203,55,0
1533073323,21,9
1533073923,64,1
1533074561,58,9
1533075124,1,9
1533075724,60,0
1533077042,85,106
1533078124,45,6
1533078723,52,1
1533079324,65,10
1533079923,2,0
1533080524,53,1
1533080883,120,165
1533081826,15,20
1533082924,51,0
1533084124,74,29
1533084722,57,0
1533085323,61,5
1533086524,63,35
1533087124,4,0
1533087723,28,5
1533088322,2,0
1533088563,89,11
1533089022,32,14
1533090123,32,4
1533090483,0,135
1533090723,59,11
1533091323,56,8
1533091923,47,0
1533092412,73,0
1533092562,38,10
1533093123,58,1
1533093724,60,11
1533094323,72,15
1533094924,51,0
1533095523,48,2
1533096242,121,170
