DateTime,AddedIPs,RemovedIPs
1532110536,2,3
1532112005,351,256
1532113924,0,95
1532114132,263,266
1532117768,9,7
1532118301,0,1
1532118902,1,0
1532121605,6,5
1532122235,1,0
1532123702,1,0
1532124302,0,1
1532124930,4,6
1532128088,512,512
1532128527,5,2
1532130004,1,0
1532132132,21,2
1532133302,0,1
1532133903,1,1
1532136002,8,1
1532139605,7,3
1532139902,0,1
1532142855,1,23
1532145365,1,0
1532146542,1,7
1532149219,2,1
1532150143,9,6
1532151126,1,1
1532153049,95,0
1532153702,4,6
1532154964,1,0
1532157225,6,4
1532161201,7,2
1532164502,3,3
1532168102,3,5
1532172485,1,7
1532175339,4,6
1532177702,0,1
1532178248,5121,24576
1532178903,6,1
1532182503,2,2
1532184008,0,1
1532184303,1,0
1532186139,0,2
1532189767,0,4
1532190902,1280,1280
1532193603,4,5
1532195702,256,257
1532196302,257,256
1532196902,7,1
1532198102,256,256
1532199902,256,256
1532200533,3,5
1532204144,4,2
1532204702,0,1
1532205002,1,0
1532206202,256,256
1532207702,5,9
1532211240,7,7
1532211340,256,256
1532211902,256,256
1532212501,0,1
1532213048,1,0
1532214968,7,2
1532218804,25,4
1532219439,512,512
1532222105,1,3
1532225734,261,263
1532226002,1,0
1532228701,0,1
1532229002,1,0
1532229334,6,54
1532231102,0,1
1532231401,1,0
1532232806,8,6
1532233401,256,256
1532236542,3,8
1532238602,256,256
1532240164,8,5
1532240402,256,256
1532241302,256,256
1532244005,4,2
1532247302,4,3
1532250905,4,3
1532254424,1,5
1532255102,0,1
1532255765,1,0
1532258102,4,2
1532261767,4,7
1532262416,0,1
1532262902,1,0
1532264102,3328,10752
1532264701,0,1
1532265363,4,13
1532265602,1,0
1532267702,0,1
1532268903,16,3
1532272503,3,6
1532273044,1,0
1532276131,1538,1794
1532277302,768,768
1532280964,3,1
1532281201,512,512
1532283338,263,259
1532283960,512,512
1532286302,256,256
1532287202,2,3
1532290807,4,2
1532291702,256,256
1532294126,2,6
1532297732,2,5
1532298902,256,256
1532301336,5,9
1532304487,512,512
1532305202,40,3
1532308503,11,2
1532312166,12,3
1532316003,8,25
1532319344,8,11
1532321766,2,0
1532322903,7,11
1532323802,3,0
1532324402,6,0
1532326544,5,8
1532327701,0,1
1532328002,0,1
1532328302,0,1
1532329447,0,1
1532330103,12,10
1532330701,0,7
1532333705,13,8
1532337224,5,6
1532337302,1,0
1532338236,0,1
1532341691,11,11
1532344576,5,7
1532345524,0,1
1532345702,1,0
1532348001,12,11
1532350502,1024,0
1532351599,11,1
1532351702,1,0
1532352603,0,1
1532355305,12,13
1532356204,0,1
1532356501,1,0
1532357102,0,1
1532357702,1,0
1532358967,11,15
1532362403,6,13
1532363403,1280,1280
1532365203,256,257
1532366131,13,14
1532367302,256,0
1532369721,267,268
1532372102,0,256
1532373602,11,3
1532374563,7,0
1532375402,256,0
1532376904,12,8
1532379902,256,512
1532381209,256,256
1532382483,1,16
1532384407,14,10
1532386324,512,256
1532387702,10,12
1532391331,20,8
1532393402,512,768
1532394902,13,11
1532395269,256,0
1532398502,7,4
1532402136,5,24
1532405705,9,27
1532409607,13,4
1532412903,9,7
1532416503,3,7
1532417287,1,0
1532420034,13,5
1532423739,10,9
1532427223,13,10
1532430964,15,13
1532434815,4,4
1532436902,0,27392
1532438158,2,9
1532439943,1,0
1532441726,1280,1536
1532442002,12,13
1532445326,13,11
1532446802,256,256
1532448302,256,256
1532448923,6,10
1532452503,7,15
1532456166,19,9
1532458202,256,256
1532460005,10,8
1532463602,12,12
1532467407,5,5
1532468703,0,1
1532469302,1,0
1532470506,4,19
1532472379,256,256
