DateTime,AddedIPs,RemovedIPs
1532751723,36,0
1532752322,4,0
1532752923,24,0
1532754123,48,0
1532754723,85,0
1532755324,76,0
1532755923,49,0
1532756522,27,0
1532757122,23,0
1532757723,33,0
1532758923,16,0
1532759522,75,0
1532760123,62,0
1532760723,80,0
1532761323,83,0
1532761922,80,0
1532762523,77,0
1532763122,1,0
1532763723,77,0
1532764322,3,0
1532764923,30,0
1532766122,50,0
1532766782,24,0
1532767323,40,0
1532768523,80,0
1532769723,51,0
1532770922,43,0
1532771522,3,0
1532773323,66,0
1532774523,75,0
1532775123,73,0
1532775723,39,0
1532776923,29,0
1532777581,8,0
1532778123,49,0
1532778724,51,0
1532779323,49,0
1532779922,2,0
1532780522,53,0
1532781722,45,0
1532782323,43,0
1532782922,60,0
1532784123,76,0
1532784722,3,0
1532785322,81,0
1532785923,79,0
1532786523,18,0
1532787123,80,0
1532787723,74,0
1532788323,41,0
1532788923,29,0
1532789524,64,0
1532790123,43,0
1532790723,3,0
1532791323,62,0
1532791923,54,0
1532792523,47,0
1532793123,52,0
1532793723,51,0
1532794323,51,0
1532794923,63,0
1532795523,56,0
1532796123,40,0
1532796722,20,0
1532797322,15,0
1532798523,75,0
1532799723,16,0
1532800323,1,0
1532800923,82,0
1532801523,38,0
1532802122,41,0
1532803323,59,0
1532804523,48,0
1532805723,68,0
1532806381,10,2
1532806923,30,0
1532807523,11,0
1532808122,28,0
1532808723,60,0
1532809324,15,0
1532809923,57,0
1532810523,48,0
1532811122,44,0
1532811723,47,0
1532812922,50,0
1532813523,3,0
1532814123,48,0
1532815325,80,0
1532815923,78,0
1532816523,56,0
1532817123,1,0
1532817723,36,0
1532818322,24,0
1532818923,62,0
1532819523,57,0
1532820122,47,0
1532820723,50,0
1532821322,58,0
1532821922,55,0
1532822523,35,0
1532823124,35,0
1532823722,38,0
1532824323,54,0
1532826122,47,0
1532826723,46,0
1532827323,47,0
1532828522,43,0
1532829723,41,0
1532830322,71,0
1532830924,49,0
1532832123,54,0
1532832723,75,0
1532833323,40,0
1532834523,15,0
1532835181,1,0
1532835848,50,0
1532836923,59,1
1532837524,45,0
1532838123,66,1
1532838723,52,0
1532839323,49,0
1532840523,65,0
1532841723,28,0
1532842382,49,0
1532842923,51,0
1532844123,31,0
1532844723,54,0
1532845323,58,0
1532846524,81,0
1532847124,80,0
1532847724,82,0
1532848925,81,0
1532850124,83,0
1532850723,3,0
1532851324,83,0
1532851924,80,0
1532852523,83,0
1532853125,77,0
1532853724,66,0
1532854324,77,0
1532854924,83,0
1532856124,82,0
1532856724,80,0
1532857325,69,0
1532857924,56,0
1532858525,57,0
1532859124,70,0
1532859724,11,0
1532860923,5,0
1532861523,18,0
1532862123,65,0
1532862724,45,0
1532863324,19,0
1532863923,4,0
1532864524,60,0
1532865724,52,0
1532866324,17,0
1532866923,70,0
1532868124,27,0
1532868723,1,0
1532869324,42,0
1532869925,31,0
1532870524,54,0
1532871724,59,0
1532872926,59,0
1532874124,55,0
1532874723,48,0
1532875324,55,0
1532875924,1,1
1532876524,42,0
1532877124,1,0
1532877723,52,0
1532878323,2,0
1532878923,65,0
1532880123,79,0
1532881324,81,1
1532881924,26,0
1532882524,82,0
1532883724,86,0
1532884324,83,0
1532884923,85,0
1532886123,79,0
1532886723,80,0
1532887324,80,0
1532887923,4,0
1532888524,81,0
1532889182,0,1
1532889723,79,0
1532890924,90,0
1532891524,83,0
1532892124,81,0
1532892723,4,0
1532893324,67,0
1532893924,63,0
1532894525,58,0
1532895724,41,0
1532896381,35,0
1532896924,18,0
1532897524,65,0
1532898124,60,0
1532898724,56,0
1532899324,51,0
1532899923,1,0
1532900524,59,0
1532901124,55,0
1532901724,54,0
1532902923,56,0
1532904123,52,0
1532904723,60,0
1532905324,58,0
1532905924,63,0
1532906524,60,0
1532907124,59,1
1532907723,53,0
1532908924,46,0
1532909523,19,0
1532910123,75,0
1532910781,21,0
1532911324,65,0
1532911922,1,0
1532912523,51,0
1532913124,54,0
1532913723,49,0
1532914382,64,0
1532914924,66,0
1532915522,1,0
1532916123,56,0
1532916723,52,0
1532917323,75,0
1532917923,1,0
1532918524,60,0
1532919123,77,0
1532919724,52,0
1532920324,79,0
1532920924,81,0
1532922123,81,0
1532922724,28,0
1532923323,82,0
1532923923,84,0
1532924523,77,0
1532925723,55,0
1532926323,55,1
1532926923,57,0
1532928124,56,0
1532928781,59,0
1532929324,34,0
1532930523,42,0
1532931123,18,0
1532931724,54,0
1532932323,2,0
1532932924,31,0
1532933524,62,0
1532934123,60,0
1532935323,54,0
1532935924,55,0
1532936523,48,0
1532937123,58,0
1532937724,56,0
1532938923,49,0
1532940123,48,0
1532941323,59,1
1532942523,62,0
1532943724,12,0
1532944923,70,0
1532945523,62,0
1532946123,50,0
1532946722,1,0
1532946782,0,1
1532947323,33,0
1532947923,64,0
1532948523,61,3
1532949724,72,0
1532950923,67,3
1532951524,39,0
1532952124,50,2
1532952723,1,0
1532953325,69,1
1532954523,65,6
1532955723,78,3
1532956323,75,0
1532956923,69,5
1532957522,1,0
1532958123,79,7
1532959323,68,4
1532959923,29,0
1532960523,38,0
1532961123,57,2
1532961724,47,1
1532962324,67,1
1532962923,64,4
1532964123,58,15
1532964724,69,0
1532965324,69,0
1532965923,17,1
1532966523,56,18
1532967124,64,0
1532967725,55,6
1532968382,1,0
1532968924,44,0
1532969523,46,0
1532970123,46,1
1532971323,52,0
1532972524,51,9
1532973724,56,2
1532974323,51,0
1532974923,48,7
1532976123,47,3
1532976723,50,0
1532977324,47,0
1532977924,44,0
1532978523,59,4
1532979181,46,0
1532979723,73,0
1532980323,2,0
1532980923,74,2
1532981523,60,0
1532982782,67,3
1532983323,93,3
1532984522,53,1
1532985723,60,0
1532986323,72,1
1532986923,67,2
1532987523,47,0
1532988123,25,0
1532988723,68,1
1532989323,73,0
1532989981,1,0
1532990524,78,3
1532991124,64,4
1532991723,76,0
1532992324,75,0
1532992924,67,3
1532993524,55,0
1532994124,54,0
1532995323,60,1
1532995923,53,0
1532996523,43,3
1532997124,68,0
1532997723,50,0
1532998324,64,2
1532998924,57,0
1532999523,70,0
1533000123,68,3
1533000782,64,0
1533001324,62,0
1533001923,43,1
1533002523,37,2
1533003123,63,0
1533003723,60,6
1533004324,60,0
1533004381,2,0
1533004924,65,13
1533005523,70,9
1533006123,67,0
1533007324,68,11
1533007923,64,3
1533008524,70,1
1533009723,68,6
1533010323,70,0
1533010923,62,2
1533011523,55,0
1533012123,53,0
1533012723,8,0
1533013323,56,2
1533013924,45,0
1533014524,62,2
1533015181,71,2
1533015723,44,2
1533016923,38,3
1533018123,52,2
1533019323,53,1
1533019924,61,8
1533020523,59,9
1533021724,54,3
1533022923,54,9
1533024124,60,6
1533025324,67,6
1533025924,70,0
1533026523,61,0
1533027124,60,1
1533027723,69,3
1533028923,57,11
1533030123,67,7
1533031323,56,4
1533031924,55,0
1533032523,72,0
1533033124,50,0
1533033724,62,3
1533034323,1,0
1533034923,47,0
1533036124,77,10
1533036723,55,0
1533037323,65,0
1533037923,56,0
1533038523,64,0
1533039723,8,5
1533040924,55,1
1533042123,63,3
1533042723,59,3
1533043323,59,10
1533043923,28,0
1533044523,39,3
1533045123,42,0
1533045723,10,7
1533046323,1,0
1533046923,12,0
1533047524,41,0
1533048123,70,0
1533048724,8,12
1533049324,50,6
1533049923,54,2
1533050524,28,0
1533051723,30,6
1533052324,26,0
1533052923,47,8
1533053524,2,0
1533054123,14,4
1533054723,66,7
1533055323,53,5
1533055924,58,0
1533056523,44,3
1533057723,59,12
1533058923,59,0
1533059523,59,13
1533060124,50,1
1533060725,1,0
1533061323,60,3
1533061923,1,0
1533062523,60,5
1533063123,60,0
1533063724,62,11
1533064323,29,0
1533064924,59,8
1533065523,56,0
1533067323,43,34
1533068524,58,7
1533069724,50,9
1533070923,57,23
1533072124,50,7
1533073323,21,9
1533073923,64,1
1533074523,58,9
1533075123,1,9
1533075724,60,0
1533076924,17,28
1533078124,45,6
1533078723,52,1
1533079324,65,10
1533079923,2,0
1533080524,53,1
1533081724,15,20
1533082924,51,0
1533084124,74,29
1533085323,61,5
1533086524,63,35
1533087124,4,0
1533087723,28,5
1533088322,2,0
1533088923,32,13
1533090123,32,4
1533090723,59,11
1533091323,56,8
1533091923,47,0
1533092523,38,8
1533093123,58,1
1533093724,60,11
1533094323,0,6
1533094924,51,0
1533095523,48,2
1533096124,43,16
1533097323,53,0
1533098524,51,30
1533099123,3,0
1533099724,59,0
1533100923,59,13
1533102124,73,8
1533102724,34,5
1533103323,46,9
1533103924,52,10
1533104524,56,0
1533105124,51,0
1533105724,39,18
1533106923,60,0
1533107524,52,21
1533108123,37,5
1533108724,49,2
1533109323,56,1
1533109923,40,5
1533110524,59,3
1533111723,31,15
1533112324,39,0
1533112924,77,4
1533113523,43,7
1533114123,57,4
1533115324,60,31
1533116523,29,0
1533117123,72,15
1533117723,59,10
1533118324,59,0
1533118924,55,0
