DateTime,AddedIPs,RemovedIPs
1526965452,1,0
1526972887,1,0
1527020408,0,2
1527020887,2,0
1527021369,29,3
1527030967,2,0
1527038890,1,0
1527040329,0,2
1527040824,2,0
1527041287,0,1
1527088332,1,0
1527105133,6,6
1527114251,1,0
1527126965,1,0
1527132015,6,0
1527141127,1,0
1527142569,0,2
1527143048,2,0
1527149048,3,0
1527151930,1,0
1527155289,1,0
1527160086,1,0
1527168251,1,0
1527175955,1,0
1527180729,1,0
1527191049,3,6
1527193928,0,2
1527194408,2,0
1527199686,1,0
1527214328,0,2
1527214807,2,2
1527218170,0,1
1527219624,2,3
1527220086,1,1
1527220566,0,2
1527221050,0,1
1527247447,1,0
1527249845,1,0
1527263295,2,0
1527270729,1,0
1527277448,5,5
1527289450,1,0
1527294021,0,168
1527302656,177,0
1527306256,0,0
1527311792,0,0
1527313453,0,0
1527314896,0,0
1527318976,0,0
1527324736,0,0
1527338655,0,0
1527339854,0,0
1527344178,0,0
1527347055,0,0
1527348978,0,0
1527353296,3,0
1527358575,0,0
1527360495,0,0
1527370095,6,4
1527374417,0,73
1527379242,73,0
1527380421,0,73
1527384614,72,266
1527388589,266,1
1527393375,0,0
1527399616,1,0
1527411129,1,0
1527439469,1,0
1527449529,1,0
1527450487,1,2
1527460818,1,0
1527483152,1,0
1527514328,1,0
1527526814,1,0
1527536645,2,2
1527556568,1,0
1527594489,1,0
1527603605,1,0
1527614166,2,0
1527623050,2,1
1527643684,0,1
1527644167,0,1
1527682331,276,240
1527688084,1,0
1527701528,2,0
1527710282,2,7
1527729370,2,0
1527745212,3,0
1527754805,1,0
1527763940,1,0
1527785769,1,0
1527788895,3,0
1527794405,1,0
1527797285,7,1
1527828486,1,0
1527832325,1,0
1527832565,2,0
1527848198,1,0
1527876261,2,0
1527880086,1,0
1527882485,1,2
1527888246,1,0
1527903608,0,1
1527904089,1,0
1527923782,2,0
1527929060,1,0
1527932419,0,191
1527934598,191,0
1527939375,0,122
1527945378,0,0
1527951857,0,0
1527961694,0,0
1527982373,2,4
1527991938,0,1
1527994352,0,0
1527995537,0,0
1528002737,0,0
1528004179,0,0
1528009686,1,0
1528010168,1,0
1528038244,1,0
1528050729,2,0
1528053852,3,0
1528055287,3,1
1528068005,1,0
1528074244,0,1
1528074725,1,0
1528075208,1,0
1528085050,1,0
1528093925,1,0
1528094888,1,0
1528097534,1,0
1528141690,2,5
1528163525,0,1
1528164022,1,0
1528181528,1,0
1528184890,2,0
1528201217,1,0
1528207301,1,0
1528220884,1,0
1528228085,4,3
1528286497,1,0
1528308014,0,0
1528309729,0,0
1528313420,0,0
1528318865,3,5
1528322754,0,0
1528325301,0,0
1528330065,0,0
1528333256,0,0
1528335379,0,1
1528370404,1,0
1528388408,1,0
1528400889,3,3
1528406173,2,0
1528420326,1,0
1528421766,0,2
1528422246,1,0
1528449860,2,0
1528455675,1,0
1528487296,7,3
1528493542,1,0
1528507205,1,0
1528508648,0,1
1528509124,1,0
1528537462,1,0
1528564809,1,0
1528566966,1,0
1528573685,4,4
1528581144,1,0
1528624829,2,0
1528660089,5,3
1528681445,1,0
1528712195,2,0
1528718649,1,0
1528721529,1,0
1528745633,3,1
1528765688,0,1
1528766165,1,0
1528768809,0,1
1528769288,1,0
1528832646,1,1
1528843220,1,0
1528852326,1,0
1528854249,0,1
1528887134,2,0
1528892889,292,280
1528906805,1,0
1528912085,2,0
1528919290,1,2
1528920246,1,0
1528944485,1,0
1528959125,1,0
1528964405,1,0
1528975685,1,0
1529005928,2,3
1529028248,1,0
1529056085,1,0
1529063298,1,0
1529068808,2,0
1529092086,1,5
1529111764,0,1
1529112725,0,1
1529113205,1,0
1529177766,1,0
1529178725,6,4
1529194340,1,0
1529198405,1,0
1529200569,0,1
1529238023,1,0
1529264886,1,1
1529281690,1,0
1529286007,1,0
1529331605,1,0
1529351528,3,4
1529372164,0,1
1529374086,0,1
1529374569,0,1
1529375045,0,1
1529377685,0,1
1529378164,1,0
1529378645,0,2
1529379129,1,0
1529380085,0,1
1529380565,0,2
1529381050,0,1
1529382006,0,1
1529382486,0,1
1529382965,0,2
1529383445,0,1
1529384409,0,1
1529386326,0,1
1529386808,0,1
1529387288,0,1
1529387765,0,1
1529388247,0,1
1529389688,0,2
1529390164,0,1
1529390646,0,2
1529391125,0,1
1529392565,0,1
1529393049,0,2
1529394965,0,1
1529395448,0,2
1529433126,1,0
1529437924,3,4
1529456415,1,0
1529477285,1,0
1529497003,1,0
1529524090,4,3
1529542003,1,0
1529543781,1,0
1529547610,1,0
1529557301,1,0
1529559129,0,1
1529559606,1,0
1529560089,1,0
1529576410,1,0
1529581609,1,0
1529587457,1,0
1529610486,3,0
1529631141,1,0
1529646728,0,1
1529647224,1,0
1529675054,1,0
1529696646,0,7
1529720406,1,0
1529735769,1,0
1529745405,1,0
1529762425,1,0
1529783286,4,0
1529806096,2,0
1529849780,1,0
1529869445,3,2
1529893703,1,0
1529909525,1,0
1529927202,1,0
1529932805,1,0
1529937366,1,0
1529946247,1,0
1529950326,257,271
1529953448,1,0
1529956328,1,3
1529970401,1,0
1530023765,1,0
1530024731,2,0
1530025688,1,0
1530031928,2,0
1530040085,1,0
1530040615,1,0
1530042487,2,2
1530043447,1,0
1530044407,1,0
1530068413,1,0
1530072486,1,0
1530079687,1,0
1530084706,1,0
1530088330,1,0
1530096490,1,0
1530128646,3,0
1530136089,1,0
1530146164,1,0
1530155778,2,0
1530173286,1,0
1530199459,2,0
1530215050,2,2
1530243748,3,0
1530262085,1,0
1530269529,1,0
1530287534,1,0
1530301924,1,4
1530328089,1,0
1530387849,3,4
1530418574,1,0
