DateTime,Entries,UniqueIPs
1526953210,5292,5403
1526956570,5293,5404
1526957309,5296,5407
1526965452,5297,5408
1526972887,5298,5409
1527020408,5296,5407
1527020887,5298,5409
1527021369,5324,5435
1527030967,5326,5437
1527038890,5327,5438
1527040329,5325,5436
1527040824,5327,5438
1527041287,5326,5437
1527088332,5327,5438
1527105133,5327,5438
1527114251,5328,5439
1527126965,5329,5440
1527132015,5335,5446
1527141127,5336,5447
1527142569,5334,5445
1527143048,5336,5447
1527149048,5339,5450
1527151930,5340,5451
1527155289,5341,5452
1527160086,5342,5453
1527168251,5343,5454
1527175955,5344,5455
1527180729,5345,5456
1527191049,5342,5453
1527193928,5340,5451
1527194408,5342,5453
1527199686,5343,5454
1527214328,5341,5452
1527214807,5342,5452
1527218170,5341,5451
1527219624,5340,5450
1527220086,5340,5450
1527220566,5338,5448
1527221050,5337,5447
1527247447,5338,5448
1527249845,5339,5449
1527263295,5341,5451
1527270729,5342,5452
1527277448,5343,5452
1527289450,5342,5453
1527294021,5188,5285
1527302656,5350,5462
1527306256,5350,5462
1527311792,5350,5462
1527313453,5350,5462
1527314896,5350,5462
1527318976,5350,5462
1527324736,5350,5462
1527338655,5350,5462
1527339854,5350,5462
1527344178,5350,5462
1527347055,5350,5462
1527348978,5350,5462
1527353296,5353,5465
1527358575,5353,5465
1527360495,5353,5465
1527370095,5354,5467
1527374417,5282,5394
1527379242,5354,5467
1527380421,5282,5394
1527384614,5089,5200
1527388589,5352,5465
1527393375,5352,5465
1527399616,5353,5466
1527411129,5354,5467
1527439469,5355,5468
1527449529,5356,5469
1527450487,5355,5468
1527460818,5356,5469
1527483152,5357,5470
1527514328,5358,5471
1527526814,5359,5472
1527536645,5359,5472
1527556568,5360,5473
1527594489,5361,5474
1527603605,5362,5475
1527614166,5364,5477
1527623050,5365,5478
1527643684,5364,5477
1527644167,5363,5476
1527682331,5401,5512
1527688084,5402,5513
1527701528,5404,5515
1527710282,5399,5510
1527729370,5401,5512
1527745212,5404,5515
1527754805,5405,5516
1527763940,5406,5517
1527785769,5407,5518
1527788895,5410,5521
1527794405,5411,5522
1527797285,5417,5528
1527828486,5418,5529
1527832325,5419,5530
1527832565,5421,5532
1527848198,5422,5533
1527876261,5424,5535
1527880086,5425,5536
1527882485,5424,5535
1527888246,5425,5536
1527903608,5424,5535
1527904089,5425,5536
1527923782,5427,5538
1527929060,5428,5539
1527932419,5252,5348
1527934598,5428,5539
1527939375,5309,5417
1527945378,5428,5539
1527951857,5428,5539
1527961694,5428,5539
1527982373,5426,5537
1527991938,5425,5536
1527994352,5425,5536
1527995537,5425,5536
1528002737,5425,5536
1528004179,5425,5536
1528009686,5426,5537
1528010168,5427,5538
1528038244,5428,5539
1528050729,5430,5541
1528053852,5432,5544
1528055287,5434,5546
1528068005,5435,5547
1528074244,5434,5546
1528074725,5435,5547
1528075208,5436,5548
1528085050,5437,5549
1528093925,5438,5550
1528094888,5439,5551
1528097534,5440,5552
1528141690,5437,5549
1528163525,5436,5548
1528164022,5437,5549
1528181528,5438,5550
1528184890,5440,5552
1528201217,5441,5553
1528207301,5442,5554
1528220884,5443,5555
1528228085,5444,5556
1528286497,5445,5557
1528309729,5445,5557
1528318865,5443,5555
1528322754,5443,5555
1528325301,5443,5555
1528330065,5443,5555
1528335379,5442,5554
1528370404,5443,5555
1528388408,5442,5556
1528400889,5442,5556
1528406173,5444,5558
1528420326,5445,5559
1528421766,5443,5557
1528422246,5444,5558
1528449860,5446,5560
1528455675,5447,5561
1528487296,5451,5565
1528493542,5452,5566
1528507205,5453,5567
1528508648,5452,5566
1528509124,5453,5567
1528537462,5454,5568
1528564809,5455,5569
1528566966,5456,5570
1528573685,5456,5570
1528581144,5457,5571
1528624829,5459,5573
1528660089,5461,5575
1528681445,5462,5576
1528712195,5464,5578
1528718649,5465,5579
1528721529,5466,5580
1528745633,5468,5582
1528765688,5467,5581
1528766165,5468,5582
1528768809,5467,5581
1528769288,5468,5582
1528832646,5468,5582
1528843220,5469,5583
1528852326,5470,5584
1528854249,5469,5583
1528887134,5471,5585
1528892889,5487,5597
1528906805,5488,5598
1528912085,5489,5600
1528919290,5488,5599
1528920246,5489,5600
1528944485,5490,5601
1528959125,5491,5602
1528964405,5492,5603
1528975685,5493,5604
1529005928,5492,5603
1529028248,5493,5604
1529056085,5494,5605
1529063298,5495,5606
1529068808,5496,5608
1529092086,5492,5604
1529111764,5491,5603
1529112725,5490,5602
1529113205,5491,5603
1529177766,5492,5604
1529178725,5494,5606
1529194340,5495,5607
1529198405,5496,5608
1529200569,5495,5607
1529238023,5496,5608
1529264886,5496,5608
1529281690,5497,5609
1529286007,5498,5610
1529331605,5499,5611
1529351528,5498,5610
1529372164,5497,5609
1529374086,5496,5608
1529374569,5496,5607
1529375045,5495,5606
1529377685,5494,5605
1529378164,5495,5606
1529378645,5493,5604
1529379129,5494,5605
1529380085,5493,5604
1529380565,5491,5602
1529381050,5490,5601
1529382006,5489,5600
1529382486,5488,5599
1529382965,5486,5597
1529383445,5485,5596
1529384409,5484,5595
1529386326,5483,5594
1529386808,5482,5593
1529387288,5481,5592
1529387765,5480,5591
1529388247,5479,5590
1529389688,5477,5588
1529390164,5476,5587
1529390646,5474,5585
1529391125,5473,5584
1529392565,5472,5583
1529393049,5470,5581
1529394965,5469,5580
1529395448,5467,5578
1529433126,5468,5579
1529437924,5467,5578
1529456415,5468,5579
1529477285,5469,5580
1529497003,5470,5581
1529524090,5471,5582
1529542003,5472,5583
1529543781,5473,5584
1529547610,5474,5585
1529557301,5475,5586
1529559129,5474,5585
1529559606,5475,5586
1529560089,5474,5587
1529576410,5474,5588
1529581609,5475,5589
1529587457,5476,5590
1529610486,5479,5593
1529631141,5480,5594
1529646728,5479,5593
1529647224,5480,5594
1529675054,5481,5595
1529696646,5474,5588
1529720406,5475,5589
1529735769,5476,5590
1529745405,5477,5591
1529762425,5478,5592
1529783286,5482,5596
1529806096,5484,5598
1529849780,5485,5599
1529869445,5486,5600
1529893703,5487,5601
1529909525,5488,5602
1529927202,5489,5603
1529932805,5487,5604
1529937366,5488,5605
1529946247,5489,5606
1529950326,5474,5592
1529953448,5475,5593
1529956328,5473,5591
1529970401,5474,5592
1530023765,5475,5593
