DateTime,AddedIPs,RemovedIPs
1525673781,8,0
1525688663,5,1
1525703553,1,0
1525718188,1,2
1525733314,7,4
1525747950,12,1
1525762821,21,0
1525777708,13,0
1525792589,9,2
1525807221,8,1
1525821849,8,1
1525836490,4,1
1525851378,9,2
1525866266,18,3
1525880891,25,1
1525895536,20,1
1525910445,28,4
1525925062,23,0
1525939933,26,1
1525954567,11,0
1525969234,19,1
1525983869,14,2
1525998736,9,0
1526013396,9,1
1526028254,5,1
1526043136,10,0
1526057769,6,3
1526072663,7,1
1526087297,12,0
1526102178,6,0
1526117061,7,0
1526131937,12,0
1526146590,4,1
1526161453,7,0
1526176332,9,2
1526191468,2,0
1526206093,5,1
1526220987,6,0
1526235605,7,0
1526250863,19,1
1526265858,33,1
1526280492,22,1
1526295132,21,0
1526311487,13,2
1526326098,9,1
1526340740,8,2
1526355622,4,0
1526370251,14,0
1526384913,14,0
1526399552,8,0
1526414173,9,1
1526429056,3,2
1526443947,10,1
1526458576,3,2
1526473222,9,1
1526488834,5,0
1526503452,7,1
1526518100,16,1
1526532983,17,1
1526547855,8,1
1526562500,12,1
1526577389,4,1
1526592251,2,3
1526606887,3,0
1526621537,5,1
1526636175,3,0
1526650825,1,0
1526665448,4,0
1526680098,4,3
1526694735,2,0
1526709376,1,1
1526724010,4,0
1526738651,2,2
1526753309,4,0
1526768188,2,1
1526782820,4,2
1526797451,5,0
1526812089,3,2
1526826750,4,0
1526841367,6,2
1526856142,3,1
1526870895,3,0
1526885527,5,0
1526900187,4,0
1526914823,2,0
1526929474,5,1
1526958984,2,1
1526973866,6,0
1526988470,1,2
1527003128,0,1
1527018026,3,0
1527032909,19,0
1527047548,10,0
1527062421,17,2
1527077294,9,1
1527091943,12,2
1527106588,15,0
1527121208,15,2
1527135853,9,2
1527150489,14,6
1527165132,8,1
1527179795,5,2
1527194431,7,4
1527209136,5,2
1527223935,8,0
1527238834,6,1
1527253476,6,0
1527268098,3,0
1527282748,12,0
1527298613,3,1
1527313476,4,0
1527329342,7,0
1527344216,2,0
1527360531,5,0
1527376124,7,1
1527391287,4,0
1527405850,2,0
1527420487,5,3
1527435151,4,1
1527449774,4,2
1527464404,5,0
1527479047,6,1
1527493933,2,0
1527508580,6,1
1527523232,3,0
1527538109,3,0
1527552747,5,0
1527567368,11,1
1527582026,2,1
1527596648,5,0
1527611294,31,0
1527625943,16,1
1527640809,16,0
1527655463,12,6
1527670090,6,0
1527684749,20,0
1527699365,14,0
1527714270,17,0
1527728888,12,0
1527743527,5,2
1527758184,13,0
1527772806,10,1
1527787449,8,1
1527802088,9,0
1527816738,5,1
1527831389,5,0
1527846006,6,5
1527860657,7,0
1527875301,5,0
1527889925,5,0
1527904580,9,2
1527919326,5,0
1527934657,2,0
1527949532,0,0
1527964132,1,1
1527979007,1,0
1527994459,6,1
1528009229,3,1
1528023860,6,0
1528038492,3,1
1528053128,4,1
1528067764,2,0
1528082405,4,0
1528111687,3,2
1528126328,5,0
1528140970,0,1
1528155608,0,2
1528170251,1,3
1528184887,0,1
1528199535,1,0
1528214172,10,0
1528228813,17,1
1528243450,9,2
1528258093,25,0
1528272728,10,1
1528287373,11,1
1528302020,14,1
1528318836,8,1
1528335394,5,2
1528350017,7,0
1528364653,5,1
1528379545,7,1
1528394178,7,2
1528408828,6,5
1528423462,6,1
1528438088,8,1
1528452740,5,0
1528467374,8,0
1528482010,12,0
1528496648,6,0
1528511285,2,1
1528525946,2,0
1528540577,1,1
1528555208,5,0
1528569863,2,1
1528584387,5,1
1528599126,6,0
1528613770,2,1
1528628410,5,1
1528643053,4,1
1528657691,3,2
1528672333,2,0
1528686976,3,0
1528701621,2,1
1528716250,1,0
1528731052,4,2
1528745769,7,2
1528760419,2,2
1528775058,6,0
1528789689,2,0
1528804327,0,1
1528818974,6,0
1528833625,2,0
1528848511,1,0
1528863125,7,0
1528877768,2,3
1528892427,1,0
1528907056,6,2
1528921687,3,0
1528936342,1,1
1528950965,6,0
1528965614,2,0
1528980261,16,2
1528994888,23,0
1529009526,13,0
1529024164,15,0
1529038817,13,1
1529053450,11,1
1529068100,12,0
1529082729,10,0
1529097791,7,0
1529112486,6,0
1529127226,6,1
1529141769,5,0
1529156405,6,0
1529171060,20,2
1529185928,11,1
1529200585,19,0
1529215211,6,1
1529229855,6,0
1529244492,9,0
1529259133,6,2
1529274011,7,0
