DateTime,AddedIPs,RemovedIPs
1532664907,674,768
1532665807,751,760
1532666707,722,1087
1532667608,744,924
1532668507,737,736
1532669407,1040,1309
1532670307,674,1129
1532671207,732,973
1532672107,679,788
1532673007,873,982
1532673907,746,1366
1532674807,755,766
1532675708,642,820
1532676608,687,813
1532677508,759,1136
1532678408,1074,760
1532679308,914,875
1532680207,832,686
1532681107,717,541
1532682007,559,763
1532682908,517,736
1532683808,506,678
1532684707,633,491
1532685608,670,489
1532686507,719,423
1532687408,650,399
1532688308,644,326
1532689208,635,360
1532690108,684,480
1532691007,671,475
1532691907,655,489
1532692808,680,478
1532693707,742,721
1532694608,768,458
1532695507,762,319
1532696407,807,343
1532697307,720,363
1532698208,689,324
1532699107,649,302
1532700007,642,375
1532700907,710,403
1532701807,703,401
1532702707,605,373
1532703607,649,255
1532704506,735,294
1532705407,737,316
1532706308,787,457
1532707206,669,394
1532708107,582,282
1532709007,628,345
1532709907,615,213
1532710806,651,345
1532711706,618,364
1532712606,663,279
1532713507,724,557
1532714405,581,432
1532715307,639,384
1532716206,612,496
1532717106,633,468
1532718006,618,543
1532718905,677,699
1532719806,668,565
1532720707,729,847
1532721605,649,812
1532722505,764,905
1532723404,912,770
1532724305,1001,776
1532725204,769,1152
1532726105,744,848
1532727005,660,776
1532727905,616,757
1532728806,627,829
1532729705,552,852
1532731505,1211,1906
1532732404,593,1078
1532733305,655,1003
1532734204,654,795
1532735104,676,842
1532736005,639,981
1532736905,759,783
1532737805,689,858
1532738704,725,649
1532739605,885,1051
1532740505,810,745
1532741404,693,659
1532742304,690,614
1532743205,707,645
1532744105,716,635
1532745005,684,690
1532745905,684,721
1532746805,653,669
1532747705,638,650
1532748605,631,604
1532749505,706,696
1532750405,608,563
1532751305,598,476
1532752205,653,749
1532753105,663,586
1532754005,695,707
1532754904,725,732
1532755804,730,601
1532756705,559,535
1532757605,705,595
1532758505,991,831
1532759405,991,726
1532760305,645,653
1532761205,707,664
1532762106,622,564
1532763006,677,672
1532763905,772,676
1532764806,687,613
1532765706,631,530
1532766605,630,658
1532767504,647,583
1532768405,756,753
1532769304,632,550
1532770204,591,702
1532771104,920,771
1532772905,1681,1371
1532773805,733,696
1532774706,737,757
1532775605,620,709
1532776504,644,641
1532777404,634,746
1532778304,639,852
1532779205,842,719
1532780106,862,804
1532781005,760,788
1532781904,625,708
1532782805,763,740
1532783704,719,709
1532784605,964,846
1532785505,903,814
1532786404,744,552
1532787305,772,686
1532788205,825,748
1532789104,897,690
1532790004,732,699
1532790904,538,663
1532791805,676,667
1532792704,510,703
1532793604,227,269
1532794505,1038,986
1532795405,579,738
1532796304,463,552
1532797204,527,637
1532798105,739,666
1532799004,547,602
1532799905,566,619
1532800805,537,709
1532801704,491,824
1532802604,441,817
1532803504,418,729
1532804405,526,600
1532805305,431,495
1532806204,499,746
1532807105,510,985
1532808005,602,859
1532808905,637,804
1532809805,559,638
1532810704,553,787
1532811605,518,829
1532812504,487,724
1532813404,501,715
1532814304,461,1004
1532815204,617,985
1532816105,555,826
1532817005,531,796
1532817904,464,655
1532818804,480,539
1532819704,515,728
1532820605,448,837
1532821505,459,613
1532822405,522,703
1532823305,501,656
1532824205,558,661
1532826004,1272,1007
1532826904,546,388
1532827804,523,445
1532828705,524,265
1532829604,450,482
1532830505,494,525
1532831405,564,291
1532832305,620,344
1532833204,513,223
1532834104,459,350
1532835005,504,390
1532835905,517,220
1532836805,555,438
1532837705,404,467
1532838604,681,422
1532839504,532,514
1532840405,564,504
1532841305,475,379
1532842204,481,413
1532843104,529,275
1532844005,522,342
1532844904,544,389
1532845804,662,539
1532846704,499,455
1532847604,466,477
1532848505,537,381
1532849404,508,524
1532850306,508,549
1532851204,417,477
1532852105,496,378
1532853005,521,364
1532853905,438,547
1532854804,459,494
1532855703,404,429
1532856604,465,640
1532857504,492,679
1532858405,594,581
1532859305,502,734
1532860204,498,314
1532861104,493,325
1532862004,436,672
1532862904,333,720
1532863805,411,505
1532864704,577,562
1532865604,561,512
1532866504,577,510
1532867404,487,639
1532868304,568,850
1532869204,580,574
1532870104,462,597
1532871004,534,589
1532871904,537,745
1532872804,482,793
1532873705,503,599
1532874605,495,660
1532875504,602,462
1532876404,562,393
1532877304,433,389
1532878205,428,223
1532879104,410,260
1532880004,454,267
1532880904,466,269
1532881803,395,193
1532882704,433,416
1532883605,409,1998
1532884504,400,2482
1532885405,453,3200
1532886305,390,2844
1532887207,326,2463
1532888106,380,3680
1532889008,478,516
1532889907,424,515
1532890807,394,475
1532891707,465,384
1532892608,400,441
1532893508,369,528
1532894408,457,420
1532896209,843,633
1532897109,390,331
1532898009,412,319
1532898909,405,314
1532899809,444,399
1532900709,460,413
1532901609,343,431
1532902511,439,528
1532903411,529,480
1532904310,391,414
1532905211,475,522
1532906112,488,445
1532907012,435,374
1532907911,403,436
1532908812,476,414
1532909712,521,386
1532910613,463,502
1532911513,547,566
1532912413,609,530
1532913313,562,553
1532914213,435,496
1532915114,565,404
1532916015,445,406
1532916913,641,391
1532917814,487,457
1532918714,597,365
1532919615,507,455
1532920515,580,586
1532921415,425,522
1532922318,537,803
1532923215,408,488
1532924118,551,755
1532925020,618,588
1532925917,630,526
1532926817,480,476
1532927718,551,487
1532928619,539,587
1532929517,532,719
1532930416,502,518
1532931316,516,402
1532932218,559,512
1532933116,539,553
1532934015,520,294
1532934916,525,483
1532935818,544,504
1532936716,640,563
1532937616,620,594
1532938516,544,502
1532939417,684,327
1532940315,428,346
1532941215,419,478
1532942118,462,501
1532943018,436,662
1532943915,276,284
1532944817,84,6
1532945714,73,0
1532946614,65,24
1532947514,83,5
1532948413,98,0
1532949313,98,0
1532950215,201,1
1532951113,305,53
1532952014,313,22
1532952913,367,24
1532953813,165,2
1532954713,106,18
1532955613,124,9
1532956511,66,18
1532957409,77,12
1532958311,90,8
1532959212,77,29
1532960109,65,3
1532961011,82,42
1532961911,86,107
1532962809,85,38
1532963709,57,51
1532964611,81,56
1532965510,74,67
1532966410,76,55
1532967310,78,74
1532968210,69,69
1532969109,97,60
1532970009,122,81
1532970909,89,97
1532971808,96,96
1532972708,137,182
1532973608,129,312
1532974506,135,307
1532975408,381,359
1532976306,362,178
1532977207,319,113
1532978105,379,134
1532979004,254,76
1532979904,107,66
1532980805,102,74
1532981703,89,73
1532982604,123,535
1532983503,110,636
1532984403,285,470
1532985303,1686,443
1532986204,1822,453
1532987103,1566,430
1532988005,2381,266
1532988904,1332,71
1532989804,1106,2734
1532990704,1059,2687
1532991604,988,1591
1532992504,916,1681
1532993405,1115,2724
1532994306,948,1735
1532995206,972,1068
1532996106,896,991
1532997007,821,926
1532997908,865,1324
1532998808,863,937
1532999708,796,1122
1533000609,847,1105
1533001509,778,806
1533002409,709,1002
1533003310,970,886
1533004209,789,641
1533005109,788,807
1533006010,860,754
1533006912,784,630
1533007812,874,1078
1533008712,804,822
1533009613,759,755
1533010513,766,800
1533011411,788,783
1533012315,932,830
1533013213,853,738
1533014113,778,661
1533015014,733,707
1533015914,576,806
1533016812,578,884
1533017713,601,908
1533018614,613,989
1533019516,548,820
1533020414,526,568
1533021314,553,345
1533022215,548,367
1533023114,531,437
1533024015,642,388
1533024916,632,421
1533025817,641,344
1533026715,554,414
1533027617,575,590
1533028518,596,523
1533029416,708,266
1533030317,766,435
1533031217,852,510
1533032118,842,541
1533033017,940,664
1533033918,921,615
1533034818,891,581
1533035716,818,812
1533036618,819,1292
1533037516,814,1162
1533038418,871,620
1533039317,921,900
1533040216,886,925
1533041120,866,926
1533042016,962,835
