DateTime,Entries,UniqueIPs
1532664907,15045,15045
1532665807,15036,15036
1532666707,14671,14671
1532667608,14491,14491
1532668507,14492,14492
1532669407,14223,14223
1532670307,13768,13768
1532671207,13527,13527
1532672107,13418,13418
1532673007,13309,13309
1532673907,12689,12689
1532674807,12678,12678
1532675708,12500,12500
1532676608,12374,12374
1532677508,11997,11997
1532678408,12311,12311
1532679308,12350,12350
1532680207,12496,12496
1532681107,12672,12672
1532682007,12468,12468
1532682908,12249,12249
1532683808,12077,12077
1532684707,12219,12219
1532685608,12400,12400
1532686507,12696,12696
1532687408,12947,12947
1532688308,13265,13265
1532689208,13540,13540
1532690108,13744,13744
1532691007,13940,13940
1532691907,14106,14106
1532692808,14308,14308
1532693707,14329,14329
1532694608,14639,14639
1532695507,15082,15082
1532696407,15546,15546
1532697307,15903,15903
1532698208,16268,16268
1532699107,16615,16615
1532700007,16882,16882
1532700907,17189,17189
1532701807,17491,17491
1532702707,17723,17723
1532703607,18117,18117
1532704506,18558,18558
1532705407,18979,18979
1532706308,19309,19309
1532707206,19584,19584
1532708107,19884,19884
1532709007,20167,20167
1532709907,20569,20569
1532710806,20875,20875
1532711706,21129,21129
1532712606,21513,21513
1532713507,21680,21680
1532714405,21829,21829
1532715307,22084,22084
1532716206,22200,22200
1532717106,22365,22365
1532718006,22440,22440
1532718905,22418,22418
1532719806,22521,22521
1532720707,22403,22403
1532721605,22240,22240
1532722505,22099,22099
1532723404,22241,22241
1532724305,22466,22466
1532725204,22083,22083
1532726105,21979,21979
1532727005,21863,21863
1532727905,21722,21722
1532728806,21520,21520
1532729705,21220,21220
1532731505,20525,20525
1532732404,20040,20040
1532733305,19692,19692
1532734204,19551,19551
1532735104,19385,19385
1532736005,19043,19043
1532736905,19019,19019
1532737805,18850,18850
1532738704,18926,18926
1532739605,18760,18760
1532740505,18825,18825
1532741404,18859,18859
1532742304,18935,18935
1532743205,18997,18997
1532744105,19078,19078
1532745005,19072,19072
1532745905,19035,19035
1532746805,19019,19019
1532747705,19007,19007
1532748605,19034,19034
1532749505,19044,19044
1532750405,19089,19089
1532751305,19211,19211
1532752205,19115,19115
1532753105,19192,19192
1532754005,19180,19180
1532754904,19173,19173
1532755804,19302,19302
1532756705,19326,19326
1532757605,19436,19436
1532758505,19596,19596
1532759405,19861,19861
1532760305,19853,19853
1532761205,19896,19896
1532762106,19954,19954
1532763006,19959,19959
1532763905,20055,20055
