DateTime,AddedIPs,RemovedIPs
1529947835,12,0
1529950836,1,0
1529954433,3,12
1529958637,15,59
1529962234,15,32
1529969433,25,62
1529973637,22,44
1529977836,13,16
1529985034,13,18
1529988636,4,35
1529992234,9,13
1529996435,11,18
1530000034,7,0
1530003636,26,13
1530007234,11,8
1530010836,17,0
1530013833,17,13
1530017435,31,0
1530024634,71,21
1530031833,53,12
1530035436,34,13
1530039034,17,11
1530043237,19,35
1530046834,11,0
1530049835,5,46
1530053435,5,0
1530057035,3,17
1530060633,6,0
1530064235,6,16
1530067833,5,28
1530071436,7,0
1530075033,5,17
1530078635,11,0
1530082836,4,44
1530086433,8,0
1530089435,11,24
1530093636,14,71
1530097234,3,62
1530100835,30,0
1530104434,11,93
1530107435,14,0
1530111636,11,35
1530115234,10,0
1530118236,11,13
1530125434,17,15
1530129036,12,0
1530132635,8,0
1530139834,29,22
1530143435,22,0
1530150633,67,18
1530154235,31,8
1530157833,31,0
1530162035,38,24
1530165634,19,0
1530169236,22,0
1530172833,13,30
1530175836,11,17
1530179434,10,0
1530183035,10,0
1530190234,19,53
1530193836,5,10
1530197433,4,9
1530201035,5,0
1530204633,7,19
1530208236,15,17
1530212436,33,32
1530216034,24,0
1530220236,10,56
1530225635,20,21
1530228633,8,0
1530232235,10,71
1530235233,12,0
1530238834,20,29
1530242434,19,23
1530246035,11,16
1530249633,12,0
1530257434,20,44
1530261035,11,9
1530264634,4,5
1530268235,10,9
1530271834,19,11
1530274835,11,0
1530278434,27,5
1530282035,54,11
1530285634,31,9
1530289235,42,6
1530292835,20,6
1530297037,30,12
1530300634,39,0
1530304236,22,18
1530307834,24,0
1530312037,17,37
1530317436,15,32
1530319833,9,0
1530324036,10,30
1530327633,5,0
1530331235,2,15
1530334833,1,10
1530337836,7,24
1530342037,8,11
1530345634,6,0
1530348635,6,21
1530352836,14,60
1530356435,5,0
1530360036,8,22
1530363633,9,26
1530366635,6,50
1530370234,15,20
1530373836,15,15
1530378036,28,28
1530381634,20,0
1530385236,10,19
1530388834,8,1
1530392436,11,5
1530396636,4,7
1530401435,22,6
1530405034,8,0
1530409235,20,13
1530412833,43,0
1530415837,30,10
1530418832,29,6
1530422435,37,12
1530426033,31,20
1530430836,23,16
1530434436,27,0
1530438636,12,8
1530442837,8,24
1530446435,63,11
1530450037,185,0
1530453635,12,20
1530457837,31,38
1530461436,9,0
1530464437,9,0
1530468035,11,13
1530471637,15,27
1530478835,10,33
1530482438,9,0
1530485434,19,0
1530489637,32,93
1530493837,28,0
1530499238,25,92
1530504036,13,34
1530508237,12,20
1530511836,4,0
1530517236,15,23
1530520235,4,35
1530523838,13,0
1530526834,6,0
