DateTime,AddedIPs,RemovedIPs
1529947835,137,138
1529950836,80,78
1529954433,139,126
1529958637,169,113
1529962234,111,104
1529969433,210,205
1529973637,107,139
1529977836,117,162
1529985034,172,209
1529988636,125,77
1529992234,103,94
1529996435,138,141
1530000034,113,102
1530003636,120,111
1530007234,97,126
1530010836,101,101
1530013833,94,138
1530017435,113,109
1530024634,209,211
1530031833,200,194
1530035436,130,128
1530039034,152,104
1530043237,122,137
1530046834,99,136
1530049835,102,124
1530053435,106,103
1530057035,111,95
1530060633,110,102
1530064235,87,114
1530067833,85,129
1530071436,90,99
1530075033,124,110
1530078635,120,93
1530082836,129,97
1530086433,91,117
1530089435,97,122
1530093636,138,140
1530097234,91,86
1530100835,156,138
1530104434,104,114
1530107435,90,96
1530111636,132,129
1530115234,121,103
1530118236,103,74
1530125434,194,208
1530129036,124,126
1530132635,140,108
1530139834,181,205
1530143435,121,90
1530150633,196,213
1530154235,110,114
1530157833,154,135
1530162035,124,134
1530165634,114,141
1530169236,100,102
1530172833,98,109
1530175836,92,94
1530179434,120,95
1530183035,114,101
1530190234,178,195
1530193836,108,87
1530197433,114,134
1530201035,81,98
1530204633,131,101
1530208236,125,87
1530212436,137,137
1530216034,147,101
1530220236,126,117
1530225635,149,204
1530228633,94,111
1530232235,140,121
1530235233,92,104
1530238834,101,124
1530242434,98,105
1530246035,114,97
1530249633,127,105
1530257434,207,209
1530261035,104,126
1530264634,102,98
1530268235,106,130
1530271834,111,146
1530274835,128,98
1530278434,118,109
1530282035,140,132
1530285634,138,123
1530289235,130,104
1530292835,128,105
1530297037,160,152
1530300634,155,125
1530304236,110,97
1530307834,126,99
1530312037,124,149
1530317436,155,175
1530319833,104,113
1530324036,146,126
1530327633,93,120
1530331235,97,126
1530334833,84,99
1530337836,115,107
1530342037,117,121
1530345634,122,129
1530348635,109,92
1530352836,141,118
1530356435,110,116
1530360036,104,119
1530363633,114,139
1530366635,99,112
1530370234,143,109
1530373836,135,107
1530378036,147,127
1530381634,134,125
1530385236,110,104
1530388834,119,129
1530392436,108,121
1530396636,125,114
1530401435,144,179
1530405034,117,89
1530409235,138,130
1530412833,128,145
1530415837,106,133
1530418832,102,100
1530422435,112,111
1530426033,143,114
1530430836,139,131
1530434436,97,160
1530438636,135,126
1530442837,125,110
1530446435,178,135
1530450037,291,120
1530453635,103,126
1530457837,129,152
1530461436,103,111
1530464437,139,96
1530468035,131,135
1530471637,96,133
1530478835,228,178
1530482438,128,105
1530485434,150,117
1530489637,164,99
1530493837,135,163
1530499238,159,231
1530504036,191,130
1530508237,131,139
1530511836,114,143
1530517236,149,176
1530520235,100,104
1530523838,138,84
1530526834,124,126
1530531036,141,135
1530534635,131,130
1530539437,118,174
1530543639,168,182
1530547234,198,129
1530552036,172,183
1530556836,187,171
1530562235,215,171
1530565834,140,136
1530568847,124,110
1530572434,123,129
1530576036,124,128
1530580236,135,130
1530585036,159,207
1530589236,160,116
1530594636,159,188
1530597634,93,96
1530601236,150,138
1530604834,120,118
1530612034,226,197
1530616240,151,157
1530621036,168,161
1530625235,147,157
1530630639,168,197
1530635436,197,182
1530639034,163,88
1530643236,143,136
1530648036,157,178
1530651635,140,142
1530655237,132,119
1530658834,129,104
1530662436,124,109
1530666034,100,122
1530669636,125,137
1530676833,213,237
1530680437,122,111
1530684636,164,187
1530690036,253,200
1530695434,202,215
1530700834,194,189
1530706234,219,180
1530709833,131,169
1530715233,176,210
1530720034,202,170
1530724235,195,124
1530729634,177,157
1530735034,156,196
1530739834,158,162
1530743433,134,108
1530747033,132,110
1530750633,118,114
1530754833,113,149
1530760234,158,208
1530765633,183,184
1530769833,148,152
1530774633,161,154
1530777633,139,92
