DateTime,AddedIPs,RemovedIPs
1529947832,9,0
1529950834,6,0
1529954431,8,10
1529958635,8,13
1529962232,8,7
1529969431,7,8
1529973634,6,6
1529977834,10,10
1529985032,6,8
1529988634,10,9
1529992232,7,5
1529996433,9,9
1530000032,7,0
1530003634,6,15
1530007232,10,8
1530010833,6,0
1530013831,12,5
1530017433,4,0
1530024632,9,20
1530031831,9,8
1530035434,6,11
1530039032,9,13
1530043234,11,17
1530046832,6,0
1530049833,7,11
1530053433,10,0
1530057033,7,10
1530060631,9,0
1530064233,4,8
1530067831,8,8
1530071434,8,0
1530075031,7,17
1530078633,10,0
1530082834,6,17
1530086431,7,0
1530089433,10,10
1530093634,9,17
1530097232,9,5
1530100833,8,0
1530104432,10,19
1530107433,6,0
1530111634,8,7
1530115232,10,0
1530118234,6,13
1530125432,7,13
1530129033,10,0
1530132631,7,0
1530139832,10,27
1530143433,10,0
1530150631,11,21
1530154233,5,5
1530157831,7,0
1530162033,12,27
1530165632,9,0
1530169233,8,0
1530172832,9,15
1530175833,8,8
1530179432,7,0
1530183033,8,0
1530190232,9,27
1530193834,6,9
1530197431,6,7
1530201033,9,0
1530204632,8,23
1530208233,8,7
1530212434,10,15
1530216032,5,0
1530220234,7,11
1530225633,7,10
1530228631,7,0
1530232233,9,9
1530235231,6,0
1530238832,4,9
1530242431,10,6
1530246033,9,4
1530249631,8,0
1530257431,9,21
1530261033,7,7
1530264632,7,6
1530268233,10,7
1530271831,6,11
1530274833,5,0
1530278432,9,10
1530282033,7,9
1530285631,9,5
1530289233,9,11
1530292833,7,7
1530297034,10,6
1530300632,3,0
1530304234,11,12
1530307832,8,0
1530312034,8,14
1530317433,9,16
1530319831,5,0
1530324033,12,12
1530327631,10,0
1530331233,5,5
1530334831,9,7
1530337833,6,6
1530342034,7,9
1530345632,7,0
1530348633,8,5
1530352834,5,18
1530356432,8,0
1530360034,5,9
1530363631,7,4
1530366633,11,8
1530370232,5,7
1530373834,10,6
1530378034,6,14
1530381632,6,0
1530385234,8,11
1530388832,5,4
1530392434,8,9
1530396634,10,9
1530401433,7,10
1530405032,7,0
1530409233,9,19
1530412831,6,0
1530415834,7,23
1530418830,9,5
1530422433,9,8
1530426031,8,9
1530430834,7,10
1530434433,8,0
1530438634,11,9
1530442834,9,13
1530446433,15,5
1530450035,12,0
1530453632,10,7
1530457834,11,33
1530461432,13,0
1530464434,8,0
1530468032,10,5
1530471634,6,21
1530478832,8,14
1530482436,11,0
1530485432,10,0
1530489634,11,20
1530493835,6,0
1530499235,8,21
1530504034,8,12
1530508234,7,10
1530511833,8,0
1530517234,12,9
1530520232,10,19
1530523836,6,0
1530526832,9,0
1530531034,7,27
1530534632,15,0
1530539433,10,15
1530543636,6,0
1530547232,8,0
