DateTime,Entries,UniqueIPs
1529871632,2162,2183
1529875234,2161,2182
1529879435,2160,2181
1529883634,2160,2181
1529887834,2159,2180
1529896835,2159,2180
1529901633,2156,2177
1529907034,2159,2180
1529911834,2156,2177
1529915431,2158,2179
1529918434,2156,2177
1529925631,2153,2174
1529929833,2152,2173
1529936433,2150,2171
1529940033,2153,2174
1529944234,2146,2167
1529947832,2148,2169
1529950834,2150,2171
1529954431,2149,2170
1529958635,2152,2173
1529962232,2149,2170
1529969431,2143,2164
1529973634,2141,2162
1529977834,2141,2162
1529988634,2142,2163
1529992232,2139,2160
1529996433,2136,2158
1530000032,2138,2160
1530007232,2137,2159
1530010833,2133,2155
1530013831,2136,2158
1530017433,2134,2156
1530024632,2133,2155
1530031831,2133,2155
1530035434,2133,2156
1530039032,2131,2154
1530043234,2129,2152
1530053433,2126,2149
1530057033,2125,2148
1530060631,2126,2149
1530064233,2127,2150
1530067831,2125,2148
1530071434,2125,2148
1530075031,2126,2149
1530078633,2124,2147
1530082834,2123,2146
1530086431,2124,2147
1530089433,2126,2149
1530093634,2124,2147
1530097232,2125,2148
1530100833,2125,2148
1530104432,2124,2147
1530107433,2126,2149
1530111634,2124,2147
1530118234,2126,2149
1530125432,2128,2151
1530129033,2126,2149
1530132631,2127,2150
1530139832,2128,2151
1530143433,2126,2149
1530150631,2127,2150
1530154233,2125,2148
1530162033,2120,2143
1530165632,2122,2146
1530169233,2114,2138
1530175833,2113,2137
1530179432,2115,2139
1530183033,2112,2136
1530190232,2106,2130
1530193834,2105,2129
1530197431,2106,2130
1530201033,2103,2127
1530204632,2105,2129
1530208233,2103,2127
1530212434,2104,2128
1530220234,2104,2128
1530225633,2101,2125
1530228631,2103,2127
1530232233,2100,2124
1530238832,2099,2123
1530242431,2100,2124
1530246033,2105,2129
1530249631,2102,2126
1530257431,2105,2129
1530261033,2105,2129
1530264632,2107,2131
1530268233,2110,2134
1530271831,2111,2135
1530274833,2109,2133
1530282033,2108,2132
1530285631,2109,2133
1530289233,2112,2136
1530292833,2110,2133
1530297034,2109,2132
1530304234,2106,2129
1530312034,2107,2130
1530317433,2107,2130
1530319831,2108,2131
1530324033,2108,2131
1530327631,2111,2134
1530331233,2110,2133
1530334831,2112,2135
1530337833,2111,2134
1530342034,2110,2133
1530345632,2111,2134
1530348633,2113,2136
1530352834,2112,2135
1530356432,2113,2136
1530360034,2108,2131
1530363631,2108,2131
1530366633,2109,2132
1530370232,2106,2129
1530373834,2109,2132
1530378034,2107,2130
1530385234,2104,2127
1530388832,2106,2129
1530392434,2105,2128
1530396634,2106,2129
1530401433,2107,2130
1530405032,2104,2127
1530409233,2105,2128
1530415834,2106,2129
1530418830,2104,2127
1530422433,2107,2130
1530426031,2104,2127
1530430834,2105,2128
1530434433,2108,2131
1530438634,2109,2132
1530442834,2111,2134
1530446433,2119,2142
1530450035,2126,2149
1530453632,2128,2151
1530457834,2132,2155
1530461432,2141,2164
1530464434,2143,2166
1530468032,2148,2171
1530471634,2148,2171
1530478832,2152,2174
1530482436,2153,2175
1530485432,2157,2179
1530489634,2157,2179
1530493835,2159,2181
1530499235,2161,2183
1530504034,2162,2184
1530508234,2160,2182
1530511833,2165,2187
1530517234,2165,2187
1530520232,2166,2188
1530523836,2167,2189
1530526832,2169,2191
1530531034,2171,2193
1530534632,2177,2199
1530539433,2177,2199
1530543636,2179,2201
1530547232,2181,2203
1530552034,2182,2204
1530556833,2182,2204
1530562233,2179,2201
1530565832,2181,2203
1530568845,2183,2205
1530572432,2185,2207
1530576033,2188,2210
1530580233,2189,2211
1530585033,2190,2212
1530589233,2187,2209
1530594633,2188,2210
1530597632,2195,2217
1530601233,2199,2221
1530604832,2198,2220
1530612032,2192,2214
1530616238,2194,2216
1530621034,2193,2215
1530625233,2194,2216
1530630635,2193,2215
1530635433,2192,2214
1530639032,2195,2217
1530643234,2192,2214
1530648034,2195,2217
1530651633,2200,2222
1530655234,2203,2225
