DateTime,AddedIPs,RemovedIPs
1529947832,23,22
1529950834,23,24
1529954431,26,23
1529958635,19,23
1529962232,22,21
1529969431,22,21
1529973634,22,23
1529977834,24,22
1529985032,15,20
1529988634,23,20
1529992232,22,23
1529996433,25,21
1530000032,25,27
1530003634,23,24
1530007232,23,23
1530010833,23,22
1530013831,24,23
1530017433,23,25
1530024632,22,21
1530031831,21,21
1530035434,24,24
1530039032,24,24
1530043234,23,22
1530046832,20,23
1530049833,23,23
1530053433,24,22
1530057033,23,23
1530060631,25,24
1530064233,22,25
1530067831,25,22
1530071434,22,23
1530075031,21,23
1530078633,24,21
1530082834,19,21
1530086431,23,20
1530089433,24,25
1530093634,21,24
1530097232,23,21
1530100833,20,20
1530104432,26,24
1530107433,24,26
1530111634,21,21
1530115232,23,22
1530118234,21,24
1530125432,21,19
1530129033,24,22
1530132631,17,21
1530139832,24,21
1530143433,24,24
1530150631,23,24
1530154233,22,23
1530157831,20,23
1530162033,25,20
1530165632,20,21
1530169233,25,23
1530172832,22,25
1530175833,24,23
1530179432,21,22
1530183033,23,22
1530190232,25,23
1530193834,25,26
1530197431,19,21
1530201033,24,22
1530204632,21,24
1530208233,23,21
1530212434,23,24
1530216032,22,21
1530220234,19,19
1530225633,19,21
1530228631,24,22
1530232233,25,24
1530235231,22,25
1530238832,19,18
1530242431,26,23
1530246033,24,26
1530249631,25,24
1530257431,24,24
1530261033,21,26
1530264632,24,20
1530268233,25,24
1530271831,23,23
1530274833,16,22
1530278432,25,19
1530282033,25,26
1530285631,22,22
1530289233,23,23
1530292833,21,21
1530297034,25,24
1530300632,20,26
1530304234,22,18
1530307832,23,23
1530312034,25,24
1530317433,17,16
1530319831,25,26
1530324033,25,23
1530327631,27,27
1530331233,22,26
1530334831,26,23
1530337833,26,26
1530342034,23,24
1530345632,20,21
1530348633,23,22
1530352834,20,22
1530356432,23,20
1530360034,24,26
1530363631,24,23
1530366633,26,25
1530370232,21,24
1530373834,26,22
1530378034,23,24
1530381632,22,25
1530385234,25,21
1530388832,21,25
1530392434,25,22
1530396634,18,23
1530401433,24,19
1530405032,24,26
1530409233,24,22
1530412831,23,25
1530415834,24,23
1530418830,23,22
1530422433,25,25
1530426031,21,23
1530430834,23,21
1530434433,23,23
1530438634,21,21
1530442834,22,22
1530446433,26,26
1530450035,25,25
1530453632,24,26
1530457834,22,20
1530461432,25,26
1530464434,26,25
1530468032,23,26
1530471634,25,23
1530478832,23,25
1530482436,27,23
1530485432,25,27
1530489634,24,24
1530493835,21,22
1530499235,21,20
1530504034,23,25
1530508234,24,23
1530511833,24,22
1530517234,26,26
1530520232,27,26
1530523836,22,25
1530526832,27,24
1530531034,22,26
1530534632,26,23
1530539433,24,24
1530543636,23,25
1530547232,25,22
1530552034,26,27
1530556833,20,19
1530562233,15,21
1530565832,25,21
1530568845,26,25
1530572432,25,26
1530576033,24,25
1530580233,23,22
1530585033,26,25
1530589233,21,23
1530594633,21,21
1530597632,25,24
1530601233,25,23
1530604832,22,27
1530612032,21,20
1530616238,25,22
1530621034,25,26
1530625233,22,23
1530630635,22,19
1530635433,20,23
1530639032,24,23
1530643234,25,25
1530648034,23,21
1530651633,26,27
1530655234,22,24
1530658831,26,24
1530662433,24,26
1530666031,20,24
1530669634,27,20
1530676831,20,23
1530680434,25,24
1530684633,23,22
1530690034,17,20
1530695431,24,23
1530700831,24,23
1530706231,12,14
1530709831,20,22
1530715231,22,18
1530720032,25,25
1530724232,22,22
1530729632,16,17
1530735032,19,20
1530739832,24,23
1530743430,22,21
1530747030,23,25
1530750630,23,23
1530754831,24,21
1530760231,21,25
1530765631,27,22
1530769831,19,23
1530774631,23,23
1530777631,27,23
1530781831,26,27
1530787832,25,26
1530792632,24,24
1530798032,24,23
1530803431,23,26
1530808231,24,22
1530811830,24,25
1530815432,24,24
1530819030,23,23
1530822631,26,24
1530829831,19,23
1530833431,23,21
1530840630,24,22
1530844832,23,26
1530848431,26,23
1530853831,18,17
1530859231,21,23
1530864631,23,25
1530868230,21,22
1530873031,24,22
1530880231,25,24
1530884431,25,25
1530888031,23,25
1530891631,27,23
1530896432,22,25
1530900631,22,21
1530906031,24,24
1530909030,26,25
1530912632,24,23
1530919830,24,24
1530924030,23,25
1530927631,24,25
1530933631,19,19
1530941430,25,24
1530945634,25,25
1530949230,21,25
1530954031,24,20
1530958231,23,25
1530963632,21,21
1530969031,25,21
1530974431,20,21
1530978030,25,26
1530982831,19,20
1530986431,22,23
1530990032,25,23
1530993631,23,23
1530997232,27,25
1531005030,25,27
1531009831,25,25
1531013431,23,22
1531017631,23,26
1531023031,18,18
1531028431,18,17
1531032031,25,24
1531036832,17,20
1531040431,26,22
1531044032,24,26
1531047631,25,24
1531051232,19,22
1531058458,22,18
1531062032,25,26
1531065631,24,23
1531069232,23,26
1531076434,23,23
1531085433,20,21
1531094433,20,18
1531104033,21,20
1531114233,24,25
1531128653,19,17
1531143633,24,26
1531157433,24,23
1531168834,22,22
1531181433,22,22
1531195833,18,18
1531209634,26,25
1531222233,24,26
1531233632,25,22
1531245033,24,27
1531255833,21,20
1531266632,23,23
1531279232,22,23
1531291232,17,15
1531304433,20,20
1531315232,20,21
1531326633,19,18
1531335632,21,22
1531345233,23,23
1531356033,22,23
1531368631,22,22
1531381232,21,21
1531392032,20,21
1531403433,24,21
1531413632,22,23
1531424433,22,20
1531434032,22,24
1531443032,23,24
1531454432,24,24
1531464632,25,24
1531475432,19,18
1531486232,19,19
1531496433,20,21
1531506032,24,25
1531515633,25,23
1531524632,19,22
1531534231,19,17
1531546832,22,22
1531557632,17,21
1531567832,21,16
1531577432,16,16
1531585849,26,26
1531594907,21,24
1531604432,26,23
1531612832,24,25
1531623632,14,12
1531633831,23,26
1531642832,26,24
1531651832,19,20
1531661432,15,15
1531670432,23,24
1531679432,20,20
1531689032,17,18
1531698031,25,23
1531707632,24,23
1531717831,26,25
1531728032,20,23
1531738233,21,21
1531747231,22,21
1531756832,24,24
