DateTime,AddedIPs,RemovedIPs
1532501766,8,5
1532502246,5,6
1532502727,5,7
1532503204,8,2
1532503689,3,7
1532504164,6,6
1532504647,8,5
1532505124,5,3
1532505850,6,9
1532506325,10,9
1532506804,5,7
1532507532,6,2
1532511844,0,1
1532512325,1,0
1532526246,0,1
1532526728,1,0
1532531288,0,1
1532541128,0,1
1532541620,1,0
1532555046,0,1
1532555527,1,0
1532562245,0,1
1532562732,1,0
1532567526,6,12
1532568005,12,6
1532568487,4,4
1532568965,7,9
1532569448,8,5
1532569925,12,10
1532570414,6,6
1532570886,6,7
1532571366,6,5
1532571845,8,12
1532572330,9,5
1532572806,8,6
1532573287,4,8
1532573769,8,8
1532574249,6,6
1532574727,8,6
1532575205,5,8
1532575690,9,5
1532576168,4,7
1532576648,10,8
1532577125,7,8
1532577625,7,6
1532578088,5,5
1532578565,5,6
1532579048,5,5
1532579528,6,4
1532580005,5,6
1532580486,7,8
1532580965,9,11
1532581446,8,3
1532581927,5,7
1532582407,14,17
1532582888,10,14
1532583365,13,8
1532583846,9,8
1532584328,6,7
1532584813,10,12
1532585287,9,8
1532585771,8,3
1532586246,5,7
1532586726,9,7
1532587206,8,7
1532587690,8,2
1532588168,2,8
1532588646,8,5
1532589128,4,6
1532589608,6,6
1532590086,7,9
1532590564,7,12
1532591046,10,7
1532591525,7,7
1532592018,6,8
1532592488,11,12
1532592969,6,5
1532593445,5,2
1532593927,3,2
1532594405,1,0
1532608086,0,1
1532608565,1,0
1532612405,0,1
1532612888,1,0
1532643844,0,1
1532644328,1,0
1532653445,0,6
1532653925,7,10
1532654407,16,9
1532654889,7,8
1532655363,9,9
1532655845,12,7
1532656330,8,9
1532656814,8,9
1532657285,8,12
1532657766,11,6
1532658249,6,7
1532658724,8,13
1532659204,11,9
1532659685,9,10
1532660166,9,10
1532660648,9,8
1532661125,7,11
1532661605,7,3
1532662090,4,5
1532662568,5,5
1532663047,9,8
1532663524,8,7
1532664031,7,6
1532664486,5,4
1532664968,5,9
1532665444,7,10
1532665932,10,8
1532666405,8,8
1532666884,6,4
1532667365,7,7
1532667849,5,6
1532668324,4,4
1532668805,12,13
1532669284,8,10
1532669768,6,6
1532670251,8,4
1532670726,4,3
1532671211,13,16
1532671692,6,8
1532672165,6,7
1532672645,8,7
1532673128,5,3
1532673852,4,7
1532674327,6,5
1532674814,5,7
1532675285,5,7
1532675766,8,7
1532676244,4,9
1532676728,7,7
1532677445,9,5
1532677930,5,6
1532678416,9,10
1532678886,13,11
1532679364,6,6
1532679847,6,1
1532680326,0,2
1532680806,2,0
1532688008,0,1
1532688728,1,0
1532728564,0,1
1532729049,1,0
1532740090,6,7
1532740568,5,8
1532741047,8,6
1532741526,5,7
1532742008,8,8
1532742487,11,11
1532742966,11,8
1532743446,6,7
1532743927,8,5
1532744406,4,5
1532744886,6,10
1532745364,7,6
1532745849,12,12
1532746331,11,9
1532746813,6,5
1532747287,8,6
1532747768,6,8
1532748247,9,6
1532748727,12,9
1532749204,5,6
1532749687,8,8
1532750165,9,10
1532750649,8,3
1532751126,3,5
1532751606,7,5
1532752087,2,6
1532752566,6,5
1532753046,6,8
1532753529,9,4
1532754018,5,9
1532754487,7,5
1532754968,5,12
1532755447,13,10
1532755929,11,7
1532756405,5,4
1532756887,4,5
1532757368,14,16
1532757849,7,8
1532758325,7,5
1532758806,6,7
1532759292,10,6
1532759764,6,6
1532760245,7,7
1532760725,4,10
1532761221,10,6
1532761689,7,6
1532762170,6,5
1532762645,8,8
1532763128,5,8
1532763608,9,4
1532764088,2,5
1532764566,7,10
1532765047,8,8
1532765527,12,7
1532766008,3,7
1532766487,7,1
1532766968,1,2
1532767444,1,0
1532771765,0,1
1532773451,1,0
1532781127,0,1
1532781604,1,0
1532782567,0,1
1532783047,1,0
1532789769,0,1
1532790248,1,0
1532801288,0,1
1532801765,1,0
1532808485,0,1
1532808966,1,0
1532813765,0,1
1532815687,1,0
1532821925,0,1
1532822425,1,0
1532826493,4,8
1532826965,6,8
1532827444,11,10
1532827929,10,12
1532828406,13,13
1532828884,14,7
1532829365,7,11
1532829846,6,6
1532830328,8,5
1532830807,4,5
1532831284,6,8
1532831765,9,9
1532832247,3,10
1532832964,10,8
1532833446,6,6
1532833925,7,5
1532834404,6,7
1532834887,7,9
1532835364,12,13
1532835844,7,7
1532836324,9,5
1532836812,4,6
1532837285,8,6
1532837768,5,5
1532838244,7,6
1532838725,5,3
1532839204,5,9
1532839688,8,8
1532840164,10,8
1532840646,4,7
1532841127,7,6
1532841606,6,8
1532842087,9,7
1532842566,6,5
1532843046,4,4
1532843528,5,14
1532844009,13,4
1532844486,6,7
1532844966,5,4
1532845448,4,9
1532845927,7,8
1532846404,8,6
1532846885,7,7
1532847365,7,5
1532847851,6,5
1532848325,6,5
1532848805,5,5
