DateTime,AddedIPs,RemovedIPs
1525219685,1,0
1525222565,1,0
1525225449,0,1
1525229288,0,1
1525233130,1,0
1525237449,1,0
1525241286,0,1
1525246805,0,1
1525247290,1,0
1525248248,1,0
1525250648,0,1
1525251614,0,1
1525254249,1,0
1525257128,0,1
1525257845,1,0
1525258333,1,0
1525264327,0,1
1525265290,0,1
1525268891,1,0
1525285210,0,1
1525309686,0,1
1525310172,1,0
1525311613,0,1
1525312334,1,0
1525339211,1,0
1525342571,0,1
1525345454,1,0
1525360332,0,1
1525397054,0,1
1525397531,1,1
1525398245,2,1
1525398730,1,0
1525400171,0,1
1525403289,1,0
1525412889,1,0
1525416489,0,1
1525434966,1,0
1525438811,0,1
1525443606,1,0
1525455364,1,0
1525459694,0,1
1525461610,0,1
1525464967,1,0
1525470490,0,1
1525485133,0,1
1525486570,0,1
1525487055,0,1
1525488484,0,1
1525488967,1,0
1525489926,0,1
1525490888,1,0
1525491851,0,1
1525492327,0,1
1525492820,0,3
1525494246,0,2
1525495212,0,2
1525495688,0,1
1525496653,0,1
1525497606,0,1
1525498569,0,2
1525499052,0,2
1525499526,0,1
1525500488,0,1
1525500972,0,1
1525501931,0,3
1525502406,0,1
1525503365,0,2
1525504330,0,1
1525504805,1,1
1525505290,0,1
1525506971,0,1
1525507449,0,1
1525507925,0,1
1525511770,0,1
1525512245,1,0
1525522330,0,1
1525529772,1,0
1525544887,0,1
1525589048,0,2
1525620728,1,0
1525624808,0,1
1525628649,1,0
1525633225,0,1
1525692487,1,0
1525717207,0,1
1525733293,1,0
1525735686,0,1
1525742172,8,0
1525742645,4,0
1525743130,2,0
1525743608,5,0
1525744093,1,0
1525744565,7,0
1525745049,1,0
1525745526,3,0
1525761369,1,0
1525764727,0,1
1525780571,1,0
1525788020,0,1
1525792570,1,0
1525800733,0,1
1525828328,0,3
1525828807,0,5
1525829285,0,14
1525829768,0,5
1525830245,0,4
1525840805,1,0
1525844169,0,1
1525864085,0,1
1525866248,1,0
1525867936,1,0
1525869131,0,1
1525877045,1,0
1525889772,0,1
1525958647,1,0
1525976170,0,1
1526003764,1,0
1526010727,0,1
1526034010,1,0
1526059691,0,1
1526092568,0,1
1526093050,1,0
1526124006,1,0
1526140814,0,1
1526145132,1,0
1526148969,0,1
1526165287,1,0
1526169131,0,1
1526214259,1,0
1526220016,0,1
1526226728,1,0
1526237287,0,1
1526244490,1,0
1526252424,0,1
1526260087,2,0
1526260568,4,0
1526261046,5,0
1526261526,3,0
1526262007,4,0
1526262488,4,0
1526262966,3,0
1526263445,4,0
1526263929,1,0
1526303286,2,0
