DateTime,AddedIPs,RemovedIPs
1532716923,38,0
1532718123,44,0
1532719323,37,18
1532719923,37,0
1532720522,38,3
1532721723,69,0
1532722923,15,0
1532723523,30,10
1532724123,19,21
1532724724,50,0
1532725322,26,3
1532726523,37,1
1532727723,8,6
1532728924,15,0
1532729523,76,3
1532730124,46,0
1532731324,29,22
1532731923,35,0
1532732525,35,0
1532733123,38,0
1532733723,41,2
1532734323,79,5
1532734923,38,0
1532735523,78,0
1532736123,23,8
1532736722,30,0
1532737324,42,1
1532737924,80,0
1532738523,79,11
1532739724,77,0
1532740325,79,0
1532740929,80,0
1532742123,80,0
1532742722,49,0
1532743323,80,12
1532743923,79,5
1532744523,80,33
1532745723,33,1
1532746323,23,0
1532746923,78,2
1532747522,77,3
1532748123,71,0
1532749323,74,0
1532750522,72,7
1532751123,73,0
1532751723,36,0
1532752923,20,1
1532754123,43,5
1532754723,80,0
1532755324,78,1
1532755923,50,0
1532756522,25,0
1532757122,21,0
1532757723,30,0
1532758923,14,0
1532759522,76,34
1532760123,61,8
1532760723,80,0
1532761323,80,1
1532761922,80,0
1532762523,76,0
1532763723,77,0
1532764923,28,23
1532766122,47,0
1532766724,20,5
1532767323,35,2
1532768523,77,1
1532769723,47,0
1532770922,38,32
1532773323,66,5
1532774523,70,9
1532775123,72,3
1532775723,34,6
1532776923,30,0
1532777523,9,6
1532778123,48,0
1532778724,48,27
1532779323,50,0
1532780522,53,5
1532781722,46,2
1532782323,43,1
1532782922,61,0
1532784123,76,1
1532785322,77,1
1532785923,80,3
1532786523,18,5
1532787123,80,0
1532787723,73,3
1532788323,41,1
1532788923,26,0
1532789524,61,0
1532790123,40,0
1532791323,62,3
1532791923,54,4
1532792523,47,1
1532793123,52,1
1532793723,49,3
1532794323,51,0
1532794923,53,0
1532795523,55,2
1532796123,42,0
1532796722,18,0
1532797322,16,0
1532798523,75,14
1532799723,15,3
1532800923,78,0
1532801523,38,0
1532802122,40,2
1532803323,56,0
1532804523,46,4
1532805723,66,0
1532806323,8,1
1532806923,30,0
1532807523,10,1
1532808122,27,0
1532808723,61,0
1532809324,16,0
1532809923,57,1
1532810523,48,5
1532811122,44,3
1532811723,46,1
1532812922,48,0
1532814123,48,3
1532815325,78,14
