DateTime,AddedIPs,RemovedIPs
1532706123,1,3
1532707322,5,8
1532708523,1,16
1532709722,3,3
1532710323,2,0
1532710923,7,7
1532711523,2,0
1532712123,6,0
1532712722,4,1
1532713323,7,5
1532714523,4,3
1532715722,5,17
1532716322,2,0
1532716922,1,6
1532718123,12,0
1532719322,10,8
1532720522,14,0
1532721723,7,5
1532722323,1,1
1532722923,8,4
1532723522,8,0
1532724122,7,4
1532725322,2,0
1532725923,2,7
1532726523,0,3
1532727723,3,9
1532728923,16,5
1532730123,8,0
1532731922,4,11
1532732524,2,0
1532733722,12,11
1532734322,10,0
1532734923,5,0
1532735522,3,4
1532736123,2,3
1532736722,2,0
1532737323,6,0
1532737924,2,4
1532738523,3,8
1532739724,7,4
1532740324,10,0
1532740928,5,2
1532742123,7,1
1532742722,1,3
1532743322,7,5
1532744522,4,3
1532745723,4,15
1532746322,1,0
1532746922,2,1
1532747522,8,0
1532748122,2,0
1532748723,4,0
1532749322,7,6
1532749923,4,4
1532750522,1,11
1532751123,2,0
1532751722,0,12
1532752322,5,0
1532752922,6,6
1532753522,1,13
1532754123,8,0
1532754723,7,14
1532755324,0,4
1532756522,2,1
1532757122,2,5
1532757722,4,0
1532758923,3,6
1532760122,2,3
1532761322,7,10
1532761922,1,0
1532762522,2,6
1532763122,1,0
1532763722,1,0
1532764322,4,10
1532764922,2,4
1532766122,7,0
1532766724,6,4
1532767322,14,4
1532768522,5,14
1532769722,5,8
1532770922,6,6
1532771522,5,0
1532773323,7,8
1532774522,6,0
1532775122,6,2
1532775722,6,4
1532777522,0,7
1532778122,2,0
1532778723,4,6
1532779323,2,3
1532779922,3,0
1532780522,3,3
1532781722,1,4
1532782922,2,5
1532784122,2,3
1532784722,3,3
1532785322,4,0
1532786522,1,6
1532787723,1,0
1532788923,8,15
1532789523,3,0
1532790122,3,3
1532790723,4,0
1532791323,3,0
1532792522,3,4
1532793122,1,2
1532793722,4,0
1532794923,13,5
1532795522,2,4
1532796122,0,5
1532796722,7,5
1532798523,2,8
1532799723,4,11
1532800323,4,4
1532800923,6,0
1532802122,2,4
1532802722,0,1
1532803323,4,2
1532804523,6,8
1532805722,0,10
1532806323,6,11
1532806923,2,0
1532807522,2,3
1532808122,4,3
1532808722,1,0
1532809323,0,6
1532811723,3,10
1532812922,5,12
1532813523,6,0
1532814122,3,0
1532815325,6,5
1532815923,2,4
1532816522,1,0
1532817123,1,8
1532817722,5,0
1532818322,2,3
1532818923,2,1
1532819523,7,6
1532820122,1,6
1532820722,5,9
1532821322,4,4
1532821922,3,0
1532822523,3,2
1532823123,2,5
1532823722,0,15
1532824322,1,0
1532826122,3,13
1532827323,2,5
1532827923,0,5
1532828522,2,4
1532829722,3,6
1532830322,5,0
1532830923,3,0
1532832122,2,8
1532832722,2,2
1532833322,1,0
1532834523,3,10
1532835723,4,3
1532836923,0,11
1532838123,10,10
1532838723,1,0
1532839323,5,5
1532840523,10,2
1532841722,4,7
1532842323,11,7
1532842922,1,9
1532844123,5,14
1532844722,2,9
1532845323,9,7
1532846523,4,0
1532847123,1,2
1532847723,4,1
1532848924,3,4
1532850124,5,4
1532850723,3,3
1532851324,6,8
1532851924,2,0
1532852523,3,8
1532853124,1,0
1532853723,0,13
1532854923,5,8
1532856123,3,11
1532856723,2,3
1532857324,11,3
1532858524,1,9
1532859123,2,3
1532859723,2,0
1532860922,3,7
1532861523,1,9
1532862122,2,5
1532863323,4,11
1532863923,6,0
1532864523,1,1
1532865724,3,13
1532866324,0,7
1532866923,4,5
1532868123,3,0
1532868723,1,2
1532869323,1,4
1532869925,3,6
1532871723,2,3
1532872925,2,7
1532873523,1,0
1532874123,2,6
1532875323,4,0
1532875924,3,13
1532877124,2,6
1532877723,1,3
1532878323,2,0
1532878922,0,4
1532880122,2,5
1532881323,6,2
1532882523,5,6
1532883724,12,5
1532884323,5,4
1532884923,8,5
1532886123,7,0
1532886723,0,4
1532887324,2,4
1532887923,6,0
1532888523,3,0
1532889723,3,4
1532890924,15,10
1532891523,5,7
1532892123,2,0
1532892723,4,0
1532893323,6,1
1532893923,2,10
1532894524,2,6
1532895724,8,10
1532896323,4,0
1532896923,4,0
1532897523,4,10
1532898124,3,0
1532898724,2,4
1532899323,3,0
1532899923,4,13
1532900524,2,8
1532901123,2,4
1532901723,0,11
1532902923,6,4
1532904123,2,0
1532904723,3,12
1532905323,2,0
1532905924,5,5
1532906523,6,8
1532907124,1,5
1532907723,3,10
1532908924,1,4
1532910123,2,22
1532910723,2,0
1532911323,4,0
1532911922,1,4
1532912523,2,2
1532913123,5,19
1532913723,2,2
1532914323,3,5
1532915522,1,9
1532916123,2,4
1532916723,5,0
1532917322,4,10
1532917923,2,0
1532918523,3,0
1532919723,1,3
1532920923,2,2
1532922123,5,11
1532922723,0,6
1532923322,4,5
1532923923,6,12
1532924523,2,0
1532925723,5,9
1532926323,1,0
1532926922,0,15
1532928123,9,13
1532928724,5,3
1532929323,1,0
1532930523,5,15
1532931724,8,10
1532932323,3,9
1532932924,8,3
1532933523,9,5
1532934123,11,10
1532935322,5,0
1532935923,1,4
1532936523,7,0
1532937123,1,3
1532937724,3,0
1532938923,2,9
1532940123,2,10
1532941322,0,12
1532942522,4,0
1532943723,4,16
1532944922,3,0
1532945523,3,0
1532946123,5,0
1532946722,2,4
1532947323,1,11
1532947923,2,0
1532948523,3,0
1532949123,1,11
1532949723,5,0
1532950922,4,13
1532952123,4,10
1532952723,2,0
1532953323,4,7
1532954522,2,5
1532955722,1,15
1532956923,9,0
1532957522,2,4
1532958123,1,13
1532959322,2,8
1532960523,2,8
1532961723,2,0
1532962323,1,11
1532962922,1,6
1532964122,5,0
1532964724,1,3
1532965323,4,5
1532966522,4,7
1532967123,4,0
1532967723,2,1
1532968323,1,0
1532968923,1,6
1532970122,7,3
1532971322,8,9
1532972523,7,9
1532973723,6,18
1532974323,1,0
1532974923,4,13
1532976122,1,9
1532976723,2,3
1532977323,5,4
1532978522,2,5
1532979722,1,11
1532980323,3,0
1532980922,0,3
1532981522,3,0
1532982722,4,9
1532983922,2,0
1532985723,0,11
1532986323,3,8
1532986923,4,12
1532987522,3,0
1532988123,1,0
1532988723,0,7
1532989322,1,0
1532990523,4,5
1532991123,1,6
1532991722,0,4
1532992923,3,12
1532993523,4,0
1532994123,3,15
1532994723,0,3
1532995323,3,0
1532996523,3,7
1532997124,2,9
1532997723,0,6
1532998323,3,9
1532998923,1,0
1532999523,7,4
1533000123,6,5
1533000723,2,6
1533001323,1,4
1533002523,5,6
1533003123,6,0
1533003723,1,0
1533004923,3,22
1533005522,8,0
1533006123,3,0
1533007323,4,18
1533008523,15,17
1533009723,0,2
1533010323,2,0
1533010923,2,9
1533011522,3,0
1533012122,4,3
1533013322,3,4
1533014523,3,8
1533015122,6,9
1533015723,2,6
1533016922,4,5
1533018122,3,0
1533019322,2,16
1533019923,1,10
1533020522,2,0
1533021724,0,11
1533022922,4,0
1533023522,1,7
1533024123,3,2
1533025323,10,17
1533025923,3,0
1533026523,4,0
1533027723,9,7
1533028922,5,3
1533029523,0,7
1533030122,2,0
1533031322,4,25
1533031924,3,0
1533032523,2,9
