DateTime,AddedIPs,RemovedIPs
1532721723,68,68
1532722323,45,45
1532722923,80,80
1532723522,67,67
1532724122,89,89
1532725322,78,78
1532725923,69,69
1532726523,43,43
1532727723,94,94
1532728923,91,91
1532730123,88,88
1532731922,89,89
1532732524,7,7
1532733722,90,90
1532734322,71,71
1532734923,68,68
1532735522,79,79
1532736123,83,83
1532736722,50,50
1532737323,74,74
1532737924,87,87
1532738523,87,87
1532739724,100,100
1532740324,54,54
1532740928,86,86
1532742123,95,95
1532742722,46,46
1532743322,79,80
1532744522,93,92
1532745723,100,100
1532746322,71,71
1532746922,30,30
1532747522,82,82
1532748122,30,30
1532748723,67,67
1532749322,58,58
1532749923,46,46
1532750522,74,74
1532751123,69,69
1532751722,46,46
1532752322,78,79
1532752922,74,73
1532753522,76,76
1532754123,90,90
1532754723,92,92
1532755324,26,26
1532756522,95,95
1532757122,82,82
1532757722,87,87
1532758923,100,100
1532760122,100,100
1532761322,96,96
1532761922,54,54
1532762522,70,70
1532763122,31,31
1532763722,50,50
1532764322,55,55
1532764922,29,29
1532766122,95,95
1532766724,41,41
1532767322,89,89
1532768522,100,100
1532769722,100,100
1532770922,86,86
1532771522,71,71
1532773323,96,96
1532774522,94,94
1532775122,75,75
1532775722,54,54
1532776923,54,54
1532777522,37,37
1532778122,35,35
1532778723,91,91
1532779323,86,86
1532779922,92,92
1532780522,84,84
1532781722,99,99
1532782922,97,97
1532784122,80,80
1532784722,81,81
1532785322,73,73
1532786522,100,100
1532787723,74,74
1532788923,81,81
1532789523,90,90
1532790122,82,83
1532790723,86,85
1532791323,83,83
1532792522,100,100
1532793122,23,23
1532793722,87,87
1532794923,93,94
1532795522,55,55
1532796122,59,58
1532796722,82,82
1532797322,49,49
1532798523,79,79
1532799723,100,100
1532800323,80,80
1532800923,88,88
1532802122,99,99
1532802722,56,56
1532803323,71,71
1532804523,100,100
1532805722,95,95
1532806323,89,89
1532806923,91,91
1532807522,62,62
1532808122,82,82
1532808722,86,86
1532809323,19,19
1532809923,84,85
1532810523,30,29
1532811723,72,72
1532812922,90,90
1532813523,84,84
1532814122,90,90
1532815325,97,97
1532815923,62,62
1532816522,59,59
1532817123,90,90
1532817722,92,93
1532818322,85,84
1532818923,78,78
1532819523,93,94
1532820122,78,77
1532820722,85,85
1532821322,81,82
1532821922,78,77
1532822523,79,79
1532823123,42,42
1532823722,68,68
1532824322,26,26
1532826122,100,100
1532826723,46,46
1532827323,74,74
1532827923,30,30
1532828522,33,33
1532829722,87,87
1532830322,47,47
1532830923,91,91
1532832122,100,100
1532832722,77,77
1532833322,89,89
1532834523,90,90
1532835723,91,91
1532836923,78,79
1532838123,99,98
1532838723,24,24
1532839323,68,68
