DateTime,AddedIPs,RemovedIPs
1531318502,222,0
1531322101,189,0
1531325702,161,1
1531329302,150,0
1531332902,159,0
1531336502,129,0
1531340102,124,0
1531343702,99,0
1531347302,140,0
1531350901,81,0
1531354502,108,3453
1531358102,100,2
1531361702,116,1
1531365302,95,0
1531368902,117,0
1531372502,126,0
1531376102,139,0
1531379702,150,0
1531383301,169,0
1531386902,169,0
1531390502,173,0
1531394102,169,0
1531397702,163,0
1531401302,222,0
1531404902,119,0
1531408501,141,0
1531412103,134,0
1531415702,115,0
1531419302,100,0
1531422902,105,0
1531426502,125,0
1531430102,120,0
1531434602,172,0
1531438202,119,0
1531441802,134,4313
1531445401,123,0
1531449002,107,0
1531452601,118,0
1531456202,131,0
1531459801,112,0
1531463402,143,0
1531467002,155,0
1531470601,271,0
1531474201,134,0
1531477802,153,0
1531481402,168,0
1531485002,135,0
1531488602,190,0
1531492202,143,0
1531495802,122,0
1531499402,125,0
1531503002,120,0
1531506602,115,0
1531510201,110,0
1531513801,114,0
1531517402,92,0
1531521002,324,0
1531524602,432,0
1531528202,277,3371
1531531802,219,0
1531535402,148,0
1531539002,119,0
1531542601,121,0
1531546201,141,0
1531549802,118,0
1531553402,145,0
1531557001,225,0
1531560602,170,0
1531564202,142,0
1531567802,123,0
1531571402,144,0
1531575002,108,1
1531578602,105,0
1531582202,103,0
1531585802,171,0
1531589402,97,0
1531593002,96,0
1531596601,104,0
1531600202,104,0
1531603802,110,0
1531607402,104,0
1531611001,75,0
1531614602,79,3845
1531618201,112,0
1531621802,118,0
1531625402,101,0
1531629001,86,0
1531632602,99,0
1531636201,114,0
1531639802,101,0
1531643402,122,0
1531647002,124,0
1531650602,162,0
1531654202,100,0
1531657801,96,0
1531661402,125,0
1531665002,121,0
1531668602,154,0
1531672202,149,0
1531675802,147,0
1531679402,128,0
1531683002,101,0
1531686601,84,0
1531690202,180,0
1531693801,82,0
1531697402,97,0
1531701002,88,3058
1531704601,123,0
1531708201,121,0
1531711802,124,0
1531715402,167,0
1531719001,252,0
1531722601,204,0
1531726202,258,0
1531729802,174,0
1531733402,156,0
1531737002,290,0
1531740602,195,0
1531744202,145,0
1531747802,155,0
1531751402,230,0
1531755002,214,0
1531758602,164,0
1531762202,176,0
1531765802,205,0
1531769402,134,0
1531773002,114,0
1531776602,133,0
1531780202,138,0
1531783802,118,0
1531787402,133,2728
1531791002,164,0
1531794601,118,0
1531798202,127,0
1531801802,97,0
1531805402,118,0
1531809002,170,0
1531812602,237,0
1531816202,186,0
1531819801,201,0
1531823401,191,0
1531827001,168,0
1531830602,176,0
1531834202,132,0
1531837802,128,0
1531841402,175,0
1531845002,250,0
1531848602,279,0
1531852202,157,0
1531855802,194,0
1531859402,168,0
1531863002,383,0
1531866602,276,0
1531870202,236,0
1531873802,235,3923
1531877402,259,0
1531881002,266,0
1531884602,239,0
1531888202,211,0
1531891802,251,0
1531895402,293,0
1531899002,298,0
1531902602,188,0
1531906202,360,0
1531909802,311,0
1531913402,289,0
1531917002,150,0
1531920602,120,1
1531924202,147,0
1531927801,141,0
1531931402,139,0
1531935002,137,0
1531938602,168,0
1531942202,145,0
1531945802,113,0
1531949402,207,0
1531953002,289,0
1531956602,216,0
1531960202,218,4107
1531963802,231,0
1531967402,216,0
1531971001,200,0
1531974602,192,0
1531978202,202,0
1531981802,235,0
1531985402,223,0
1531989002,269,0
1531992602,338,0
1531996202,274,0
1531999802,366,0
1532003402,292,0
1532007002,297,0
1532010602,257,0
1532014202,222,0
1532017802,126,0
1532021401,109,0
1532025002,135,0
1532028602,116,0
1532032202,159,0
1532035802,198,0
1532039402,258,0
1532043002,223,0
1532046602,231,4669
1532050201,232,0
1532053802,226,0
1532057402,219,0
1532061002,159,0
1532064602,211,0
1532068202,238,0
1532071801,153,0
1532075402,160,0
1532079002,152,0
1532082602,132,0
1532086202,162,1
1532089802,190,0
1532093402,130,0
1532097002,136,0
1532100602,129,0
1532104202,115,1
1532107801,220,0
1532111402,131,0
1532115002,198,0
1532118602,178,0
1532122202,185,0
1532125802,207,0
1532129402,328,0
1532133002,290,5509
1532136601,346,0
1532140202,224,0
1532143802,187,0
1532147402,164,0
1532151002,186,0
1532154602,189,0
1532158201,183,0
1532161802,182,0
1532165401,205,0
1532169002,185,0
1532172602,212,0
1532176201,216,0
1532179802,190,0
1532183402,199,0
1532187002,107,0
1532190602,125,0
1532194202,96,0
1532197802,101,0
1532201402,98,0
1532205002,108,0
1532208602,108,0
1532212202,78,0
1532215802,58,0
1532219402,187,5053
1532223002,88,0
1532226602,91,0
1532230202,103,0
1532233801,85,0
1532237402,94,0
1532241002,102,4
1532244602,180,0
1532248202,145,0
1532251802,146,0
1532255402,122,0
1532259002,105,0
1532262602,171,0
1532266202,140,0
1532269802,127,0
1532273402,102,0
1532277001,117,0
1532280602,87,0
1532284202,73,0
1532287802,112,0
1532291402,73,0
1532295002,100,0
1532298602,114,0
1532302202,95,0
1532305802,82,4480
1532309401,118,0
1532313002,150,0
1532316602,132,0
1532320202,114,0
1532323802,156,0
1532327402,125,0
1532331002,154,0
1532334601,185,0
1532338202,174,0
1532341802,151,0
1532345402,405,0
1532349001,163,0
1532352602,179,0
1532356202,205,0
1532359801,154,0
1532363402,183,0
1532367001,138,0
1532370602,152,0
1532374203,248,0
1532377801,223,0
1532381402,193,0
1532385002,139,0
1532388602,143,0
1532392201,174,2691
1532395802,168,0
1532399401,127,0
1532403002,145,0
1532406602,101,0
1532410202,131,0
1532413801,162,0
1532417402,168,0
1532421002,183,0
1532424602,212,0
1532428202,179,1
1532431801,163,2
1532435402,214,0
1532439002,175,0
1532442602,127,0
1532446201,124,0
1532449802,151,0
1532453402,150,0
1532457002,129,0
1532460602,102,0
1532464202,98,0
1532467802,97,0
1532471402,110,0
1532475002,96,0
1532478601,80,4018
1532482202,91,0
1532485802,106,0
1532489402,108,0
1532493002,96,0
1532496602,144,0
1532500202,163,0
1532503801,154,0
1532507401,147,0
1532511002,165,0
1532514602,141,0
1532518201,168,0
1532521802,156,0
1532525402,153,0
1532529001,126,0
1532532602,142,0
1532536201,102,0
1532539802,147,0
1532543402,191,0
1532547002,140,0
1532550601,185,0
1532554202,178,0
1532557802,159,0
1532561402,94,0
1532565002,216,3472
1532568602,246,0
1532572202,208,0
1532575802,281,0
1532579402,100,0
1532583002,168,0
1532586601,154,0
1532590202,160,0
1532593802,165,0
1532597402,155,0
1532601002,192,0
1532604602,174,0
1532608202,137,0
1532611802,170,0
1532615402,143,0
1532619002,162,0
1532622602,161,0
1532626201,123,0
1532629802,119,0
1532633402,120,0
1532637002,126,0
1532640602,106,0
1532644202,127,0
1532647801,181,0
1532651401,125,3344
1532655002,79,0
1532658602,111,0
1532662202,94,0
1532665802,215,0
1532669402,196,0
1532673002,118,0
1532676602,158,0
1532680201,194,0
1532683802,160,0
1532687402,155,0
1532691001,127,0
1532694602,157,0
1532698202,232,0
1532701802,544,0
1532705402,333,0
1532709002,237,0
1532712602,165,0
1532716201,193,0
1532719802,148,0
1532723402,119,0
1532727002,131,0
1532731502,171,0
1532735102,108,0
1532738701,142,3944
1532742302,126,0
1532745902,138,0
1532749502,141,0
1532753102,138,0
1532756702,146,0
1532760302,140,0
1532763901,163,0
1532767502,161,0
1532771101,197,0
1532774701,234,0
1532778302,168,0
1532781901,183,0
1532785502,259,0
1532789102,105,0
1532792702,108,0
1532796302,129,0
1532799902,109,0
1532803502,75,0
1532807102,90,0
1532810702,101,0
1532814302,114,0
1532817902,102,0
1532821502,96,0
1532826002,167,4175
1532829602,125,0
1532833203,109,0
1532836802,90,0
1532840402,103,0
1532844003,81,0
1532847602,120,0
1532851201,132,0
1532854802,146,0
1532858402,162,0
1532862002,175,0
1532865602,118,0
1532869202,129,0
1532872802,129,0
1532876402,136,0
1532880002,121,0
1532883602,106,0
1532887203,102,0
1532890802,128,0
1532894402,114,0
1532898002,129,0
1532901602,120,0
1532905202,123,0
1532908802,108,3455
1532912402,132,0
1532916002,165,0
1532919602,156,0
1532923202,170,0
1532926803,202,0
1532930402,148,0
1532934002,171,0
1532937602,245,0
1532941202,191,0
1532944802,195,0
1532948402,201,0
1532952002,223,0
1532955603,211,0
1532959202,176,0
1532962803,167,0
1532966402,184,0
1532970003,215,0
1532973602,253,0
1532977202,119,0
1532980802,111,0
1532984402,119,0
1532988002,123,0
1532991602,135,0
1532995202,89,2979
1532998802,133,0
1533002402,162,0
1533006002,139,0
1533009602,156,0
1533013202,162,0
1533016803,198,0
1533020402,204,0
1533024002,189,0
1533027602,197,0
1533031202,330,0
1533034802,298,0
1533038402,248,0
1533042002,252,0
1533045602,233,0
1533049202,264,0
1533052803,208,0
1533056403,187,0
1533060002,147,0
1533063601,175,0
1533067202,207,0
1533070802,144,0
1533074402,252,0
1533078002,146,0
1533081603,154,3948
1533085202,206,0
1533088802,159,0
1533092402,239,0
1533096002,165,0
1533099602,215,0
1533103202,253,0
1533106802,261,0
1533110402,287,0
1533114003,220,0
1533117602,393,0
