DateTime,AddedIPs,RemovedIPs
1530841836,1,0
1530843641,2,9
1530850839,7,1
1530858040,4,1
1530865250,8,2
1530872442,3,2
1530876048,0,1
1530879790,5,1
1530884144,28,2
1530886846,4,17
1530888637,1,0
1530894037,7,4
1530901252,1,0
1530908433,6,1
1530911140,0,1
1530915644,3,1
1530917434,0,1
1530922841,2,4
1530930036,5,9
1530937241,5,4
1530939048,1,0
1530940835,1,0
1530944446,0,4
1530951638,1,6
1530954339,1,0
1530958840,4,3
1530959744,1,0
1530966032,0,4
1530968746,19,0
1530970543,0,24
1530973239,1,3
1530980443,5,2
1530984944,1,0
1530987639,4,4
1530994851,7,7
1530996642,2,0
1531002046,2,1
1531009240,3,1
1531011036,1,0
1531015540,1,0
1531016438,2,10
1531019143,1,0
1531023650,6,5
1531028149,0,1
1531029043,1,0
1531030856,5,4
1531038055,5,3
1531040752,1,0
1531041643,1,0
1531045251,8,0
1531051671,1,8
1531052586,8,5
1531056048,5,0
1531056951,0,2
1531059652,4,5
1531066851,4,2
1531074047,6,8
1531081252,3,1
1531088448,1,1
1531091149,1,0
1531095656,3,4
1531102836,2,4
1531110040,9,1
1531117240,5,7
1531122646,1,0
1531124446,4,8
1531131648,4,3
1531138850,14,3
1531142439,0,10
1531146046,3,3
1531153237,2,8
1531161342,7,4
1531167643,6,1
1531174865,2,3
1531182054,0,3
1531189248,1,5
1531196446,7,4
1531200042,0,1
1531202742,0,1
1531203642,2,3
1531209049,0,1
1531210851,2,4
1531218043,3,6
1531221643,1,0
1531225397,3,14
1531228956,0,1
1531229747,9,0
1531232446,8,3
1531239647,2,3
1531246850,3,2
1531254053,5,3
1531258549,1,0
1531261244,3,3
1531266643,1,0
1531268449,2,1
1531275650,3,6
1531282845,7,7
1531285560,1,0
1531290043,5,2
1531297248,4,5
1531304430,3,4
1531310756,9,2
1531311645,2,3
1531315242,0,6
1531318848,9,4
1531326062,3,2
1531333247,8,3
1531337750,1,0
1531338650,1,0
1531339540,1,0
1531340441,6,5
1531346749,0,1
1531347664,2,1
1531351251,0,1
1531354857,14,4
1531361149,0,1
1531362042,4,8
1531363844,1,0
1531369252,6,1
1531372848,0,1
1531373750,1,0
1531376451,3,2
1531379149,0,1
1531380046,1,0
1531383646,3,2
1531390848,4,4
1531391741,1,0
1531398167,3,14
1531402555,7,1
1531405242,1,4
1531406145,1,0
1531409740,0,1
1531412465,1,3
1531419650,6,4
1531426852,4,2
1531434052,1,2
1531441249,3,1
1531443047,1,0
1531448451,1,9
1531455648,10,4
1531462861,3,5
1531470047,4,3
1531477249,4,4
1531479050,1,0
1531481750,5,0
1531484451,5,1
1531488948,0,30
1531491646,4,4
1531497946,1,0
1531498836,5,3
1531503341,0,1
1531505146,1,0
1531506036,5,6
1531513244,3,3
1531520437,0,1
1531527647,1,5
1531534837,3,9
1531542043,9,3
1531549238,2,1
1531552839,0,1
1531556446,4,4
1531563636,3,4
1531570833,3,0
1531572641,1,0
1531573537,0,9
1531578029,3,1
1531580739,1,0
1531585234,7,5
1531592434,19,2
1531593335,1,0
1531599642,2,3
1531606846,1,5
1531614167,3,1
1531616936,3,1
1531618689,3147,0
1531619662,3495,1
1531620414,808,0
1531621316,2,10
1531628518,10,3
1531635711,3,2
1531642930,2,4
1531650115,2,3
1531657330,2,5
1531660917,0,4
1531664506,2,6
1531671723,1,0
1531672616,1,0
1531678919,9,3
1531686111,3,5
1531693314,5,2
1531700519,1,3
1531705919,1,0
1531706813,1,0
1531707710,4,6
1531710418,0,1
1531714916,7,2
1531717624,1,0
1531722108,4,4
1531729500,0,3
1531732918,2,0
1531736512,4,2
1531743713,0,16
1531769816,14,11
1531772506,4,3
1531774305,1,0
1531777180,0,591
1531777904,38,6871
1531778784,34,38
1531779640,32,38
1531785942,0,1
1531786841,5,4
1531789536,2,1
1531794050,2,7
1531796769,0,1
1531801246,8,1
1531808444,1,3
1531815657,2,2
1531822855,5,2
1531830053,2,6
1531834558,0,9
1531837262,4,4
1531844451,4,5
1531845353,1,0
1531848051,1,0
1531851657,4,3
1531858858,1,4
1531866046,4,5
1531873253,3,1
1531875947,1,0
1531877740,1,0
1531880450,4,8
1531887641,4,5
1531894840,7,2
1531902190,2,5
1531904869,1,0
1531905655,1,0
1531907439,1,0
1531909239,7,2
1531915543,0,8
1531916446,3,7
1531920952,0,2
1531923650,3,1
1531926342,1,0
1531930849,3,2
1531938043,5,3
1531945254,3,4
1531952439,3,3
1531959647,4,2
1531962353,1,0
1531964148,1,0
1531966848,1,8
1531974041,10,1
1531974945,0,1
1531981240,1,4
1531987537,2,0
1531988445,4,5
1531995631,4,0
1532001936,0,1
1532002833,3,7
1532007333,1,6
1532010043,6,2
1532014544,0,1
1532017239,4,5
1532024438,5,3
1532030733,1,0
1532031636,3,4
1532032540,0,1
1532038842,8,3
1532046038,2,3
1532047838,0,1
1532053238,3,6
1532058639,1,0
1532060436,6,4
1532067635,5,2
1532073101,1,1
1532074971,4,5
1532082043,4,4
1532086549,0,5
1532089236,1,4
1532093736,0,3
1532096443,3,4
1532103650,4,7
1532110851,5,4
1532116244,1,0
1532118046,1,3
1532121641,0,1
1532125253,1,4
1532132448,2,5
1532133338,0,1
1532139647,3,8
1532146851,6,4
1532154040,1,6
1532161254,1,3
1532168449,6,1
1532175637,2,4
1532182846,0,5
1532190040,0,2
1532195445,2,0
1532197240,4,0
1532201750,2,0
1532204432,1,4
1532206245,1,0
1532211646,3,1
1532218844,5,2
1532225147,3,0
1532226058,3,7
1532233259,5,3
1532236849,1,0
1532240441,2,3
1532244049,0,2
1532247768,3,6
1532254848,3,6
1532262056,4,0
1532268364,0,1
1532269243,2,6
1532272838,1,0
1532276441,5,4
1532277339,1,0
1532282747,1,0
1532283651,2,4
1532288151,1,0
1532290840,3,3
1532291739,0,1
1532298041,3,2
1532298946,0,1
1532303445,1,0
1532305248,2,4
1532307041,1,1
1532312454,2,4
1532319657,7,2
1532326846,3,2
1532327754,1,0
1532333152,0,1
1532334052,3,6
1532341237,4,4
1532348466,0,5
1532352949,1,0
1532355652,3,1
1532362843,4,2
1532368250,0,1
1532370050,5,3
1532376349,0,1
1532377242,4,4
1532384447,3,3
1532388046,0,1
1532390741,0,1
1532391650,1,4
1532392544,0,1
1532398852,2,8
1532406045,9,2
1532413240,1,8
1532416850,0,1
1532420573,2,6
1532427644,3,0
1532434851,4,1
1532439346,0,4
1532442058,5,1
1532449241,2,4
1532452853,1,0
1532456462,3,4
1532458244,1,0
1532463657,3,1
1532466343,0,1
1532470842,3,2
1532472653,1,0
1532478043,3,2
1532485245,3,8
1532492450,3,3
1532499648,4,6
1532501437,1,0
1532505951,1,0
1532506853,5,3
1532514046,2,4
1532520343,0,1
1532521240,3,1
1532523044,1,0
1532523938,1,0
1532528451,2,4
1532535641,3,2
1532539243,2,0
1532542841,5,5
1532550055,4,2
1532557241,2,2
1532564445,2,4
1532571642,6,6
1532578847,6,4
1532580645,1,0
1532586039,2,6
1532593372,4,4
1532596835,1,0
1532597741,0,1
1532600442,1,6
1532603141,1,0
1532607633,4,4
1532612138,0,1
1532614850,7,5
1532622032,2,2
1532629237,6,3
1532633739,2,0
1532636444,6,3
1532638248,1,0
1532640951,0,1
1532643644,1,3
1532650842,1,4
1532658050,4,15
1532665243,6,5
1532672430,4,5
1532676945,0,1
1532678751,1,0
1532679658,5,3
1532686843,3,3
1532689542,1,0
1532694046,5,1
1532701244,4,2
1532702146,1,2
1532708446,3,7
1532715648,3,3
1532722837,4,5
1532730039,4,2
1532737245,1,4
1532741757,1,0
1532742651,1,0
1532744449,1,11
1532751635,3,4
1532758854,2,4
1532766172,3,2
1532773257,5,4
1532780456,2,5
1532784953,0,2
1532787650,3,1
1532794854,3,5
1532801154,1,0
1532802047,2,4
1532803842,1,0
1532805647,1,0
1532809256,3,5
1532816447,3,1
1532823644,2,5
1532830855,1,8
1532838050,5,5
1532838951,1,0
1532839846,1,0
1532841645,0,1
1532845240,4,2
1532852458,2,4
1532859644,6,6
1532866860,1,1
1532868645,1,0
1532874047,3,4
1532878545,1,0
1532879449,1,0
1532880343,0,1
1532881240,3,5
1532888445,2,7
1532895643,6,1
1532897445,2,0
1532902838,1,2
1532904642,0,1
1532906449,0,1
1532908254,1,0
1532909151,1,0
1532910049,1,4
1532917246,4,4
1532924443,7,5
1532928037,1,0
1532931646,2,3
1532938973,2,4
1532942442,1,0
1532946049,2,2
1532953248,3,3
1532954156,1,0
1532960445,5,2
1532967651,1,3
1532974848,5,2
1532981148,1,0
1532982948,2,2
1532989246,2,1
1532996458,5,2
1533003653,2,3
1533008149,1,0
1533010843,4,4
1533018046,6,6
1533024351,1,0
1533025249,7,3
1533032446,2,4
1533034241,1,0
1533038745,0,4
1533039664,3,2
1533046842,4,7
1533054048,1,4
1533061252,3,3
1533066646,0,1
1533068451,3,1
1533075651,1,3
1533082845,4,3
1533090050,12,5
1533097247,3,10
1533104459,5,3
1533111776,4,4
1533118844,12,1
