DateTime,AddedIPs,RemovedIPs
1531087405,0,1
1531091003,3,0
1531094605,1,3
1531101804,1,1
1531105404,3,3
1531108946,5,2
1531112605,2,4
1531116204,2,0
1531119804,2,1
1531123404,1,0
1531126945,2,4
1531130605,2,0
1531134145,1,5
1531137805,2,1
1531145005,1,1
1531148604,1,0
1531152151,1,2
1531155745,1,2
1531159405,5,0
1531163004,3,0
1531166606,1,2
1531170146,1,0
1531173804,1,1
1531177344,0,2
1531180946,0,1
1531184725,1,1
1531191745,2,6
1531195346,4,0
1531199006,1,3
1531202605,1,3
1531209805,1,4
1531216945,2,2
1531224146,2,4
1531227806,2,0
1531231346,4,0
1531234950,1,3
1531238607,1,0
1531242206,3,3
1531249406,2,2
1531252946,3,0
1531256545,0,4
1531260146,1,0
1531267406,1,1
1531271006,0,6
1531274545,3,2
1531278146,3,0
1531281806,4,4
1531285406,2,0
1531289006,1,0
1531292606,2,2
1531296206,2,0
1531299806,1,2
1531303346,1,0
1531306946,0,5
1531310546,2,0
1531314206,4,6
1531317806,4,0
1531321346,1,2
1531325006,1,5
1531326986,4,0
1531332208,4,0
1531335807,3,3
1531339347,2,3
1531342947,1,0
1531346551,2,1
1531350207,11,1
1531353748,2,0
1531361007,3,6
1531364548,1,2
1531368148,5,0
1531371808,2,2
1531375348,2,3
1531378947,1,0
1531382608,0,1
1531386207,3,0
1531389747,0,2
1531393407,3,4
1531400548,0,1
1531407747,0,2
1531415008,3,3
1531418609,3,5
1531422149,1,3
1531425807,2,0
1531429347,0,2
1531432947,1,0
1531436609,1,0
1531440208,1,1
1531447408,0,4
1531451008,4,4
1531454609,4,7
1531458148,1,0
1531461748,1,1
1531465348,1,0
1531468948,3,4
1531472608,5,0
1531476148,1,2
1531479810,3,0
1531483348,1,0
1531486948,1,0
1531490548,4,1
1531494148,1,1
1531497809,1,2
1531501408,2,2
1531504949,2,0
1531508550,1,0
1531512148,2,4
1531522950,0,3
1531530149,0,1
1531533809,2,3
