DateTime,AddedIPs,RemovedIPs
1531227806,2,3
1531231346,4,3
1531234950,1,2
1531238607,2,3
1531242206,3,3
1531245747,1,0
1531249406,2,3
1531252946,3,1
1531256545,0,2
1531260146,1,1
1531267406,1,1
1531271006,1,0
1531274545,3,0
1531278146,3,7
1531281806,4,2
1531285406,2,3
1531289006,1,1
1531292606,2,3
1531296206,3,1
1531299806,1,0
1531303346,2,3
1531310546,2,4
1531314206,4,1
1531317806,4,0
1531321346,3,0
1531325006,1,2
1531326986,4,2
1531328546,1,0
1531332208,4,3
1531335807,4,5
1531339347,2,4
1531342947,1,2
1531346551,2,0
1531350207,11,0
1531353748,4,1
1531357348,1,1
1531361007,3,4
1531364548,1,4
1531368148,5,7
1531371808,2,3
1531375348,3,1
1531378947,1,0
1531382608,0,1
1531386207,3,4
1531393407,4,2
1531404207,0,2
1531407747,0,1
1531411407,2,0
1531415008,3,2
1531418609,3,2
1531422149,1,0
1531425807,2,2
1531429347,0,2
1531432947,1,0
1531436609,1,3
1531440208,1,1
1531443809,0,3
1531447408,2,0
1531451008,5,3
1531454609,4,4
1531458148,1,1
1531461748,1,2
1531465348,1,0
1531468948,3,2
1531472608,5,1
1531476148,1,1
1531479810,4,2
1531483348,2,1
1531486948,1,1
1531490548,4,4
1531494148,1,3
1531497809,1,2
1531501408,2,0
1531504949,2,1
1531508550,1,3
1531512148,3,1
1531515809,0,1
1531519409,0,4
1531522950,0,2
1531526548,0,2
1531533809,4,2
1531537349,4,3
1531541009,3,4
1531544608,0,1
1531548149,2,1
1531551749,2,1
1531555409,2,1
1531559009,2,2
1531562611,2,2
1531566149,2,1
1531569749,1,1
1531573409,1,3
1531576951,2,2
1531580609,3,1
1531584151,4,2
1531587809,8,2
1531589510,5,0
1531591369,11,0
1531594970,2,2
1531598570,1,0
1531602171,1,1
1531605769,0,2
1531609430,3,11
1531612971,11,4
1531616571,0,1
1531620171,5,2
1531623769,4,4
1531627431,4,3
1531628210,1,1
1531634570,1,3
1531638170,2,0
1531642045,2,2
1531645405,1,1
1531646605,0,1
1531652605,1,2
1531656209,1,1
1531659748,0,1
1531663405,3,1
1531670605,1,3
1531674145,4,2
1531677745,2,4
1531681345,3,2
1531688606,0,3
1531692206,2,0
1531695806,0,2
1531699405,2,1
1531703006,0,3
1531706546,6,0
1531710146,2,3
1531713745,4,5
1531717405,4,4
1531721005,0,1
1531724606,1,2
1531728206,2,0
1531731746,1,2
1531735346,2,3
1531739006,2,4
1531742606,2,0
1531746146,2,1
1531749752,5,4
1531753348,1,1
1531757010,1,3
1531760546,2,0
1531764146,4,2
1531767806,1,2
1531771347,2,2
1531775007,20,3
1531782147,0,1
1531785746,5,2
1531789406,1,0
1531792946,2,2
1531796607,5,5
1531800147,2,2
1531803807,1,1
1531807407,0,1
1531810947,1,1
1531814607,0,2
1531818208,5,4
1531821807,0,1
1531825407,1,0
1531832547,1,2
1531836207,2,3
1531839747,1,1
1531843347,2,0
1531846948,3,4
1531850607,1,0
1531857808,0,3
1531861408,1,1
1531864947,2,2
1531868608,3,2
1531872148,1,0
1531879408,2,3
1531883007,2,2
1531886548,2,4
1531890147,3,3
1531893748,2,0
1531897408,2,1
1531900948,1,1
1531904548,3,2
1531908148,2,2
1531911808,3,3
1531915408,1,2
1531918949,1,4
1531926208,2,3
1531929748,1,1
1531933349,5,2
1531935388,0,1
1531937008,0,2
1531940549,3,3
1531944149,2,1
1531947749,2,2
1531951356,0,1
1531955008,2,3
1531958548,1,1
1531962209,1,4
1531965808,1,0
1531969409,3,3
1531972948,5,6
1531976609,1,1
1531980149,0,2
1531983809,2,3
1531987414,2,2
1531991009,0,3
1531994549,3,2
1531998209,3,0
1532001752,1,0
1532005349,1,0
1532009010,4,5
1532012609,2,2
1532016211,2,1
1532019810,3,0
1532023409,2,1
1532027009,1,1
1532030609,1,1
1532034210,7,3
1532037809,1,0
1532041349,1,2
1532045009,1,1
1532048550,2,1
1532052209,1,2
1532055750,4,4
1532059350,2,2
1532066610,2,2
1532070150,2,1
1532073809,2,3
1532077471,1,4
1532081013,4,5
1532084550,2,2
1532088211,0,3
1532091750,1,0
1532095410,2,0
1532099010,2,3
1532102614,2,3
1532106213,2,1
1532107350,2,3
1532113350,1,1
1532120550,2,2
1532124150,1,1
1532127751,1,1
1532131351,1,0
1532135010,0,3
1532138610,4,3
1532142151,1,3
1532145811,3,3
1532149354,1,0
1532152952,1,1
1532156553,0,2
1532160210,1,1
1532163750,3,1
1532167353,4,4
1532170951,0,2
1532174611,1,1
1532178151,0,4
1532181811,0,3
1532192556,1,2
1532196151,4,0
1532199751,0,2
1532203411,2,2
1532206954,2,2
1532210552,1,2
1532214211,2,1
1532217751,2,1
1532221356,1,2
1532224951,2,2
1532228551,2,3
1532232214,2,4
1532235811,0,2
1532242951,2,4
1532246554,1,2
1532250214,3,4
1532253751,0,1
1532257412,3,0
1532261012,1,0
1532264615,1,0
1532271752,2,0
1532275352,1,2
1532279012,2,1
1532282552,0,1
1532286212,1,3
1532293355,0,2
1532296954,2,0
1532300616,1,1
1532304152,1,0
1532307757,1,1
1532311353,1,1
1532314955,3,3
1532318616,3,3
1532322153,1,0
1532325813,0,2
1532329413,3,4
1532333015,3,3
1532336553,1,0
1532337152,3,1
1532340153,0,1
1532347413,1,5
1532354553,1,1
1532358155,2,2
1532361815,1,2
1532365414,1,2
1532368953,4,0
1532372613,3,1
1532376213,2,2
1532379753,1,1
1532383413,0,1
1532386953,3,2
1532390554,1,0
1532394214,1,2
1532401354,3,3
1532404959,4,2
1532408613,1,3
1532415753,0,2
1532419353,1,4
1532422953,0,3
1532426614,4,2
1532430154,0,3
1532433756,4,2
1532437354,0,4
1532441015,3,1
1532444555,2,3
1532448156,2,3
1532451757,3,1
1532455356,1,0
1532459014,0,1
1532462554,2,1
1532466155,0,2
1532469754,3,1
1532473416,0,6
1532476954,1,1
1532480615,3,2
1532484155,0,1
1532487755,0,9
1532491417,4,6
1532498614,2,14
1532502216,2,2
1532505816,4,4
1532509417,1,3
1532516556,1,7
1532520156,1,0
1532523817,1,8
1532527417,1,0
1532530957,4,1
1532534557,1,0
1532538157,2,4
1532541756,4,3
1532545418,2,2
1532548295,1,1
1532548957,0,1
1532552558,2,1
1532556216,0,1
1532559815,2,0
1532563356,0,1
1532566955,2,2
1532570556,2,3
1532574215,2,8
1532577815,4,3
1532584956,0,2
1532588616,1,3
1532592156,2,2
1532595819,1,1
1532603015,2,5
1532606556,3,1
1532610216,7,1
1532613818,0,3
1532617356,1,1
1532620956,2,2
1532624618,1,2
1532628218,2,3
1532631756,4,2
1532635420,2,2
1532638958,0,1
1532642617,0,3
1532646159,0,2
1532649760,2,0
1532650176,0,1
1532653357,2,2
1532656956,2,2
1532660556,3,3
1532664157,8,5
1532667817,3,1
1532671357,3,4
1532674957,2,2
1532678557,2,0
1532682218,2,1
1532685759,1,3
1532689417,2,1
1532692959,2,4
1532696559,0,1
1532700159,5,2
1532703760,1,4
1532707360,1,0
1532710960,2,1
1532711377,0,3
1532714558,1,0
1532718157,2,3
1532721821,2,4
1532725358,3,1
1532728958,1,0
1532732558,0,2
1532736162,0,2
1532739817,1,3
1532743357,1,0
1532747018,2,1
1532750563,2,2
1532757818,1,4
1532761418,3,2
1532764957,1,0
1532768619,2,2
1532772218,3,2
1532775758,2,2
1532783020,1,3
1532786619,0,1
1532793758,3,2
1532800959,2,0
1532804618,1,2
1532808158,3,1
1532811758,0,2
1532815358,1,3
1532818958,1,0
1532820398,2,4
1532826218,1,0
1532829821,0,4
1532833359,2,1
1532837019,3,3
1532840560,0,2
1532844160,4,2
1532847759,1,2
1532851361,1,4
1532854958,4,1
1532858559,3,2
1532862220,1,3
1532865820,1,1
1532869360,1,2
1532873020,0,2
1532876562,1,6
1532880159,2,3
1532883820,2,0
1532887361,5,3
1532890959,3,0
1532894622,2,4
1532898160,2,1
1532901821,2,1
1532908960,0,2
1532912559,2,1
1532916159,1,1
1532919820,2,3
1532923419,3,3
1532926959,1,1
1532930560,1,2
1532934160,0,1
1532937820,1,1
1532941361,2,0
1532944960,1,4
1532948560,1,0
1532952221,2,1
1532955760,1,0
1532959424,3,1
1532962961,1,0
1532966560,0,1
1532970161,3,2
1532973760,3,4
1532977360,3,3
1532980960,1,1
1532984564,2,7
1532988161,1,0
1532991760,5,1
1532999020,1,2
1533002566,2,2
1533006160,2,2
1533009760,2,2
1533013421,3,2
1533017020,3,2
