DateTime,AddedIPs,RemovedIPs
1514053516,1,0
1514057578,2,0
1514076995,1,0
1514084691,1,0
1514104381,1,0
1514112048,1,1
1514119727,1,1
1514142791,0,1
1514166954,0,1
1514186238,1,1
1514202486,1,1
1514226042,0,1
1514229900,1,0
1514241650,0,2
1514253179,1,0
1514257017,0,1
1514295733,0,1
1514311008,1,0
1514318482,0,1
1514330232,0,1
1514338146,1,1
1514345823,0,1
1514369085,0,1
1514401873,1,0
1514413240,0,1
1514420933,1,2
1514436515,2,0
1514444229,0,1
1514451879,1,1
1514475345,1,0
1514490998,0,1
1514502551,1,0
1514518151,0,1
1514522000,2,0
1514529896,1,0
1514541643,2,0
1514572622,0,1
1514580320,1,0
1514588233,0,1
1514599996,0,1
1514626861,0,2
1514642200,0,1
1514657925,2,0
1514661946,1,0
1514677759,0,1
1514681592,0,1
1514696938,0,1
1514700791,1,1
1514708691,0,1
1514724040,1,0
1514739412,1,1
1514750945,0,1
1514754751,1,1
1514758849,1,1
1514763296,1,1
1514771071,0,1
1514786485,1,0
1514798239,0,1
1514802068,1,0
1514805898,0,1
1514821769,0,1
1514856816,0,1
1514876245,2,0
1514880099,1,1
1514899281,1,0
1514910781,0,1
1514914618,1,1
1514941998,1,3
1514949775,0,1
1514957625,0,1
1514965254,0,1
1514969107,0,1
1514972920,0,1
1514984719,0,1
1514992388,0,3
1514996219,0,1
1515000062,0,1
1515007732,2,2
1515028869,0,1
1515033696,1,0
1515045661,0,1
1515049526,1,0
1515069154,1,2
1515077330,0,2
1515092693,1,0
1515096505,2,1
1515100373,1,1
1515139231,0,1
1515146929,0,1
1515243704,1,0
1515263100,0,1
1515270812,1,0
1515306081,0,2
1515313774,0,1
1515317592,1,1
1515321430,0,1
1515329105,1,1
1515348300,1,1
1515359821,0,1
1515363675,1,0
1515375684,0,1
1515387437,1,0
1515434232,0,1
1515461827,0,2
1515469754,2,0
1515485827,1,0
1515563097,0,1
1515570764,1,0
1515578499,1,0
1515609246,1,1
1515613271,0,1
1515620962,0,1
1515636798,1,0
1515687672,1,0
1515718643,1,1
1515730659,0,1
1515765676,1,1
1515788710,0,1
1515792550,0,1
1515796414,1,1
1515800207,0,1
1515804032,1,0
1515839346,0,1
1515850846,1,0
1515870297,2,0
1515912800,0,1
1515920508,0,1
1515935828,1,1
1515939658,0,1
1515955060,1,1
1515958884,1,1
1515962759,0,1
1515970639,0,1
1515982146,1,0
1516017456,1,0
1516033055,1,1
1516142731,4,4
1516154495,0,1
1516216403,0,1
1516220166,0,1
1516231994,1,1
1516255251,0,1
1516259357,0,1
1516263195,1,0
1516287177,0,1
1516299015,1,3
1516302801,1,0
1516306882,2,0
1516319014,1,0
1516330902,0,1
1516346233,1,1
1516417329,0,1
1516448735,1,1
1516475806,2,120
1516494973,1,0
1516502657,1,0
1516514192,2,0
1516537104,2,0
1516552332,1,0
1516556192,1,0
1516560010,1,0
1516563852,2,0
1516571543,2,0
1516575380,1,0
1516579265,1,0
1516586924,2,0
1516594591,1,0
1516625801,1,0
1516629645,1,0
1516637299,1,0
1516641397,1,0
1516649079,1,0
1516664072,1,0
1516675449,2,0
1516706173,1,0
1516738600,1,0
1516754412,2,0
1516758263,1,0
1516765944,1,0
1516805079,1,0
1516820660,1,0
1516824495,2,0
1516832213,1,0
1516895806,1,0
1516903471,1,0
1516907310,1,0
1516934443,2,0
1516938269,1,0
1516961332,1,0
1516969489,1,0
1516980993,2,0
1516988927,1,0
1516996825,1,0
1517008638,1,0
1517016285,1,0
1517020113,1,0
1517046983,1,0
1517070736,1,0
1517082777,1,0
1517094287,1,0
1517113742,1,0
1517136766,1,0
1517179015,1,0
1517182845,1,0
1517190547,3,0
1517209937,1,0
1517217633,1,0
1517248348,1,0
1517252184,1,0
1517271409,1,0
1517282901,1,0
1517314259,1,0
1517337619,1,0
1517341463,1,0
1517360667,1,0
1517399572,1,0
1517403394,1,0
1517537543,1,0
1517541382,1,0
1517545224,3,0
1517549066,1,0
1517556781,1,0
1517596124,1,0
1517603805,1,0
1517607639,1,0
1517623714,1,0
1517674371,1,0
1517709417,1,0
1517760058,1,0
1517775885,2,0
1517841168,1,0
1517848868,3,0
1517856498,1,0
1517864204,1,0
1517872119,1,0
1517879818,1,0
1517887464,1,0
1517952984,1,0
1517995222,1,0
1518091502,1,0
1518107097,1,0
1518114778,1,0
1518118617,1,0
1518138759,1,0
1518142830,4,0
1518154376,1,0
1518177641,1,0
1518228292,1,0
1518314204,1,0
1518322136,1,0
1518377579,1,0
1518397232,1,0
1518404955,1,0
1518412614,1,0
1518424629,1,0
1518440068,1,0
1518447901,1,0
1518459411,1,0
1518552762,1,0
1518569020,1,0
1518577550,0,1
1518585405,1,0
1518593080,0,1
1518596934,1,0
1518635925,0,2
1518639916,0,1
1518643971,0,1
1518656705,1,1
1518668724,0,1
1518688600,2,1
1518692703,1,0
1518700606,1,1
1518723888,0,1
1518731816,1,0
1518809822,1,0
1518833108,1,0
1518932682,1,1
1518987886,0,1
1519003468,1,0
1519018823,1,0
1519045743,0,1
1519068989,0,1
1519089636,1,0
1519105482,0,1
1519132831,1,0
1519140507,1,1
1519144372,2,1
1519153737,1,1
1519192389,2,0
1519200290,0,1
1519236052,0,1
1519252140,2,2
1519260036,0,1
1519267749,0,1
1519295122,1,0
1519330382,2,0
1519353678,1,0
1519357485,1,1
1519377164,0,1
1519408866,1,0
1519412926,0,1
1519440816,1,0
1519500050,1,1
1519513070,0,1
1519520692,0,1
1519524541,1,0
1519543990,0,1
1519570854,0,1
1519582840,1,0
1519590535,0,1
1519605924,3,1
1519609726,1,0
1519621470,1,1
1519648370,0,1
1519652782,0,1
1519664943,0,1
1519668787,1,0
1519680037,1,0
1519695918,0,1
1519711252,1,2
1519762354,0,1
1519785625,0,126
1519793302,1,0
1519801233,2,0
1519820447,1,0
1519824280,1,0
1519836115,2,0
1519843695,1,0
1519847559,3,0
1519859066,1,0
1519866998,1,0
1519870825,2,0
1519874680,1,0
1519890025,1,0
1519905397,2,0
1519913083,1,0
1519940202,1,0
1519956011,1,0
1520036899,1,0
1520040742,1,0
1520128352,1,0
1520139883,1,0
1520190289,1,0
1520194094,1,0
1520197949,1,0
1520201806,1,0
1520218095,1,0
1520252916,1,0
1520268765,2,0
1520276700,1,0
1520304280,1,0
1520315795,1,0
1520350339,1,0
1520427616,1,0
1520450669,1,0
1520466062,1,0
1520473967,1,0
1520477814,1,0
1520497432,1,0
1520505158,1,0
1520556044,1,0
1520567569,1,0
1520645066,1,0
1520664498,2,0
1520710840,1,0
1520718499,1,0
1520726429,1,0
1520738429,1,0
1520765559,1,0
1520792908,1,0
1520797008,1,0
1520820390,1,0
1520824127,1,0
1520855082,3,0
1520906930,1,0
1523189781,1,64
1523201290,1,0
1523228718,1,0
1523232520,1,0
1523240431,1,0
1523244270,1,0
1523263473,3,0
1523275006,2,0
1523286527,1,0
1523301879,1,0
1523329217,1,0
1523340523,1,0
1523344480,1,0
1523356493,2,0
1523368111,1,0
1523402894,1,0
1523414654,1,0
1523430013,1,0
1523457149,2,0
1523465080,1,0
1523476615,1,0
1523492189,1,0
1523542335,3,0
1523546170,1,0
1523562023,2,0
1523582660,1,0
1523586516,1,0
1523594438,1,0
1523602122,2,0
1523637427,1,0
1523668364,1,0
1523764571,1,0
1523772285,1,0
1523788382,1,0
1523843789,1,0
1523851474,2,0
1523863004,3,0
1523866832,1,0
1523878357,2,0
1523897564,1,0
1523947986,1,0
1523959470,1,0
1523978915,1,0
1524018028,1,0
1524025735,2,0
1524060967,1,0
1524072758,2,0
1524088105,0,0
1524095791,1,0
1524107557,2,0
1524123153,0,0
1524138621,1,0
1524158445,1,0
1524169966,1,0
1524177649,1,0
1525871074,0,0
1527288040,0,0
1527293347,0,0
1531787811,2,66
1531811584,1,0
1531819493,2,0
1531831018,1,0
1531838650,1,0
1531873741,1,0
1531881399,1,0
1531912109,1,0
1531943061,2,0
1531966130,1,0
1531977860,1,0
1532028257,1,0
1532043871,1,0
1532055641,1,0
1532067402,1,0
1532113465,1,0
1532121146,1,0
1532124979,1,0
1532148299,1,0
1532179236,1,0
1532214033,1,0
1532229382,1,0
1532233232,1,0
1532248588,1,0
1532275753,1,0
1532283396,1,0
1532287231,1,0
1532375539,1,0
1532418012,1,0
1532421874,1,0
1532464471,1,0
1532472281,2,0
1532483790,1,0
1532491463,1,0
1532514746,1,0
1532530033,1,0
1532576208,1,0
1532607152,1,0
1532618926,1,0
1532630679,1,0
1532642174,1,0
1532661617,4,0
1532692584,1,0
1532704102,1,0
1532719462,1,0
1532727155,1,0
1532796972,1,0
1532804671,1,0
1532827689,1,0
1532873781,1,59
1532877617,1,0
1532908592,1,0
1532924205,1,0
1532928029,1,0
1532951066,1,0
1532954897,2,0
