DateTime,AddedIPs,RemovedIPs
1523352218,28,32
1523356498,60,54
1523360438,46,46
1523364278,4,5
1523368121,22,21
1523375802,65,49
1523379645,47,44
1523383487,30,27
1523387561,6,9
1523391401,5,3
1523395237,1,1
1523399092,7,3
1523402897,3,4
1523406745,29,22
1523410829,35,29
1523414660,42,59
1523418500,37,53
1523422356,42,51
1523426173,47,48
1523430017,16,13
1523437592,9,5
1523441558,14,12
1523445401,5,3
1523449249,2,8
1523453074,1,6
1523457152,11,13
1523461232,10,14
1523465083,7,5
1523472748,2,0
1523476622,6,8
1523480436,8,6
1523484282,10,6
1523488132,1,1
1523492192,2,1
1523496019,4,1
1523500130,9,4
1523503945,2,2
1523507795,5,5
1523511647,3,1
1523515464,9,7
1523519307,13,10
1523523150,1,8
1523527117,1,3
1523530820,6,6
1523534674,7,3
1523538492,4,10
1523546172,6,16
1523550272,6,8
1523554103,9,10
1523557969,20,18
1523562027,27,48
1523566121,24,76
1523569950,16,26
1523574878,32,54
1523578710,6,9
1523582666,14,12
1523586524,3,0
1523590344,17,14
1523594444,9,1
1523598289,8,4
1523602128,14,10
1523605963,13,11
1523609797,10,3
1523613649,7,2
1523617466,4,4
1523621343,3,4
1523625173,13,12
1523629012,19,6
1523632980,16,4
1523637435,25,35
1523641241,9,12
1523645061,0,2
1523649187,3,0
1523653010,2,2
1523656881,4,2
1523660679,1,0
1523664538,3,1
1523668369,4,0
1523672446,2,0
1523676287,2,1
1523680123,6,2
1523683956,7,4
1523687821,3,5
1523691643,27,22
1523695466,30,45
1523699324,15,36
1523703165,30,41
1523707006,21,26
1523710872,25,34
1523714688,13,11
1523718543,1,0
1523722381,9,6
1523726213,12,5
1523730047,26,24
1523733877,18,24
1523737720,21,19
1523741555,8,15
1523749264,2,1
1523753107,5,1
1523756915,3,1
1523760786,16,18
1523764584,20,38
1523768449,19,18
1523772291,3,1
1523776127,13,7
1523780192,15,26
1523784273,25,18
1523788387,6,9
1523792454,9,9
1523796285,19,12
1523800352,15,16
1523804181,1,5
1523808072,0,2
1523811867,5,3
1523815966,7,1
1523820070,9,3
1523824121,2,0
1523832052,2,2
1523835876,3,3
1523839720,7,2
1523843798,2,1
1523847637,11,2
1523851480,14,20
1523855333,12,8
1523859172,23,15
1523863010,29,29
1523866837,15,29
1523870678,18,49
1523874515,24,23
1523878360,0,1
1523882208,1,0
1523886037,4,1
1523897577,3,5
1523901387,3,1
1523905251,5,0
1523913292,2,2
1523917018,2,0
1523920850,10,3
1523924695,3,2
1523928532,2,0
1523932361,7,2
1523940273,1,0
1523944153,6,4
1523948001,9,2
1523951811,3,2
1523955625,3,0
1523959475,7,1
1523967413,1,8
1523971251,5,3
1523975072,3,4
1523978922,5,8
1523982776,5,3
1523986610,5,0
1523990441,6,2
1523994277,2,0
1524002444,9,2
1524010375,11,3
1524014195,18,7
1524018035,4,1
1524021873,2,2
1524025745,4,4
1524029590,4,1
1524033437,16,5
1524037267,11,8
1524041343,4,0
1524049244,16,5
1524053101,11,6
