DateTime,AddedIPs,RemovedIPs
1523492195,22,30
1523496022,11,10
1523500134,55,60
1523503948,17,21
1523507797,19,31
1523511650,6,4
1523515467,19,30
1523519309,52,71
1523523153,7,21
1523527120,7,29
1523530825,25,58
1523534676,75,37
1523538495,68,66
1523542340,11,11
1523546175,12,25
1523550279,39,25
1523554106,81,89
1523557977,60,55
1523562033,37,34
1523566129,23,67
1523569960,47,120
1523574891,74,96
1523578718,159,202
1523582672,176,159
1523586532,177,176
1523590351,167,154
1523594450,182,190
1523598295,191,182
1523602134,100,142
1523605971,183,148
1523609804,182,184
1523613664,183,182
1523617473,188,183
1523621353,163,180
1523625181,198,171
1523629018,177,194
1523632988,176,178
1523637443,140,91
1523641256,85,90
1523645068,170,223
1523649198,171,169
1523653018,172,172
1523656902,195,172
1523660689,183,194
1523664553,172,184
1523668375,172,172
1523672452,168,172
1523676298,179,168
1523680131,206,178
1523683963,181,202
1523687831,94,125
1523691652,29,30
1523695472,83,63
1523699331,74,86
1523703183,136,87
1523707014,67,32
1523710892,67,80
1523714696,106,160
1523718555,178,179
1523722391,203,171
1523726220,143,187
1523730059,60,40
1523733887,35,45
1523737725,37,43
1523741563,128,128
1523745562,183,168
1523749276,179,178
1523753118,184,186
1523756921,156,184
1523760792,32,28
1523764595,53,27
1523768461,106,50
1523772297,172,234
1523776133,117,121
1523780198,84,67
1523784283,50,75
1523788395,194,168
1523792465,152,168
1523796297,89,38
1523800359,57,34
1523804188,180,234
1523808094,178,190
1523811875,188,186
1523815973,196,181
1523820084,195,202
1523824131,188,196
1523827961,178,186
1523832073,183,180
1523835887,172,163
1523839732,184,171
1523843810,183,201
1523847650,143,170
1523851488,16,25
1523855343,20,12
1523859182,73,51
1523863016,70,75
1523866846,26,45
1523870683,60,61
1523874521,46,40
1523878363,4,3
1523882214,6,0
1523886041,39,11
1523889861,5,0
1523893731,8,3
1523897589,19,27
1523901397,21,5
1523905261,10,1
1523909074,12,4
1523913297,12,2
1523917022,6,1
1523920855,18,0
1523924699,8,2
1523928537,8,1
1523932369,12,1
1523936213,6,2
1523940278,6,1
1523944158,19,8
1523948012,14,23
1523951815,1,0
1523955629,10,6
1523959480,87,36
1523963327,233,288
1523967419,262,237
1523971268,211,225
1523975081,206,199
1523978932,211,218
1523982789,218,210
1523986629,339,286
1523990451,294,298
1523994285,316,319
1523998362,334,335
1524002460,364,365
1524006534,365,364
1524010395,373,356
1524014204,327,332
1524018044,334,333
1524021879,330,342
1524025756,361,361
1524029604,367,366
1524033450,332,311
1524037280,323,332
1524041359,323,334
1524045147,334,340
1524049253,369,362
1524053116,328,328
1524056924,306,298
1524060984,334,334
1524064834,318,335
1524068948,374,360
1524072790,347,350
1524076634,308,310
1524080462,309,305
1524084298,347,358
1524088119,344,343
1524095809,370,363
1524099913,331,326
1524103732,338,350
1524107572,335,326
1524111440,368,367
1524115510,318,316
1524119317,299,301
1524123173,331,327
1524126990,348,352
1524130843,305,310
1524134704,321,296
1524138643,319,330
1524142406,301,295
1524146193,353,360
1524150505,372,381
1524154441,385,370
1524158472,369,357
1524162303,336,341
1524166140,300,323
1524169992,362,366
1524173821,329,328
1524177679,325,309
1524181491,299,302
1524185585,136,137
1526128881,0,0
1527288060,0,0
1527293394,0,0
1531787813,86,380
1531791877,24,0
1531795711,1,0
1531799548,15,0
1531803645,1,0
1531807468,19,0
1531811587,2,0
1531815386,8,0
1531819501,11,0
1531823328,3,0
1531827169,8,0
1531831022,5,0
1531834828,13,15
1531838655,3,1
1531842770,10,8
1531846611,4,1
1531850433,1,0
1531854273,24,1
1531858367,43,14
1531862206,3,6
1531866017,2,5
1531877552,54,18
1531881410,41,12
1531885226,73,3
1531889069,386,306
1531892911,451,450
1531896783,393,393
1531900580,451,451
1531904454,451,451
1531908280,215,215
1531912117,442,442
1531915956,451,451
1531919790,450,450
1531923621,451,451
1531927470,314,314
1531931316,82,82
1531935164,163,163
1531938991,251,251
1531943068,371,371
1531946924,53,53
1531950750,22,22
1531954603,451,451
1531958446,352,352
1531962290,173,173
1531966136,200,200
1531969961,428,429
1531973795,288,288
1531977873,259,258
1531981762,451,451
1531985560,450,451
1531989697,450,449
1531993488,377,377
1531997338,122,122
1532001178,124,124
1532005009,70,70
1532012675,3,3
1532016557,60,90
1532020351,3,4
1532024211,2,2
1532028262,23,23
1532032132,33,34
1532035970,15,17
1532039795,0,2
1532043876,16,5
1532047724,7,9
1532051794,14,20
1532055661,1,1
1532059526,12,18
1532063561,10,42
1532067411,2,7
1532071267,4,10
1532075082,22,57
1532078909,1,5
1532082788,10,67
1532086601,5,37
1532090444,8,38
1532094280,5,21
1532098114,7,12
1532101987,6,19
1532105785,14,10
1532109633,16,0
1532113472,32,16
1532117317,3,0
1532121150,6,0
1532124986,1,0
1532128829,4,0
1532132674,18,0
1532136498,11,4
1532140354,8,0
1532144212,1,0
1532148308,10,1
1532152112,7,1
1532156011,57,4
1532159799,33,15
1532163885,129,132
1532167708,379,272
1532171553,451,451
1532175420,369,369
1532179243,451,451
1532183082,451,451
1532186941,294,295
1532190767,335,334
1532194606,451,451
1532198442,451,451
1532202287,450,450
1532206352,405,405
1532210198,83,83
1532214041,140,140
1532217878,85,87
1532221718,436,434
1532225559,80,80
1532229393,50,51
1532233239,238,239
1532237118,449,447
1532240903,238,238
1532244751,271,272
1532248595,151,151
1532252426,449,449
1532256276,285,284
1532260132,186,187
1532263972,438,437
1532267805,451,451
1532271663,451,451
1532275762,450,450
1532279552,151,151
1532283402,90,149
1532287244,37,40
1532291083,2,13
1532294916,2,5
1532356121,61,73
1532359970,12,17
1532363800,45,128
1532367621,2,109
1532371490,27,14
1532375547,16,16
1532379653,2,0
1532383488,23,6
1532387309,15,4
1532391185,151,83
1532395014,112,150
1532398831,30,52
1532402735,58,59
1532406538,133,108
1532410381,182,144
1532414209,154,171
1532418035,210,191
1532421895,186,189
1532425733,227,228
1532429572,213,225
1532437303,227,190
1532441350,192,221
1532445173,217,228
1532449026,282,263
1532452843,229,283
1532456722,241,229
1532460759,242,241
1532464492,238,242
1532468472,195,199
1532472301,224,229
1532476136,178,168
1532479988,160,160
1532483816,186,179
1532487670,156,152
1532491494,152,179
1532499445,198,215
1532503250,177,144
1532507073,137,154
1532510930,152,137
1532514775,182,184
1532518635,127,140
1532526285,228,221
1532534225,251,228
1532538041,162,184
1532545521,249,230
1532549350,137,146
1532553201,144,145
1532557007,144,139
1532560863,149,154
1532564714,211,215
1532568532,240,235
1532572406,239,240
1532576232,236,239
1532580043,239,235
1532583899,245,234
1532591585,228,207
1532595432,48,52
1532599516,59,79
1532603333,41,32
1532607200,140,136
1532611024,157,144
1532614839,141,162
1532618960,139,130
1532622766,76,70
1532630708,234,248
1532634527,142,139
1532638370,138,158
1532642209,233,237
1532646300,240,233
1532650134,115,114
1532653979,53,44
1532657840,56,68
1532661643,38,51
1532665496,132,143
1532669324,149,132
1532673205,143,138
1532677016,130,132
1532680868,177,167
1532684702,167,185
1532688790,220,205
1532692606,232,241
1532696504,247,232
1532700308,218,244
1532704129,209,184
1532707996,238,246
1532711805,276,238
1532715648,222,253
