DateTime,AddedIPs,RemovedIPs
1523244768,249,255
1523248587,232,249
1523252442,234,232
1523256269,242,234
1523260123,256,240
1523263948,272,257
1523267802,241,273
1523271679,235,241
1523275491,238,235
1523279312,256,238
1523283160,263,255
1523286988,266,264
1523290831,242,266
1523294663,240,242
1523298518,241,240
1523302363,260,241
1523307028,281,260
1523310776,291,281
1523314834,285,291
1523318661,250,285
1523322504,257,250
1523326216,257,257
1523329956,264,257
1523333813,276,264
1523337629,246,276
1523341482,147,141
1523345317,193,197
1523349165,229,197
1523353004,288,276
1523356859,231,278
1523360658,214,217
1523364492,259,242
1523368594,301,259
1523372462,300,301
1523376277,297,295
1523380109,258,302
1523383964,265,258
1523388048,265,265
1523391895,298,265
1523395714,290,298
1523399787,291,290
1523403638,267,291
1523407479,261,267
1523411301,266,261
1523415153,286,266
1523419228,289,286
1523423071,239,237
1523426922,215,251
1523430763,71,90
1523434599,1,1
1523439044,104,54
1523442993,115,60
1523446819,17,6
1523450672,3,0
1523458349,85,37
1523462185,61,58
1523466028,31,30
1523473704,1,1
1523477548,57,59
1523481401,81,83
1523485227,26,24
1523493156,1,0
1523496865,71,75
1523500931,72,71
1523504654,13,14
1523508503,0,1
1523512349,7,8
1523516177,103,98
1523520012,60,60
1523531549,38,37
1523535421,62,63
1523539225,87,79
1523543076,1,1
1523546896,3,3
1523550760,81,81
1523554602,59,68
1523558441,155,403
1523562764,159,156
1523566600,189,159
1523570453,206,180
1523574905,196,215
1523578727,158,196
1523582676,159,158
1523586538,165,159
1523590360,197,165
1523594458,213,197
1523598302,163,213
1523602141,137,144
1523605979,192,156
1523609812,212,192
1523613682,205,212
1523617480,168,205
1523621367,166,168
1523625191,198,166
1523629025,210,198
1523633002,228,210
1523637450,130,203
1523641271,147,149
1523645073,166,153
1523649209,196,166
1523653026,189,196
1523656927,198,189
1523660697,199,198
1523664572,177,199
1523668381,166,177
1523672458,167,166
1523676312,200,167
1523680137,200,198
1523683970,205,202
1523687840,177,205
1523691663,102,115
1523695479,123,133
1523699341,176,128
1523703198,155,125
1523707019,193,186
1523710912,150,227
1523714704,120,104
1523718570,188,178
1523722402,220,185
1523726228,244,223
1523730072,151,220
1523733899,178,175
1523737731,169,178
1523741570,214,169
1523745578,202,214
1523749287,209,202
1523753129,173,209
1523756928,172,173
1523760799,158,172
1523764610,206,148
1523768473,152,149
1523772303,202,218
1523776138,124,165
1523780204,94,106
1523784293,105,100
1523788403,184,153
1523792475,189,180
1523796313,141,143
1523800368,198,192
1523804195,179,199
1523811883,193,179
1523815983,204,187
1523820101,220,210
1523824141,179,220
1523827968,176,176
1523832097,197,179
1523835896,215,187
1523839745,210,211
1523843820,174,217
1523847669,167,173
1523851495,203,175
1523855349,191,203
1523859193,141,156
1523863022,139,151
1523866854,197,164
1523870689,123,142
1523874528,185,178
1523878369,3,17
1523882222,2,0
1523886044,2,0
1523901405,1,0
1523909078,8,0
1523913301,9,1
1523917028,18,0
1523920863,18,1
1523924703,11,0
1523928541,13,0
1523932377,11,0
1523936222,5,1
1523940281,6,2
1523944162,4,1
1523948024,18,4
1523951820,8,2
1523955634,12,0
1523959487,72,16
1523963336,234,296
1523967426,202,203
1523971284,200,196
1523975086,186,189
1523978942,197,197
1523982796,188,185
1523986647,332,265
1523990460,291,292
1523994293,315,317
1523998388,339,338
1524002480,363,367
1524006541,364,363
1524010416,377,358
1524014213,351,345
1524018057,367,362
1524021890,326,356
1524025767,353,355
1524029618,367,362
1524033460,332,312
1524037300,326,333
1524041374,335,341
1524045154,333,345
1524049266,360,362
1524053126,360,336
1524056933,312,315
1524060995,344,342
1524064843,316,340
1524068955,346,347
1524072809,353,338
1524076658,334,325
1524080479,336,332
1524084310,346,370
1524088130,338,339
1524095818,397,361
1524099922,368,371
1524103739,339,370
1524107579,322,321
1524111454,356,353
1524115535,365,334
1524119331,347,348
1524123187,327,349
1524127003,335,343
1524130856,302,302
1524134723,337,303
1524138662,358,358
1524142432,344,336
1524146204,331,370
1524150513,370,370
1524154463,384,367
1524158488,355,352
1524162312,337,333
1524166148,324,334
1524170005,360,379
1524173835,328,326
1524177696,323,307
1524181504,308,305
1524185595,138,136
1526144723,0,0
1527288070,0,0
1527293416,0,0
1531787814,13,388
1531811588,1,0
1531815388,1,0
1531819504,1,0
1531827171,1,0
1531831024,1,0
1531854274,3,0
1531858368,1,0
1531873746,1,0
1531877556,281,0
1531881418,450,303
1531885229,451,451
1531889072,451,451
1531892916,451,451
1531896786,449,449
1531900584,451,451
1531904459,451,451
1531908283,451,451
1531912120,451,451
1531915961,451,451
1531919794,451,451
1531923624,451,451
1531927474,451,451
1531931320,421,421
1531935167,331,331
1531939000,451,451
1531943071,451,451
1531946930,451,451
1531950754,451,451
1531954606,451,451
1531958449,451,451
1531962293,451,451
1531966139,356,356
1531969965,261,261
1531973799,451,451
1531977880,451,451
1531981765,451,451
1531985567,451,451
1531989700,451,451
1531993492,451,451
1531997342,451,451
1532001181,451,451
1532005012,428,428
1532024213,1,1
1532028266,1,1
1532032136,1,1
1532039802,1,1
1532051801,0,1
1532059528,1,1
1532082793,1,1
1532113474,1,1
1532121153,0,1
1532144217,1,1
1532156016,451,449
1532159805,451,451
1532163890,451,451
1532167711,451,451
1532171556,451,451
1532175424,451,451
1532179249,451,451
1532183087,451,451
1532186945,451,451
1532190774,451,451
1532194609,451,451
1532198447,451,451
1532202294,451,451
1532206358,451,451
1532210202,451,451
1532214045,398,398
1532217881,451,451
1532221723,451,451
1532225565,451,451
1532229396,451,451
1532233243,451,451
1532237128,451,451
1532240909,451,451
1532244754,451,451
1532248598,370,370
1532252430,251,251
1532256282,451,451
1532260139,451,451
1532263976,451,451
1532267808,450,450
1532271679,451,451
1532275768,451,451
1532279557,114,114
1532283408,2,2
1532287252,1,1
1532294920,0,1
1532375553,2,2
1532379665,1,1
1532391196,201,402
1532395024,226,249
1532398839,226,226
1532402748,226,226
1532406551,226,226
1532410396,226,226
1532414224,226,226
1532418047,226,226
1532421910,199,199
1532425742,224,224
1532429587,225,224
1532437326,227,227
1532441365,226,227
1532445188,227,226
1532449037,214,213
1532452854,228,228
1532456741,229,228
1532460768,229,229
1532464501,228,229
1532468493,229,228
1532472315,228,229
1532476152,228,228
1532480000,193,193
1532483831,227,228
1532491511,228,227
1532495370,175,174
1532499464,153,152
1532503261,215,215
1532507084,230,230
1532510947,219,220
1532514788,186,186
1532518653,228,228
1532526296,228,229
1532534240,228,228
1532538059,230,228
1532545530,231,230
1532549368,229,231
1532553216,230,229
1532557018,230,230
1532560875,229,230
1532568547,228,229
1532572423,228,228
1532576243,229,228
1532580054,226,228
1532583912,228,227
1532591602,227,228
1532595452,228,227
1532599528,164,165
1532603341,227,227
1532607222,222,221
