DateTime,AddedIPs,RemovedIPs
1518432357,1,4
1518447998,0,3
1518459525,1,0
1518467169,1,1
1518471080,0,1
1518478854,1,1
1518482770,0,1
1518486598,1,1
1518490442,0,1
1518494308,1,0
1518502001,2,0
1518509865,2,0
1518517605,1,2
1518530222,1,0
1518537915,1,1
1518541739,2,2
1518545579,1,0
1518553247,1,3
1518557364,0,1
1518561174,0,2
1518569092,1,2
1518577679,0,1
1518581647,2,0
1518585488,1,0
1518593193,1,1
1518616492,2,0
1518624218,2,0
1518636047,4,1
1518656811,1,2
1518664690,0,3
1518680966,0,1
1518688675,0,2
1518696676,1,3
1518704556,1,1
1518708344,1,0
1518716318,3,0
1518720163,1,0
1518724020,1,0
1518751625,2,0
1518763177,3,1
1518766885,1,1
1518782348,0,1
1518794137,0,1
1518801820,0,1
1518805813,1,2
1518813760,0,4
1518829298,4,2
1518833285,0,1
1518837332,1,0
1518841330,3,0
1518848996,1,0
1518852852,2,1
1518860508,1,2
1518872647,1,0
1518881868,2,0
1518894052,1,0
1518897879,1,0
1518901604,0,1
1518920999,1,0
1518924909,1,0
1518932829,1,0
1518940939,0,1
1518944766,3,0
1518991808,2,0
1519022703,1,0
1519042001,0,1
1519049828,0,1
1519057611,0,3
1519061370,2,3
1519069112,0,1
1519074185,1,0
1519081727,2,1
1519085859,1,0
1519093533,1,0
1519117030,1,0
1519124788,3,1
1519128951,0,1
1519132903,1,0
1519140614,0,1
1519144470,1,4
1519157669,1,2
1519165402,3,1
1519169160,1,1
1519173009,1,0
1519176885,0,1
1519181016,1,0
1519200379,1,2
1519208312,0,1
1519212181,2,3
1519216045,0,1
1519224219,1,0
1519228225,1,0
1519232288,0,2
1519236141,0,1
1519240200,2,1
1519244299,1,1
1519252249,1,2
1519279675,1,2
1519287219,0,1
1519291190,0,2
1519299014,1,1
1519318688,2,0
1519326406,1,0
1519330516,1,0
1519334406,1,0
1519345913,0,1
1519357586,0,1
1519361446,0,1
1519365491,1,1
1519385317,0,2
1519389351,0,2
1519396964,0,1
1519405183,1,0
1519409018,1,0
1519429293,1,0
1519433232,0,1
1519448877,2,0
1519468738,0,1
1519480732,0,1
1519484574,2,0
1519488647,1,0
1519492428,1,0
1519513195,1,0
1519520821,3,4
1519528468,1,1
1519532400,0,1
1519539985,0,1
1519544128,0,1
1519551751,0,2
1519555566,1,0
1519559502,1,0
1519567191,1,1
1519574905,1,4
1519590623,1,0
1519613755,1,2
1519636994,1,1
1519640799,0,3
1519644645,0,1
1519652974,1,0
1519656869,0,2
1519668919,0,1
1519672684,1,1
1519676520,1,0
1519699912,2,0
1519715505,1,0
1519727294,1,1
1519735217,3,5
1519738996,3,0
1519770242,1,0
1519774299,1,0
1519778070,0,1
1519789504,1,103
1519797174,5,0
1519805108,4,0
1519816611,3,0
1519820466,1,0
1519824311,1,0
1519832217,1,0
1519843735,2,0
1519851394,2,0
1519855234,2,0
1519870855,1,0
1519878685,2,0
1519886227,1,0
1519890042,1,0
1519916930,1,0
1519920808,4,0
1519924834,2,0
1519928690,2,0
1519936385,1,0
1519940230,2,0
1519956026,1,0
1519959868,1,0
1519963756,2,0
1519975015,1,0
1519982934,1,0
1520005948,1,0
1520017478,1,0
1520025418,1,0
1520040767,1,0
1520044603,1,0
1520052282,1,0
1520059972,1,0
1520120540,3,0
1520132211,1,0
1520139909,1,0
1520147562,1,0
1520163194,1,0
1520178584,1,0
1520182630,1,0
1520190319,1,0
1520197981,1,0
1520225814,1,0
1520237592,1,0
1520249090,1,0
1520252951,1,0
1520256788,1,0
1520276732,1,0
1520292538,2,0
1520296375,1,0
1520304304,1,0
1520308142,2,0
1520315845,1,0
1520331190,1,0
1520335029,1,0
1520342720,1,0
1520354453,1,0
1520362148,1,0
1520366390,1,0
1520381602,1,0
1520393109,1,0
1520396988,1,0
1520404646,2,0
1520412312,2,0
1520420015,2,0
1520423818,1,0
1520431516,2,0
1520435334,1,0
1520446870,2,0
1520450716,1,0
1520454547,1,0
1520458392,1,0
1520489394,1,0
1520524861,1,0
1520528712,1,0
1520532556,1,0
1520536651,2,0
1520544327,1,0
1520567663,1,0
1520575273,2,0
1520582956,1,0
1520587040,1,0
1520594746,2,0
1520602680,1,0
1520629810,1,0
1520641255,1,0
1520672234,0,1
1520676136,2,0
1520683824,1,0
1520691416,1,0
1520699112,0,2
1520710921,2,1
1520722619,1,1
1520730535,1,2
1520738455,0,1
1520746139,0,1
1520750255,1,2
1520754043,1,0
1520765650,0,1
1520781205,1,0
1520788845,0,1
1520797026,1,1
1520804686,0,2
1520808521,2,0
1520812640,0,1
1520816511,0,1
1520824146,1,0
1520831826,0,2
1520835643,0,1
1520847434,0,1
1520862839,1,0
1520866695,0,1
1520883243,0,2
1520895522,0,1
1520910793,2,1
1520922392,0,1
1520926163,1,1
1520933846,0,1
1520953033,2,1
1520969437,3,0
1520984975,1,1
1520996507,0,2
1523186914,5,110
1523190755,1,0
1523194578,4,0
1523202265,1,0
1523213797,2,0
1523221473,2,0
1523225325,1,0
1523240913,2,0
1523244774,1,0
1523248591,1,0
1523252447,1,0
1523256275,1,0
1523260133,1,0
1523263955,1,0
1523267811,2,0
1523271696,1,0
1523275497,1,0
1523279317,1,0
1523283166,1,0
1523294666,1,0
1523318666,1,0
1523322509,1,0
1523326221,1,0
1523329966,2,0
1523333821,1,0
1523337632,1,0
1523345324,3,0
1523349174,1,0
1523360665,1,0
1523368602,1,0
1523407485,1,0
1523411307,1,0
1523415168,1,0
1523443000,2,0
1523446823,1,0
1523477551,1,0
1523500935,1,0
1523508506,1,0
1523531552,2,0
1523554610,2,0
1523558448,1,0
1523586546,2,0
1523590368,1,0
1523594469,1,0
1523598311,1,0
1523602147,1,0
1523605987,4,0
1523609819,2,0
1523629030,2,0
1523633011,1,0
1523645079,1,0
1523649217,1,0
1523672465,1,0
1523680146,2,0
1523695486,1,0
1523710934,1,0
1523722416,2,0
1523733912,1,0
1523737738,1,0
1523741578,2,0
1523753145,2,0
1523760806,1,0
1523764630,1,0
1523792487,2,0
1523804208,2,0
1523815996,1,0
1523824154,1,0
1523847697,1,0
1523851502,1,0
1523859206,1,0
1523870698,1,0
1523878373,1,0
1523886048,1,0
1523897606,2,0
1523905295,1,0
1523920868,1,0
1523944168,3,0
1523959496,1,0
1523967434,1,0
1523975094,1,0
1523990470,1,0
1524010442,1,0
1524014228,1,0
1524049298,2,0
1524053142,2,0
1524061007,1,0
1524068966,2,0
1524076690,1,0
1524080503,0,0
1524095831,0,0
1524103757,1,0
1524111476,1,0
1524123206,1,0
1524158507,2,1
1524162326,1,0
1524170024,1,0
1526144741,0,0
1527288085,0,0
1527293439,0,0
1531787816,5,130
1531791880,1,0
1531799552,3,0
1531811591,1,0
1531815390,1,0
1531819509,1,0
1531827176,1,0
1531831026,1,0
1531834834,1,0
1531854276,1,0
1531858371,1,0
1531885232,1,0
1531892922,2,0
1531904465,1,0
1531912123,2,0
1531915966,1,0
1531923628,1,0
1531927478,2,0
1531931325,1,0
1531943074,1,0
1531969968,1,0
1531973802,1,0
1531977888,1,0
1531981769,1,0
1531985573,4,0
1531993495,1,0
1532016562,1,0
1532032142,2,0
1532043885,1,0
1532051806,1,0
1532059531,3,0
1532071272,1,0
1532075089,1,0
1532101993,1,0
1532105790,1,0
1532109644,1,0
1532159810,1,0
1532163893,1,0
1532167715,1,0
1532186949,1,0
1532198452,1,0
1532202301,1,0
1532206362,1,0
1532217887,2,0
1532229400,1,0
1532233247,1,0
1532240917,1,0
1532244759,1,0
1532252434,2,0
1532287258,1,0
1532356131,4,0
1532360002,1,0
1532363818,1,0
1532367630,1,0
1532371505,1,0
1532425758,1,0
1532441392,1,0
1532445211,1,0
1532460781,1,0
1532464515,1,0
1532483851,1,0
1532499488,1,0
1532507097,1,0
1532510972,1,0
1532514813,1,0
