DateTime,AddedIPs,RemovedIPs
1523439054,448,249
1523443017,449,448
1523446829,111,112
1523450680,12,13
1523454509,13,19
1523458358,416,411
1523462195,435,434
1523466036,127,127
1523469877,3,3
1523473712,2,4
1523477559,345,343
1523481417,437,435
1523485235,207,210
1523489080,10,10
1523493165,4,4
1523496882,372,372
1523500941,442,441
1523504663,84,87
1523508516,8,10
1523512378,36,36
1523516187,442,437
1523520021,386,387
1523523867,10,14
1523527537,10,12
1523531559,181,184
1523535434,443,432
1523539236,267,272
1523543097,3,11
1523546904,18,22
1523550772,253,250
1523554624,429,418
1523558459,166,444
1523562781,158,168
1523566618,110,106
1523570474,278,161
1523574945,294,280
1523578754,185,209
1523582692,72,106
1523586560,30,46
1523590384,305,209
1523594487,327,206
1523598330,76,68
1523602157,150,445
1523606000,102,39
1523609832,312,102
1523613743,331,307
1523617497,26,29
1523621398,38,113
1523625216,120,146
1523629042,342,235
1523633028,341,350
1523637468,187,440
1523641314,151,188
1523645089,8,5
1523649231,222,63
1523653049,391,255
1523660724,448,447
1523664616,255,256
1523668400,10,11
1523672477,5,6
1523676353,151,150
1523680162,359,359
1523683994,370,367
1523687870,313,364
1523691697,178,400
1523695498,168,178
1523699370,303,168
1523703248,286,303
1523707052,275,286
1523710951,160,275
1523714734,148,160
1523718615,80,19
1523722439,307,87
1523726252,350,426
1523730109,179,348
1523733942,137,159
1523737751,147,148
1523741593,293,137
1523745617,404,275
1523749333,356,351
1523753169,106,109
1523756949,29,39
1523760819,166,416
1523764668,303,186
1523768509,261,288
1523772326,249,142
1523776156,159,385
1523780227,199,159
1523784333,188,198
1523788438,367,151
1523792510,388,402
1523796367,302,388
1523800395,308,305
1523804245,45,33
1523811922,117,71
1523816017,357,280
1523820148,361,354
1523824176,48,50
1523827989,5,5
1523835923,429,427
1523839782,305,305
1523843857,134,135
1523851517,138,432
1523855381,131,126
1523859220,157,142
1523863042,161,158
1523866878,120,131
1523870730,110,106
1523874551,149,144
1523878380,4,7
1523882242,11,2
1523886056,28,3
1523889876,5,3
1523893746,4,0
1523897614,10,4
1523901428,4,1
1523905328,4,1
1523909095,450,224
1523913319,451,451
1523917043,451,451
1523920878,450,451
1523924725,450,449
1523928555,450,450
1523932406,450,451
1523936239,450,449
1523940297,450,450
1523944177,451,451
1523948047,450,451
1523951844,451,450
1523955677,450,451
1523959512,450,450
1523963363,448,447
1523967450,450,450
1523971348,449,449
1523975110,450,450
1523978973,451,451
1523982836,449,449
1523986713,450,450
1523990490,415,415
1523994325,446,446
1524002553,442,442
1524006570,3,3
1524010476,193,194
1524014247,331,331
1524018113,344,344
1524021918,36,36
1524025803,12,12
1524029673,54,53
1524033506,288,292
1524037376,319,317
1524041405,266,265
1524045200,6,7
1524049351,14,14
1524053165,210,212
1524056976,314,314
1524061033,354,355
1524064870,32,32
1524068986,17,24
1524072877,130,123
1524080545,355,350
1524084367,71,71
1524088179,5,6
1524095855,345,351
1524099963,310,303
1524103798,116,116
1524107624,3,5
1524111509,17,20
1524115610,330,330
1524119388,308,304
1524123246,148,147
1524127058,5,5
1524130914,13,14
1524134776,193,200
1524138739,295,292
1524142512,244,240
1524146242,9,9
1524150541,15,15
1524154537,102,107
1524158542,293,296
1524162348,297,288
1524166179,171,171
1524170055,1,1
1524173869,4,5
1524177742,217,219
1524181539,308,306
1524185640,149,149
1526298574,0,0
1527288110,0,0
1527293472,0,0
1531787820,52,442
1531791884,9,0
1531795718,6,0
1531799555,6,0
1531803653,6,0
1531807475,6,0
1531811595,8,0
1531815393,5,0
1531819518,6,0
1531823335,6,0
1531827183,8,0
1531831034,3,0
1531834838,3,0
1531838663,1,0
1531842777,7,0
1531846620,1,0
1531850445,4,0
1531854280,6,0
1531858385,19,0
1531862214,5,1
1531866026,1,5
1531869905,1,0
1531873753,1,1
1531877568,233,55
1531881440,297,196
1531885238,369,368
1531889080,110,111
1531892932,61,63
1531896796,170,173
1531900592,6,6
1531904484,50,55
1531908293,282,275
1531912129,77,83
1531915978,7,10
1531919805,4,14
1531923635,4,6
1531927487,252,254
1531931336,421,394
1531935176,445,450
1531939023,261,263
1531943080,220,219
1531946948,287,282
1531950765,136,136
1531954616,10,10
1531958459,144,144
1531962304,311,310
1531966149,421,423
1531969975,310,308
1531973810,227,227
1531977899,270,271
1531981776,9,13
1531985583,12,17
1531989711,5,5
1531993503,119,124
1531997353,266,272
1532001190,302,281
1532005020,297,297
1532008887,2,3
1532012685,3,4
1532016568,23,29
1532020361,1,1
1532024220,6,8
1532028273,16,25
1532032151,8,10
1532035981,10,17
1532039835,6,17
1532043889,3,9
1532047733,0,5
1532051814,2,14
1532055701,2,10
1532059536,7,14
1532063570,5,19
1532067423,6,10
1532071278,6,26
1532075096,4,24
1532078921,0,14
1532082806,1,16
1532086625,4,16
1532090454,1,11
1532094293,5,22
1532098125,3,10
1532101998,2,16
1532105794,3,15
1532109653,6,10
1532113482,24,39
1532117332,5,17
1532121160,4,8
1532124996,8,11
1532128840,5,8
1532132684,1,1
1532136508,6,2
1532140374,9,1
1532144226,4,3
1532148319,8,6
1532152122,6,3
1532156028,290,90
1532159816,231,179
1532163900,332,329
1532167722,102,103
1532171568,81,84
1532175438,165,173
1532179260,13,21
1532183100,48,54
1532186957,186,173
1532190797,131,143
1532194621,7,15
1532198458,8,30
1532202313,33,27
1532206371,130,139
1532210214,390,330
1532214065,396,395
1532217894,395,395
1532221742,13,18
1532225581,306,305
1532229407,226,222
1532233256,59,61
1532237151,17,26
1532240929,194,202
1532244767,233,225
1532248611,427,418
1532252440,281,280
1532256295,192,193
1532260160,305,305
1532263990,21,28
1532267821,18,23
1532271716,4,9
1532275788,4,24
1532279572,25,40
1532283422,10,50
1532287265,19,25
1532291101,6,13
1532294930,1,7
1532356141,14,19
1532360024,5,6
1532363835,8,25
1532367640,13,30
1532371525,29,58
1532375570,11,33
1532379731,7,12
1532383523,7,14
1532387328,12,13
1532391227,137,117
1532395066,142,159
1532398869,164,171
1532402782,228,228
1532406584,107,104
1532410445,35,31
1532414259,89,81
1532418089,103,105
1532421961,148,148
1532425794,29,29
1532429631,17,13
1532441427,113,108
1532445240,15,15
1532449075,53,48
1532452886,17,18
1532460796,41,27
1532464534,12,10
1532472360,139,157
1532476204,135,140
1532480032,158,167
1532483878,103,98
1532491569,230,235
1532499528,229,237
1532503289,118,113
1532507117,78,74
1532511008,153,153
1532514842,111,117
1532518705,58,64
1532526334,173,166
1532534289,190,186
1532538128,94,99
1532545568,125,108
1532549417,112,108
1532553279,47,48
1532557056,25,23
1532560911,14,10
1532568594,63,59
1532572478,11,11
1532576302,10,12
1532580088,8,16
1532583963,14,21
1532587747,7,14
1532591648,114,108
1532595502,215,230
1532599572,239,225
1532603379,199,208
1532611075,233,227
1532614934,216,226
1532619022,237,232
1532622838,234,237
1532630818,243,232
1532634603,195,204
1532638433,137,136
1532642281,63,59
1532646351,17,9
1532650192,155,156
1532654035,224,239
1532657922,137,137
1532661704,160,165
1532665551,31,22
1532669375,105,101
1532673292,38,35
1532677081,12,13
1532680959,19,19
1532688858,36,53
1532692653,5,4
1532700376,10,13
1532704203,0,2
1532708040,20,23
1532711837,86,91
1532715692,168,139
1532719609,285,241
1532723420,184,209
1532727271,205,262
1532731506,214,202
1532735391,225,212
1532739239,203,208
1532746928,204,211
1532750818,217,213
1532754585,208,186
1532762246,226,235
1532766070,230,230
1532769989,236,229
1532773995,125,118
1532777863,103,168
1532781693,92,134
1532785503,82,97
1532789390,90,79
1532793203,90,82
1532797010,75,88
1532800863,96,99
1532804722,105,89
1532808558,96,108
1532812411,81,92
1532816264,98,88
1532820061,91,93
1532823897,71,76
1532827713,19,3
1532831564,7,2
1532835421,10,3
1532839274,264,152
1532843162,165,185
1532846943,119,214
1532850793,120,120
1532854639,112,120
1532858523,116,110
1532862394,123,117
1532866125,71,151
1532869963,123,35
1532873799,131,141
1532877635,146,138
1532881470,96,95
1532885304,19,6
1532889150,14,2
1532893000,15,4
1532896837,15,8
1532900694,241,188
1532904782,123,177
1532908657,169,203
1532912509,143,169
1532916563,137,143
1532920397,128,138
1532924250,138,128
1532928091,128,137
1532931896,144,129
1532935741,140,143
1532939597,130,140
1532943430,121,121
1532947313,135,131
1532951117,139,117
1532954939,128,154
1532958826,147,131
1532962732,127,143
1532966537,132,129
1532970314,140,132
1532974172,123,132
1532978015,134,133
1532982928,111,91
1532986613,18,8
1532990453,28,12
1532994327,216,104
1532998169,276,222
1533002036,159,314
1533005860,167,159
1533009722,164,165
1533021226,181,196
1533025054,162,157
1533028869,147,146
1533032716,24,57
1533036553,15,4
1533040419,27,11
1533044498,34,27
1533048376,176,149
1533052210,188,153
1533055990,112,192
1533063718,134,172
