DateTime,Entries,UniqueIPs
1523434607,251,251
1523439054,450,450
1523443017,451,451
1523446829,450,450
1523450680,449,449
1523454509,443,443
1523458358,448,448
1523462195,449,449
1523466036,449,449
1523469877,449,449
1523473712,447,447
1523477559,449,449
1523481417,451,451
1523485235,448,448
1523489080,448,448
1523493165,448,448
1523496882,448,448
1523500941,449,449
1523504663,446,446
1523508516,444,444
1523512378,444,444
1523516187,449,449
1523520021,448,448
1523523867,444,444
1523527537,442,442
1523531559,439,439
1523535434,450,450
1523539236,445,445
1523543097,437,437
1523546904,433,433
1523550772,436,436
1523554624,447,447
1523558459,169,169
1523562781,159,159
1523566618,163,163
1523570474,280,280
1523574945,294,294
1523578754,270,270
1523582692,236,236
1523586560,220,220
1523590384,316,316
1523594487,437,437
1523598330,445,445
1523602157,150,150
1523606000,213,213
1523609832,423,423
1523613743,447,447
1523617497,444,444
1523621398,369,369
1523625216,343,343
1523629042,450,450
1523633028,441,441
1523637468,188,188
1523641314,151,151
1523645089,154,154
1523649231,313,313
1523653049,449,449
1523660724,450,450
1523664616,449,449
1523668400,448,448
1523672477,447,447
1523676353,448,448
1523680162,448,448
1523683994,451,451
1523687870,400,400
1523691697,178,178
1523695498,168,168
1523699370,303,303
1523703248,286,286
1523707052,275,275
1523710951,160,160
1523714734,148,148
1523718615,209,209
1523722439,429,429
1523726252,353,353
1523730109,184,184
1523733942,162,162
1523737751,161,161
1523741593,317,317
1523745617,446,446
1523749333,451,451
1523753169,448,448
1523756949,438,438
1523760819,188,188
1523764668,305,305
1523768509,278,278
1523772326,385,385
1523776156,159,159
1523780227,199,199
1523784333,189,189
1523788438,405,405
1523792510,391,391
1523796367,305,305
1523800395,308,308
1523804245,320,320
1523811922,366,366
1523816017,443,443
1523820148,450,450
1523824176,448,448
1523827989,448,448
1523835923,450,450
1523839782,450,450
1523843857,449,449
1523851517,155,155
1523855381,160,160
1523859220,175,175
1523863042,178,178
1523866878,167,167
1523870730,171,171
1523874551,176,176
1523878380,173,173
1523882242,182,182
1523886056,207,207
1523889876,209,209
1523893746,213,213
1523897614,219,219
1523901428,222,222
1523905328,225,225
1523909095,451,451
1523913319,451,451
1523917043,451,451
1523920878,450,450
1523924725,451,451
1523928555,451,451
1523932406,450,450
1523936239,451,451
1523940297,451,451
1523944177,451,451
1523948047,450,450
1523951844,451,451
1523955677,450,450
1523959512,450,450
1523963363,451,451
1523967450,451,451
1523971348,451,451
1523975110,451,451
1523978973,451,451
1523982836,451,451
1523986713,451,451
1523990490,451,451
1523994325,451,451
1524002553,451,451
1524006570,451,451
1524010476,450,450
1524014247,450,450
1524018113,450,450
1524021918,450,450
1524025803,450,450
1524029673,451,451
1524033506,447,447
1524037376,449,449
1524041405,450,450
1524045200,449,449
1524049351,449,449
1524053165,447,447
1524056976,447,447
1524061033,446,446
1524064870,446,446
1524068986,439,439
1524072877,446,446
1524080545,451,451
1524084367,451,451
1524088179,450,450
1524095855,444,444
1524099963,451,451
1524103798,451,451
1524107624,449,449
1524111509,446,446
1524115610,446,446
1524119388,450,450
1524123246,451,451
1524127058,451,451
1524130914,450,450
1524134776,443,443
1524138739,446,446
1524142512,450,450
1524146242,450,450
1524150541,450,450
1524154537,445,445
1524158542,442,442
1524162348,451,451
1524166179,451,451
1524170055,451,451
1524173869,450,450
1524177742,448,448
1524181539,450,450
1524185640,450,450
1527288110,450,450
1527293472,450,450
1531787820,60,60
1531791884,69,69
1531795718,75,75
1531799555,81,81
1531803653,87,87
1531807475,93,93
1531811595,101,101
1531815393,106,106
1531819518,112,112
1531823335,118,118
1531827183,126,126
1531831034,129,129
1531834838,132,132
1531838663,133,133
1531842777,140,140
1531846620,141,141
1531850445,145,145
1531854280,151,151
1531858385,170,170
1531862214,174,174
1531866026,170,170
1531869905,171,171
1531873753,171,171
1531877568,349,349
1531881440,450,450
1531885238,451,451
1531889080,450,450
