DateTime,AddedIPs,RemovedIPs
1523206127,2,0
1523210007,3,0
1523213816,7,0
1523217672,8,0
1523221489,5,0
1523225341,2,0
1523229196,9,0
1523233017,2,0
1523237113,4,0
1523240953,2,0
1523244804,2,0
1523248611,3,0
1523252467,2,0
1523256295,2,0
1523260164,6,0
1523263981,2,0
1523267846,4,0
1523275520,17,0
1523279339,5,0
1523283198,3,0
1523287016,4,0
1523290862,5,0
1523294696,4,0
1523298542,6,0
1523302392,1,0
1523307077,1,0
1523314857,2,0
1523322528,1,0
1523326246,4,0
1523333850,9,0
1523337660,3,0
1523341516,12,0
1523345350,9,0
1523349224,5,0
1523353056,3,0
1523356901,3,0
1523360698,6,0
1523364527,1,0
1523376332,1,0
1523380137,2,0
1523388076,5,0
1523391937,1,0
1523395778,1,1
1523399861,2,2
1523407511,2,4
1523411335,4,4
1523415217,8,10
1523419299,5,6
1523423107,3,9
1523426956,3,10
1523430787,1,2
1523434615,1,0
1523439063,2,0
1523443028,1,1
1523450689,1,0
1523454518,1,0
1523462204,1,1
1523466043,2,0
1523469885,3,1
1523477575,1,0
1523481427,1,1
1523485242,2,1
1523489102,2,0
1523493172,4,1
1523496900,2,0
1523500961,5,1
1523504670,4,4
1523508531,2,3
1523512397,6,2
1523516196,1,4
1523520030,1,1
1523523874,2,3
1523527545,1,0
1523531569,2,1
1523535447,1,2
1523539244,5,1
1523543118,2,1
1523550784,1,0
1523554633,3,3
1523558475,3,2
1523562796,11,7
1523566638,1,1
1523570497,1,1
1523574976,10,19
1523578781,0,3
1523582706,6,6
1523586579,0,4
1523590403,4,4
1523594516,4,1
1523598357,1,1
1523602172,4,3
1523606017,3,2
1523609853,3,4
1523617512,7,4
1523621427,4,7
1523625239,4,2
1523629059,3,5
1523633049,6,5
1523637482,4,5
1523641346,9,13
1523645103,1,3
1523649250,7,7
1523653069,1,1
1523660741,1,4
1523664635,1,2
1523668414,1,2
1523672494,3,2
1523676373,4,2
1523680179,1,0
1523684014,2,1
1523687889,3,3
1523691723,11,12
1523695514,3,4
1523699395,7,6
1523703279,4,9
1523707076,1,1
1523710970,4,2
1523714760,8,10
1523722470,0,3
