DateTime,AddedIPs,RemovedIPs
1520857546,1,5
1520861340,0,4
1520865210,4,2
1520872760,2,4
1520876648,3,4
1520880346,4,0
1520884143,5,2
1520887854,4,3
1520891583,1,4
1520895625,1,5
1520903232,5,6
1520907025,6,2
1520910852,1,1
1520914732,2,3
1520918538,2,7
1520926208,4,4
1520930114,2,2
1520933908,6,1
1520937799,4,4
1520941687,9,1
1520945463,3,3
1520953081,4,12
1520957071,4,3
1520960884,7,3
1520964864,5,3
1520969545,4,4
1520973226,2,6
1520977360,4,6
1520988979,9,7
1520992710,4,4
1520996643,2,0
1523186924,5,26
1523190770,1,0
1523194596,1,0
1523206128,1,0
1523210008,2,0
1523213819,4,0
1523221491,1,0
1523225343,2,0
1523229198,1,0
1523233021,1,0
1523248614,2,0
1523260169,2,0
1523275523,1,0
1523279342,1,0
1523290864,1,0
1523294699,1,0
1523298545,2,0
1523310806,1,0
1523314859,1,0
1523333852,1,0
1523341520,1,0
1523349232,1,0
1523364532,1,0
1523372541,1,0
1523376338,1,0
1523380140,2,0
1523383996,2,0
1523388079,2,0
1523395785,2,0
1523423109,1,0
1523430789,2,0
1523439066,1,0
1523443030,2,0
1523446843,2,0
1523458370,1,0
1523466045,2,0
1523473722,2,0
1523481430,2,0
1523485244,3,0
1523489106,4,0
1523493174,1,0
1523500967,2,0
1523508533,2,0
1523523876,1,0
1523531572,3,0
1523546914,1,0
1523558479,3,0
1523562801,1,0
1523566644,2,0
1523578791,1,0
1523598364,1,0
1523606025,1,0
1523617521,1,0
1523637486,1,0
1523645109,2,0
1523649257,1,4
1523660748,2,1
1523664642,0,2
1523680186,0,2
1523691731,0,1
1523718662,1,0
1523726280,2,0
1523730143,3,1
1523733991,1,0
1523737772,2,0
1523741622,2,6
1523753216,2,2
1523756969,0,2
1523760844,0,1
1523768555,0,3
1523784361,0,2
1523788489,0,1
1523792548,0,1
1523800424,0,2
1523804305,1,3
1523811968,3,20
1523816046,5,1
1523820179,2,8
1523824220,0,4
1523828010,0,4
1523835949,0,17
1523839818,0,2
1523843887,2,0
1523851551,1,7
1523859243,1,1
1523863064,2,1
1523866899,1,2
1523870765,0,1
1523874575,0,2
1523878392,1,1
1523882270,1,0
1523886069,5,0
1523889889,1,0
1523893758,0,1
1523897626,3,0
1523901448,3,2
1523905377,4,2
1523909112,1,1
1523913335,3,0
1523917060,2,1
1523920895,4,13
1523924741,3,15
1523928569,3,0
1523932434,3,0
1523940316,1,0
1523944191,1,0
1523948062,1,0
1523955746,1,0
1523959535,1,0
1523963394,1,1
1523967471,2,1
1523971401,0,10
1523975138,1,5
1523979004,3,3
1523982860,2,1
1523986764,0,3
1523990519,6,0
1523994372,1,0
1523998428,3,0
1524002608,1,0
1524006616,3,2
1524010522,0,1
1524014276,4,0
1524018175,1,0
1524025830,1,1
1524029726,0,4
1524033549,1,8
1524037443,3,2
1524041432,3,1
1524045230,0,2
1524049419,4,3
1524053196,0,3
1524057018,1,3
1524061069,4,2
1524064897,0,3
1524069010,4,0
1524072938,2,4
1524080600,7,0
1524084395,1,4
1524088224,1,2
1524095888,1,7
1524099996,2,2
1524103854,1,1
1524107685,0,1
1524111563,3,0
1524115682,1,1
1524119445,2,0
1524123311,4,2
1524127110,1,4
1524130947,5,1
1524134844,0,3
1524138813,2,2
1524142553,2,4
1524150568,4,0
1524158609,3,1
1524162386,4,2
1524166207,5,1
1524170099,0,4
1524173898,3,5
1524177780,3,7
1524181574,1,1
1524185680,1,0
1526306628,0,0
1527288161,0,0
1527293541,0,0
1531787836,19,16
1531791891,0,3
1531795725,4,0
1531799561,2,4
1531803666,4,4
1531807481,3,3
1531811603,6,1
1531815400,1,2
1531819531,4,1
1531823342,1,6
1531827191,2,0
1531831052,2,3
1531834845,5,1
1531838673,0,4
1531842784,2,1
1531846627,0,2
1531850460,0,3
1531854290,3,3
1531858407,6,1
1531862222,4,0
1531866035,0,1
1531869913,1,5
